row_label_raw,row_label_full,Bên cho vay/thu xếp tín dụng,Số cuối năm,Số cuối năm_1,Kỳ hạn trả gốc và lãi,Tài sânđảm bảo,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Kỳ hạn trả gốc và lãi,numeric__Tài sânđảm bảo
Bên cho vay/thu xếp tín dụng,Bên cho vay/thu xếp tín dụng,Bên cho vay/thu xếp tín dụng,Nguyên tệ,Triệu VND,Kỳ hạn trả gốc và lãi,Tài sânđảm bảo,,,,
Các bên thu xếp tín dụng của khoản vay hợp vốn 1Trong đó: vay dài hạn đến hạn trả,Bên cho vay/thu xếp tín dụng > Các bên thu xếp tín dụng của khoản vay hợp vốn 1Trong đó: vay dài hạn đến hạn trả,Các bên thu xếp tín dụng của khoản vay hợp vốn 1Trong đó: vay dài hạn đến hạn trả,USD,5.824.389,Gốc trả từ tháng 6 đến tháng 12 năm 2026. Lãi trả hàng quỹ.,(i),,5824389.0,,
Các bên thu xếp tín dụng của khoản vay hợp vốn 1Trong đó: vay dài hạn đến hạn trả,Bên cho vay/thu xếp tín dụng > Các bên thu xếp tín dụng của khoản vay hợp vốn 1Trong đó: vay dài hạn đến hạn trả,Các bên thu xếp tín dụng của khoản vay hợp vốn 1Trong đó: vay dài hạn đến hạn trả,USD,5.824.389,Gốc trả từ tháng 6 đến tháng 12 năm 2026. Lãi trả hàng quỹ.,(i),,5824389.0,,
Các bên thu xếp tín dụng của khoản vay hợp vốn 2Trong đó: vay dài hạn đến hạn trả,Bên cho vay/thu xếp tín dụng > Các bên thu xếp tín dụng của khoản vay hợp vốn 2Trong đó: vay dài hạn đến hạn trả,Các bên thu xếp tín dụng của khoản vay hợp vốn 2Trong đó: vay dài hạn đến hạn trả,USD,2.810.946,Gốc trả từ tháng 5 năm 2026 đến tháng 11 năm 2028. Lãi trả hàng quỹ.,(i),,2810946.0,,
Các bên thu xếp tín dụng của khoản vay hợp vốn 2Trong đó: vay dài hạn đến hạn trả,Bên cho vay/thu xếp tín dụng > Các bên thu xếp tín dụng của khoản vay hợp vốn 2Trong đó: vay dài hạn đến hạn trả,Các bên thu xếp tín dụng của khoản vay hợp vốn 2Trong đó: vay dài hạn đến hạn trả,USD,462.916,Gốc trả từ tháng 5 năm 2026 đến tháng 11 năm 2028. Lãi trả hàng quỹ.,(i),,462916.0,,
Các bên thu xếp tín dụng của khoản vay hợp vốn 3Trong đó: vay dài hạn đến hạn trả,Bên cho vay/thu xếp tín dụng > Các bên thu xếp tín dụng của khoản vay hợp vốn 3Trong đó: vay dài hạn đến hạn trả,Các bên thu xếp tín dụng của khoản vay hợp vốn 3Trong đó: vay dài hạn đến hạn trả,VND,410.065,Gốc trả từ tháng 5 năm 2026 đến tháng 11 năm 2028. Lãi trả hàng quỹ.,(i),,410065.0,,
Các bên thu xếp tín dụng của khoản vay hợp vốn 3Trong đó: vay dài hạn đến hạn trả,Bên cho vay/thu xếp tín dụng > Các bên thu xếp tín dụng của khoản vay hợp vốn 3Trong đó: vay dài hạn đến hạn trả,Các bên thu xếp tín dụng của khoản vay hợp vốn 3Trong đó: vay dài hạn đến hạn trả,VND,66.342,Gốc trả từ tháng 5 năm 2026 đến tháng 11 năm 2028. Lãi trả hàng quỹ.,(i),,66342.0,,
Các bên thu xếp tín dụng của khoản vay hợp vốn 4,Bên cho vay/thu xếp tín dụng > Các bên thu xếp tín dụng của khoản vay hợp vốn 4,Các bên thu xếp tín dụng của khoản vay hợp vốn 4,USD,5.016.288,Gốc trả từ tháng 10 năm 2027 đến tháng 10 năm 2030. Lãi trả hàng quỹ.,(i),,5016288.0,,
Các bên thu xếp tín dụng của khoản vay hợp vốn 5,Bên cho vay/thu xếp tín dụng > Các bên thu xếp tín dụng của khoản vay hợp vốn 5,Các bên thu xếp tín dụng của khoản vay hợp vốn 5,VND,3.619.072,Gốc trả từ tháng 10 năm 2028 đến tháng 3 năm 2030. Lãi trả hàng quỹ.,(i),,3619072.0,,
TỔNG CỘNG,Bên cho vay/thu xếp tín dụng > TỔNG CỘNG,TỔNG CỘNG,,17.680.760,,,,17680760.0,,
Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Bên cho vay/thu xếp tín dụng > Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,,11.327.1136.353.647,,,,113271136353647.0,,
