row_label_raw,row_label_full,Ngân hàng,Số cuối năm > Ngàn VND,Thời hạn thanh toán,Lãi suất > %/năm,Tài sản đảm bảo (TM số 11 và 13),numeric__Số cuối năm > Ngàn VND,numeric__Thời hạn thanh toán,numeric__Lãi suất > %/năm,numeric__Tài sản đảm bảo (TM số 11 và 13)
"HD Bank, Chi nhánh Gia Lai","HD Bank, Chi nhánh Gia Lai","HD Bank, Chi nhánh Gia Lai","HD Bank, Chi nhánh Gia Lai","HD Bank, Chi nhánh Gia Lai","HD Bank, Chi nhánh Gia Lai","HD Bank, Chi nhánh Gia Lai",,,,
Khoản vay ngày 30 tháng 9 năm 2016,"HD Bank, Chi nhánh Gia Lai > Khoản vay ngày 30 tháng 9 năm 2016",Khoản vay ngày 30 tháng 9 năm 2016,49.800.000,Từ ngày 30 tháng 9 năm 2019 đến ngày 30 tháng 9 năm 2021,"12,50","Toàn bộ cây ăn trái và quyền khai thác hình thành trong tương lai của dự án trồng cây ăn trái bao gồm cả nguồn thu, hoa lợi, lợi tức phát sinh từ dự án thuộc sở hữu của Cao su Trung Nguyên.",49800000.0,,12.5,
Khoản vay ngày 29 tháng 12 năm 2017,"HD Bank, Chi nhánh Gia Lai > Khoản vay ngày 29 tháng 12 năm 2017",Khoản vay ngày 29 tháng 12 năm 2017,7.000.000,Từ ngày 30 tháng 6 năm 2019 đến ngày 30 tháng 6 năm 2020,"13,00","Toàn bộ cây ăn trái và quyền khai thác hình thành trong tương lai của dự án (bao gồm cả nguồn thu, hoa lợi, lợi tức phát sinh từ dự án) thuộc sở hữu của Cao su Trung Nguyên; 15 xe đầu kéo, 15 somi romooc thuộc sở hữu của Xuất Nhập khẩu Hoàng Anh Gia Lai.",7000000.0,,13.0,
TỔNG CỘNG,"HD Bank, Chi nhánh Gia Lai > TỔNG CỘNG",TỔNG CỘNG,1.034.341.177,,,,1034341177.0,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,1.004.341.177,,,,1004341177.0,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,30.000.000,,,,30000000.0,,,
