row_label_raw,row_label_full,Mã số > 01 > 02 > 03 > 04 > 05 > 06,CHỈ TIỀU > I. LƯU CHUYỀN TIỀN TỪHOẠT ĐỘNG KINH DOANHLỗ kế toán trước thuếĐiều chỉnh cho các khoản:Khẩu hao và hao mònDự phòngLỗ chênh lệch tỷ giá hối đoái dođánh giá lại các khoản mụctiền tệ có gốc ngoại tệLỗ (lãi) từ hoạt động đầu tưChỉ phí lãi vay,"Thuyết minh > 11, 12",Năm nay > (3.565.529.934)522.939.32746.163.3969.185.2472.268.181.094308.451.932,Năm trước > (1.298.802.530)465.227.14249.635.519232.851.893(75.244.482)306.886.037,numeric__CHỈ TIỀU > I. LƯU CHUYỀN TIỀN TỪHOẠT ĐỘNG KINH DOANHLỗ kế toán trước thuếĐiều chỉnh cho các khoản:Khẩu hao và hao mònDự phòngLỗ chênh lệch tỷ giá hối đoái dođánh giá lại các khoản mụctiền tệ có gốc ngoại tệLỗ (lãi) từ hoạt động đầu tưChỉ phí lãi vay,"numeric__Thuyết minh > 11, 12",numeric__Năm nay > (3.565.529.934)522.939.32746.163.3969.185.2472.268.181.094308.451.932,numeric__Năm trước > (1.298.802.530)465.227.14249.635.519232.851.893(75.244.482)306.886.037
08,08,08,Lỗ từ hoạt động kinh doanh trước thayđổi vốn lưu động,,(410.608.938)36.516.543(2.715.810)129.646.594(34.134.421)(216.411.053),(319.446.421)(208.781.973)158.561.354(740.118.470)(14.921.163)(461.361.853),,,,
09,09,09,Tăng các khoản phải thu(Tăng) giảm hàng tồn kho,,(410.608.938)36.516.543(2.715.810)129.646.594(34.134.421)(216.411.053),(319.446.421)(208.781.973)158.561.354(740.118.470)(14.921.163)(461.361.853),,,,
10,10,10,Tăng các khoản phải thu(Tăng) giảm hàng tồn kho,,(410.608.938)36.516.543(2.715.810)129.646.594(34.134.421)(216.411.053),(319.446.421)(208.781.973)158.561.354(740.118.470)(14.921.163)(461.361.853),,,,
11,11,11,Tăng (giảm) các khoản phải trả,,(410.608.938)36.516.543(2.715.810)129.646.594(34.134.421)(216.411.053),(319.446.421)(208.781.973)158.561.354(740.118.470)(14.921.163)(461.361.853),,,,
12,12,12,Tăng chỉ phí trả trướcTiền lãi vay đã trả,,(410.608.938)36.516.543(2.715.810)129.646.594(34.134.421)(216.411.053),(319.446.421)(208.781.973)158.561.354(740.118.470)(14.921.163)(461.361.853),,,,
14,14,14,Tăng chỉ phí trả trướcTiền lãi vay đã trả,,(410.608.938)36.516.543(2.715.810)129.646.594(34.134.421)(216.411.053),(319.446.421)(208.781.973)158.561.354(740.118.470)(14.921.163)(461.361.853),,,,
20,14 > 20,20,Lưu chuyển tiền thuần sử dụng vàohoạt động kinh doanh,,(497.707.085),(1.586.068.526),,,-497707085.0,-1586068526.0
II. LƯU CHUYỀN TIỀN TỪHOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪHOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪHOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪHOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪHOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪHOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪHOẠT ĐỘNG ĐẦU TƯ,,,,
21,21,21,Tiền chi để mua sắm vàxây dựng TSCĐTiền thu do thanh lý TSCĐTiền chi cho đơn vị khác vayThu hồi cho vayTiền thu hồi đầu tư góp vốn vàocác công ty conLãi tiền gửi và lãi cho vay,,(668.194.735)(557.349)(119.365.500)-367.483,(472.907.178)5.385.978-601.976.0542.651.644.98817.261.979,,,,
22,22,22,Tiền chi để mua sắm vàxây dựng TSCĐTiền thu do thanh lý TSCĐTiền chi cho đơn vị khác vayThu hồi cho vayTiền thu hồi đầu tư góp vốn vàocác công ty conLãi tiền gửi và lãi cho vay,,(668.194.735)(557.349)(119.365.500)-367.483,(472.907.178)5.385.978-601.976.0542.651.644.98817.261.979,,,,
23,23,23,Tiền chi để mua sắm vàxây dựng TSCĐTiền thu do thanh lý TSCĐTiền chi cho đơn vị khác vayThu hồi cho vayTiền thu hồi đầu tư góp vốn vàocác công ty conLãi tiền gửi và lãi cho vay,,(668.194.735)(557.349)(119.365.500)-367.483,(472.907.178)5.385.978-601.976.0542.651.644.98817.261.979,,,,
24,24,24,Tiền chi để mua sắm vàxây dựng TSCĐTiền thu do thanh lý TSCĐTiền chi cho đơn vị khác vayThu hồi cho vayTiền thu hồi đầu tư góp vốn vàocác công ty conLãi tiền gửi và lãi cho vay,,(668.194.735)(557.349)(119.365.500)-367.483,(472.907.178)5.385.978-601.976.0542.651.644.98817.261.979,,,,
26,26,26,Tiền chi để mua sắm vàxây dựng TSCĐTiền thu do thanh lý TSCĐTiền chi cho đơn vị khác vayThu hồi cho vayTiền thu hồi đầu tư góp vốn vàocác công ty conLãi tiền gửi và lãi cho vay,,(668.194.735)(557.349)(119.365.500)-367.483,(472.907.178)5.385.978-601.976.0542.651.644.98817.261.979,,,,
27,27,27,Tiền chi để mua sắm vàxây dựng TSCĐTiền thu do thanh lý TSCĐTiền chi cho đơn vị khác vayThu hồi cho vayTiền thu hồi đầu tư góp vốn vàocác công ty conLãi tiền gửi và lãi cho vay,,(668.194.735)(557.349)(119.365.500)-367.483,(472.907.178)5.385.978-601.976.0542.651.644.98817.261.979,,,,
30,27 > 30,30,Lưu chuyển tiền thuần (sử dụng vào)từ hoạt động đầu tư,,(787.750.101),2.803.361.821,,,-787750101.0,2803361821.0
