row_label_raw,row_label_full,col_0,Trong nước VND,Nước ngoài VND,Tổng cộng VND,numeric__Trong nước VND,numeric__Nước ngoài VND,numeric__Tổng cộng VND
Tài sản vào ngày 31 tháng 12 năm 2024,Tài sản vào ngày 31 tháng 12 năm 2024,Tài sản vào ngày 31 tháng 12 năm 2024,Tài sản vào ngày 31 tháng 12 năm 2024,Tài sản vào ngày 31 tháng 12 năm 2024,Tài sản vào ngày 31 tháng 12 năm 2024,,,
Tiền gửi tại và cho vay các TCTD khác,Tài sản vào ngày 31 tháng 12 năm 2024 > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,38.667.689.241.272,458.510.016.359,39.126.199.257.631,38667689241272.0,458510016359.0,39126199257631.0
Các công cụ tài chính phải sinh (tổng giá trị giao dịch theo hợp đồng),Tài sản vào ngày 31 tháng 12 năm 2024 > Các công cụ tài chính phải sinh (tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh (tổng giá trị giao dịch theo hợp đồng),69.564.201.639.592,-,69.564.201.639.592,69564201639592.0,,69564201639592.0
Cho vay khách hàng - gộp,Tài sản vào ngày 31 tháng 12 năm 2024 > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,170.844.469.638.663,-,170.844.469.638.663,170844469638663.0,,170844469638663.0
Hoạt động mua nợ - gộp,Tài sản vào ngày 31 tháng 12 năm 2024 > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,5.079.222.324.368,-,5.079.222.324.368,5079222324368.0,,5079222324368.0
Chứng khoán đầu tư - gộp,Tài sản vào ngày 31 tháng 12 năm 2024 > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,52.635.610.527.457,-,52.635.610.527.457,52635610527457.0,,52635610527457.0
Công nợ vào ngày 31 tháng 12 năm 2024,Công nợ vào ngày 31 tháng 12 năm 2024,Công nợ vào ngày 31 tháng 12 năm 2024,Công nợ vào ngày 31 tháng 12 năm 2024,Công nợ vào ngày 31 tháng 12 năm 2024,Công nợ vào ngày 31 tháng 12 năm 2024,,,
Tiền gửi và vay các TCTD khác,Công nợ vào ngày 31 tháng 12 năm 2024 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,45.000.286.303.746,7.994.901.752,45.008.281.205.498,45000286303746.0,7994901752.0,45008281205498.0
Tiền gửi của khách hàng,Công nợ vào ngày 31 tháng 12 năm 2024 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,141.187.170.604.230,1.272.592.883.682,142.459.763.487.912,141187170604230.0,1272592883682.0,142459763487912.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Công nợ vào ngày 31 tháng 12 năm 2024 > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",86.628.509.395,5.855.455.000.000,5.942.083.509.395,86628509395.0,5855455000000.0,5942083509395.0
Phát hành giấy tờ có giá,Công nợ vào ngày 31 tháng 12 năm 2024 > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,44.010.712.500.000,-,44.010.712.500.000,44010712500000.0,,44010712500000.0
Cam kết tín dụng vào ngày 31 tháng 12 năm 2024 - gộp,Công nợ vào ngày 31 tháng 12 năm 2024 > Cam kết tín dụng vào ngày 31 tháng 12 năm 2024 - gộp,Cam kết tín dụng vào ngày 31 tháng 12 năm 2024 - gộp,9.815.312.164.836,-,9.815.312.164.836,9815312164836.0,,9815312164836.0
