row_label_raw,row_label_full,col_0,Quá hạnVND,Không nhay cảmvới lãi suấtVND,Đến 1 thángVND,Từ 1 - 3 thángVND,Từ 3 - 6 thángVND,Từ 6 - 12 thángVND,Từ 1 - 5 nămVND,Trên 5 nămVND,Tổng cộngVND,numeric__Quá hạnVND,numeric__Không nhay cảmvới lãi suấtVND,numeric__Đến 1 thángVND,numeric__Từ 1 - 3 thángVND,numeric__Từ 3 - 6 thángVND,numeric__Từ 6 - 12 thángVND,numeric__Từ 1 - 5 nămVND,numeric__Trên 5 nămVND,numeric__Tổng cộngVND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc. đa quý","Tài sản > Tiền mặt, vàng bạc. đa quý","Tiền mặt, vàng bạc. đa quý",-,787.773.771.826,-,-,-,-,-,-,787.773.771.826,,787773771826.0,,,,,,,787773771826.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,2.377.473.012.237,-,-,-,-,-,-,2.377.473.012.237,,2377473012237.0,,,,,,,2377473012237.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,724.808.757.631,35.765.818.500.000,2.525.845.000.000,-,-,109.727.000.000,-,39.126.199.257.631,,724808757631.0,35765818500000.0,2525845000000.0,,,109727000000.0,,39126199257631.0
Cho vay khách hàng và mua nợ - góp,Tài sản > Cho vay khách hàng và mua nợ - góp,Cho vay khách hàng và mua nợ - góp,6.771.271.792.153,-,26.552.738.674.749,61.321.523.311.298,54.224.110.340.273,18.404.423.521.320,8.649.624.323.238,-,175.923.691.963.031,6771271792153.0,,26552738674749.0,61321523311298.0,54224110340273.0,18404423521320.0,8649624323238.0,,175923691963031.0
Chủng khoản đầu tư - góp,Tài sản > Chủng khoản đầu tư - góp,Chủng khoản đầu tư - góp,-,1.500.353.927.457,-,1.022.666.600.000,9.704.000.000.000,23.572.590.000.000,2.026.000.000.000,14.810.000.000.000,52.635.610.527.457,,1500353927457.0,,1022666600000.0,9704000000000.0,23572590000000.0,2026000000000.0,14810000000000.0,52635610527457.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,630.506.628.479,-,-,-,-,-,-,630.506.628.479,,630506628479.0,,,,,,,630506628479.0
Tài sản Có khác - góp,Tài sản > Tài sản Có khác - góp,Tài sản Có khác - góp,4.800.000.000,11.865.111.228.137,-,-,-,-,-,-,11.869.911.228.137,4800000000.0,11865111228137.0,,,,,,,11869911228137.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,6.776.071.792.153,17.886.027.325.767,62.318.557.174.749,64.870.034.911.298,63.928.110.340.273,41.977.013.521.320,10.785.351.323.238,14.810.000.000.000,283.351.166.388.798,6776071792153.0,17886027325767.0,62318557174749.0,64870034911298.0,63928110340273.0,41977013521320.0,10785351323238.0,14810000000000.0,283351166388798.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,3.393.187.130.601,-,-,76.348.421.538,-,-,3.469.535.552.139,,,3393187130601.0,,,76348421538.0,,,3469535552139.0
Tiền gửi và vay từ TCTD khác,Nợ phải trả > Tiền gửi và vay từ TCTD khác,Tiền gửi và vay từ TCTD khác,-,7.090.294.422,41.815.766.322.786,2.987.935.273.199,90.103.795.411,12.239.799.000,95.145.720.680,-,45.008.281.205.498,,7090294422.0,41815766322786.0,2987935273199.0,90103795411.0,12239799000.0,95145720680.0,,45008281205498.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,54.109.460.587.241,33.382.345.695.360,37.642.440.144.817,12.339.939.654.592,4.985.103.248.390,474.157.712,142.459.763.487.912,,,54109460587241.0,33382345695360.0,37642440144817.0,12339939654592.0,4985103248390.0,474157712.0,142459763487912.0
Các công cụ tài chính phải sinh,Nợ phải trả > Các công cụ tài chính phải sinh,Các công cụ tài chính phải sinh,-,356.262.657.844,-,-,-,-,-,-,356.262.657.844,,356262657844.0,,,,,,,356262657844.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro",-,-,-,5.954.805.000,1.537.625.260,44.315.255.500,5.890.275.823.635,-,5.942.083.509.395,,,,5954805000.0,1537625260.0,44315255500.0,5890275823635.0,,5942083509395.0
Phát hành giấy tờ cỏ giá,Nợ phải trả > Phát hành giấy tờ cỏ giá,Phát hành giấy tờ cỏ giá,-,-,204.400.000.000,59.200.000.000,7.688.412.500.000,5.538.400.000.000,30.520.300.000.000,-,44.010.712.500.000,,,204400000000.0,59200000000.0,7688412500000.0,5538400000000.0,30520300000000.0,,44010712500000.0
Các khoản nợ khác - góp,Nợ phải trả > Các khoản nợ khác - góp,Các khoản nợ khác - góp,-,7.793.692.812.663,-,-,-,-,-,-,7.793.692.812.683,,7793692812663.0,,,,,,,7793692812683.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,8.157.045.764.949,99.522.814.040.628,36.435.435.773.559,45.422.494.065.288,18.011.243.130.630,41.490.824.792.705,474.157.712,249.040.331.725.471,,8157045764949.0,99522814040628.0,36435435773559.0,45422494065288.0,18011243130630.0,41490824792705.0,474157712.0,249040331725471.0
Mức chênh nhay cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhay cảm với lãi suất nội bảng,Mức chênh nhay cảm với lãi suất nội bảng,6.776.071.792.153,9.728.981.560.818,(37.204.256.865.879),28.434.599.137.739,18.505.616.274.985,23.965.770.390.690,(30.705.473.469.467),14.809.525.842.288,34.310.834.663.327,6776071792153.0,9728981560818.0,-37204256865879.0,28434599137739.0,18505616274985.0,23965770390690.0,-30705473469467.0,14809525842288.0,34310834663327.0
Các cam kết ngoại bảng cỏ tác động tới mức độ nhay cảm với lãi suất của các TS và công nợ (ròng),Nợ phải trả > Các cam kết ngoại bảng cỏ tác động tới mức độ nhay cảm với lãi suất của các TS và công nợ (ròng),Các cam kết ngoại bảng cỏ tác động tới mức độ nhay cảm với lãi suất của các TS và công nợ (ròng),-,-,-,-,-,-,(46.925.000.000),-,(46.925.000.000),,,,,,,-46925000000.0,,-46925000000.0
Mức chênh nhay cảm với lãi suất,Nợ phải trả > Mức chênh nhay cảm với lãi suất,Mức chênh nhay cảm với lãi suất,6.776.071.792.153,9.728.981.560.818,(37.204.256.865.879),28.434.599.137.739,18.505.616.274.985,23.965.770.390.690,(30.752.398.469.467),14.809.525.842.288,34.263.909.663.327,6776071792153.0,9728981560818.0,-37204256865879.0,28434599137739.0,18505616274985.0,23965770390690.0,-30752398469467.0,14809525842288.0,34263909663327.0
