row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng côngVND,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng côngVND
,,,Trên 3 thángVND,Đến 3 thángVND,Đến 1 thángVND,Từ 1 đến 3 thángVND,Từ 3 đến 12 thángVND,Từ 1 đến 5 nămVND,Trên 5 nămVND,Tổng côngVND,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đã quỳ","Tài sản > Tiền mặt, vàng bạc, đã quỳ","Tiền mặt, vàng bạc, đã quỳ",-,-,787.773.771.826,-,-,-,-,787.773.771.826,,,787773771826.0,,,,,787773771826.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,2.377.473.012.237,-,-,-,-,2.377.473.012.237,,,2377473012237.0,,,,,2377473012237.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,36.490.627.257.631,2.525.845.000.000,-,109.727.000.000,-,39.126.199.257.631,,,36490627257631.0,2525845000000.0,,109727000000.0,,39126199257631.0
Cho vay khách hàng và mua nợ - góp,Tài sản > Cho vay khách hàng và mua nợ - góp,Cho vay khách hàng và mua nợ - góp,5.495.106.007.177,1.276.165.784.976,7.344.230.025.038,11.576.533.545.672,31.912.297.583.246,43.358.874.544.505,74.960.484.472.417,175.923.691.963.031,5495106007177.0,1276165784976.0,7344230025038.0,11576533545672.0,31912297583246.0,43358874544505.0,74960484472417.0,175923691963031.0
Chứng khoán đầu tư - góp,Tài sản > Chứng khoán đầu tư - góp,Chứng khoán đầu tư - góp,-,-,-,50.679.985.651,29.680.452.385.902,3.557.721.984.057,19.346.756.171.847,52.635.610.527.457,,,,50679985651.0,29680452385902.0,3557721984057.0,19346756171847.0,52635610527457.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,630.506.628.479,630.506.628.479,,,,,,,630506628479.0,630506628479.0
Tài sản Có khác - góp,Tài sản > Tài sản Có khác - góp,Tài sản Có khác - góp,4.800.000.000,-,391.897.698.577,103.408.902.509,1.144.007.078.024,7.475.577.851.025,2.750.219.698.002,11.869.911.228.137,4800000000.0,,391897698577.0,103408902509.0,1144007078024.0,7475577851025.0,2750219698002.0,11869911228137.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,5.499.906.007.177,1.276.165.784.976,47.392.001.765.309,14.256.467.433.832,62.736.757.047.172,54.501.901.379.587,97.687.966.970.745,283.351.166.388.798,5499906007177.0,1276165784976.0,47392001765309.0,14256467433832.0,62736757047172.0,54501901379587.0,97687966970745.0,283351166388798.0
