row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,100,,4.808.121.360.239,4.716.154.523.908,,100.0,,4808121360239.0,4716154523908.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,V.1,146.702.663.329,289.974.538.387,,110.0,,146702663329.0,289974538387.0
1.,1.,1.,Tiền,111,,63.877.841.040,174.974.538.387,,111.0,,63877841040.0,174974538387.0
2.,2.,2.,Các khoản tương đương tiền,112,,82.824.822.289,115.000.000.000,,112.0,,82824822289.0,115000000000.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,5.906.764.384,8.305.000.000,,120.0,,5906764384.0,8305000000.0
1.,1.,1.,Chứng khoán kinh doanh,121,,-,-,,121.0,,,
2.,2.,2.,Dự phòng giảm giá chứng khoán kinh doanh,122,,-,-,,122.0,,,
3.,3.,3.,Đầu tư nằm giữ đến ngày đáo hạn,123,V.2,5.906.764.384,8.305.000.000,,123.0,,5906764384.0,8305000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,607.116.708.732,761.277.974.090,,130.0,,607116708732.0,761277974090.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,V.3a,464.423.774.338,626.102.132.491,,131.0,,464423774338.0,626102132491.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,V.4,86.537.712.151,93.239.176.075,,132.0,,86537712151.0,93239176075.0
3.,3.,3.,Phải thu nội bộ ngắn hạn,133,,-,-,,133.0,,,
4.,4.,4.,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,-,-,,134.0,,,
5.,5.,5.,Phải thu về cho vay ngắn hạn,135,,-,-,,135.0,,,
6.,6.,6.,Phải thu ngắn hạn khác,136,V.5a,55.898.564.456,41.679.466.393,,136.0,,55898564456.0,41679466393.0
7.,7.,7.,Dự phòng phải thu ngắn hạn khó đòi,137,V.6,-,-,,137.0,,,
8.,8.,8.,Tài sản thiếu chờ xử lý,139,,256.657.787,257.199.131,,139.0,,256657787.0,257199131.0
IV.,IV.,IV.,Hàng tồn kho,140,V.7,4.026.204.952.728,3.653.814.421.903,,140.0,,4026204952728.0,3653814421903.0
1.,1.,1.,Hàng tồn kho,141,,4.026.204.952.728,3.653.814.421.903,,141.0,,4026204952728.0,3653814421903.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,-,-,,149.0,,,
V.,V.,V.,Tài sản ngắn hạn khác,150,,22.190.271.066,2.782.589.528,,150.0,,22190271066.0,2782589528.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,V.8a,2.852.349.147,2.782.589.528,,151.0,,2852349147.0,2782589528.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,19.337.921.919,-,,152.0,,19337921919.0,
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,,-,-,,153.0,,,
4.,4.,4.,Giao dịch mua bán lại trái phiếu Chính phủ,154,,-,-,,154.0,,,
5.,5.,5.,Tài sản ngắn hạn khác,155,,-,-,,155.0,,,
