row_label_raw,row_label_full,STT,Danh mục các khoản đầu tư,Số lượng bán Đơn vị,Tổng giá trị bán VND,Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,Lãi/(lỗ) bán chứng khoán năm nay VND,Lãi/(lỗ) bán chứng khoán năm trước VND,numeric__Danh mục các khoản đầu tư,numeric__Số lượng bán Đơn vị,numeric__Tổng giá trị bán VND,numeric__Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,numeric__Lãi/(lỗ) bán chứng khoán năm nay VND,numeric__Lãi/(lỗ) bán chứng khoán năm trước VND
I,I,I,LÃI BÁN,,,,,,,,,,,
1,I > 1,1,Cổ phiếu và chứng khoán niêm yết (bao gồm cổ phiếu phòng ngừa rủi ro cho chứng quyền),497.617.486,18.044.971.848.390,16.877.866.815.744,1.167.105.032.646,311.443.556.570,,497617486.0,18044971848390.0,16877866815744.0,1167105032646.0,311443556570.0
2,I > 2,2,Cổ phiếu và chứng chỉ quỹ chưa niêm yết,13.638.189,326.050.579.511,163.432.585.882,162.617.993.629,35.762.559.898,,13638189.0,326050579511.0,163432585882.0,162617993629.0,35762559898.0
3,I > 3,3,Trái phiếu và chứng chỉ tiền gửi,576.917.111,141.352.357.045.979,140.987.148.550.390,365.208.495.589,434.341.452.102,,576917111.0,141352357045979.0,140987148550390.0,365208495589.0,434341452102.0
4,I > 4,4,Lãi vị thế của hợp đồng chứng khoán phải sinh,,,,851.845.665.000,235.219.422.000,,,,,851845665000.0,235219422000.0
5,I > 5,5,Chứng quyền do Công ty phát hành,1.504.963.800,1.850.542.662.185,1.326.814.390.800,523.728.271.385,386.959.038.007,,1504963800.0,1850542662185.0,1326814390800.0,523728271385.0,386959038007.0
,,,Tổng cộng,2.593.136.586,161.573.922.136.065,159.355.262.342.816,3.070.505.458.249,1.403.726.028.577,,2593136586.0,161573922136065.0,159355262342816.0,3070505458249.0,1403726028577.0
II,II,II,Lỗ BÁN,,,,,,,,,,,
1,II > 1,1,Cổ phiếu và chứng khoán niêm yết (bao gồm cổ phiếu phòng ngừa rủi ro cho chứng quyền),306.165.628,10.618.171.687.500,11.095.144.120.494,(476.972.432.994),(320.755.318.185),,306165628.0,10618171687500.0,11095144120494.0,-476972432994.0,-320755318185.0
2,II > 2,2,Cổ phiếu chưa niêm yết,1.095.625,19.643.793.024,90.501.503.322,(70.857.710.298),(4.677.702.845),,1095625.0,19643793024.0,90501503322.0,-70857710298.0,-4677702845.0
3,II > 3,3,Trái phiếu và chứng chỉ tiền gửi,136.349.445,29.567.498.498.370,29.653.524.743.655,(86.026.245.285),(122.581.141.713),,136349445.0,29567498498370.0,29653524743655.0,-86026245285.0,-122581141713.0
4,II > 4,4,Lỗ vị thế của hợp đồng chứng khoán phải sinh,,,,(1.076.579.746.000),(211.207.948.000),,,,,-1076579746000.0,-211207948000.0
5,II > 5,5,Chứng quyền do Công ty phát hành,1.411.943.700,2.516.090.221.004,3.193.636.316.000,(677.546.094.996),(138.349.091.095),,1411943700.0,2516090221004.0,3193636316000.0,-677546094996.0,-138349091095.0
,,,Tổng cộng,1.855.554.398,42.721.404.199.898,44.032.806.683.471,(2.387.982.229.573),(797.571.201.838),,1855554398.0,42721404199898.0,44032806683471.0,-2387982229573.0,-797571201838.0
