row_label_raw,row_label_full,Related party,Transaction content,Current year,Previous year,numeric__Transaction content,numeric__Current year,numeric__Previous year
+ International Development and Investment Corporation (I.D.I) (Subsidiary),+ International Development and Investment Corporation (I.D.I) (Subsidiary),+ International Development and Investment Corporation (I.D.I) (Subsidiary),+ International Development and Investment Corporation (I.D.I) (Subsidiary),+ International Development and Investment Corporation (I.D.I) (Subsidiary),+ International Development and Investment Corporation (I.D.I) (Subsidiary),,,
,,,1. Sales during the year:,"903,924,069","107,445,558,000",,,
,,,- Land use right transfer Lap Vo,,"106,725,558,000",,,
,,,- Rent land,"661,666,667","720,000,000",,,
,,,"- Hotels, restaurants","242,257,402",,,,
,,,2. Purchases during the year,"48,293,720,000","51,712,579,100",,,
,,,- Buying fish fillet,"47,816,320,000","51,227,479,100",,,
,,,- Entrusted export (fish fillet),"477,400,000","485,100,000",,,
,,,3. Loan,"978,000,000,000","537,600,000,000",,,
,,,- Loan,"885,500,000,000","537,600,000,000",,,
,,,- Pay the temporary loan,"92,500,000,000",,,,
,,,4. Pay for the year,"1,304,628,597,000","580,341,707,055",,,
,,,- Interest,"42,428,597,000","35,841,707,055",,,
,,,- Pay the loan,"1,169,700,000,000","544,500,000,000",,,
,,,- Pay the temporary loan,"92,500,000,000",,,,
,,,5. Others,"52,283,691,268","53,193,427,852",,,
,,,- Entrusted export of pangasius,"51,127,390,700","52,929,530,652",,,
,,,- Collect freight,"1,156,300,568","263,897,200",,,
+ An Giang Tourimex JSC (Subsidiary),+ An Giang Tourimex JSC (Subsidiary),+ An Giang Tourimex JSC (Subsidiary),+ An Giang Tourimex JSC (Subsidiary),+ An Giang Tourimex JSC (Subsidiary),+ An Giang Tourimex JSC (Subsidiary),,,
,,,1. Sales during the year:,"6,605,325,678","2,962,510,783",,,
,,,"- Restaurant, hotel services, tours...","6,605,325,678","2,962,510,783",,,
,,,2. Lending money,"47,200,000,000","45,200,000,000",,,
,,,- Lending money,"47,200,000,000","45,200,000,000",,,
,,,3. Received within the year,"46,529,718,000","25,006,175,123",,,
,,,- Interest,"39,500,000,000","19,500,000,000",,,
,,,- Loan,"7,029,718,000","5,506,175,123",,,
