row_label_raw,row_label_full,Related party,Transaction content,Current year,Previous year,numeric__Transaction content,numeric__Current year,numeric__Previous year
+ Nhut Hong JSC (Subsidiary),+ Nhut Hong JSC (Subsidiary),+ Nhut Hong JSC (Subsidiary),+ Nhut Hong JSC (Subsidiary),+ Nhut Hong JSC (Subsidiary),+ Nhut Hong JSC (Subsidiary),,,
,,,1. Sales during the year:,"4,352,794,200","24,285,659,025",,,
,,,- Construction of Ca Mau residential area,,"20,017,565,725",,,
,,,- Real estate brokerage fees,"3,692,794,200","3,333,093,300",,,
,,,- Office for lease,"660,000,000","935,000,000",,,
,,,2. Received within the year,"56,631,396,285","36,565,270,000",,,
,,,- Loan receivable,"15,600,000,000","33,900,000,000",,,
,,,- Collects loan,"26,800,000,000","800,000,000",,,
,,,- Collects interest from loan,"2,636,021,000","1,865,270,000",,,
,,,- Collect temporary loan,"11,595,375,285",,,,
,,,3. Pay for the year,"11,595,375,285",,,,
,,,- Temporary loan,"11,595,375,285",,,,
+ Long An Europlast Solar Power JSC (Subsidiary),+ Long An Europlast Solar Power JSC (Subsidiary),+ Long An Europlast Solar Power JSC (Subsidiary),+ Long An Europlast Solar Power JSC (Subsidiary),+ Long An Europlast Solar Power JSC (Subsidiary),+ Long An Europlast Solar Power JSC (Subsidiary),,,
,,,1. Loan,"117,500,000,000","82,660,000,000",,,
,,,- Loan,"117,500,000,000","82,660,000,000",,,
,,,2. Received within the year,"23,000,000,000","46,000,000,000",,,
,,,- Collecting dividends,"23,000,000,000","46,000,000,000",,,
,,,3. Pay for the year,"105,557,308,000","73,858,163,000",,,
,,,- Interest,"8,767,308,000","4,358,163,000",,,
,,,- Borrowings,"96,790,000,000","69,500,000,000",,,
"+ Sao Mai Solar Co.,Ltd (Subsidiary)","+ Sao Mai Solar Co.,Ltd (Subsidiary)","+ Sao Mai Solar Co.,Ltd (Subsidiary)","+ Sao Mai Solar Co.,Ltd (Subsidiary)","+ Sao Mai Solar Co.,Ltd (Subsidiary)","+ Sao Mai Solar Co.,Ltd (Subsidiary)",,,
,,,1. Sales during the year:,"17,988,081,480","12,020,557,520",,,
,,,- Solar power plant operation monitoring and management,"17,988,081,480","12,020,557,520",,,
,,,- Buy supplies,,,,,
,,,2. Received within the year,"44,918,151,000","1,500,000,000",,,
,,,- Borrowings,"36,000,000,000","1,500,000,000",,,
,,,- Collects loan,"7,500,000,000",,,,
,,,- Collects interest from loan,"418,151,000",,,,
,,,- Collect temporary loan,"1,000,000,000",,,,
