row_label_raw,row_label_full,Related party,Transaction content,Current year,Previous year,numeric__Transaction content,numeric__Current year,numeric__Previous year
+ Dong Thap Tourist JSC (Subsidiary),+ Dong Thap Tourist JSC (Subsidiary),+ Dong Thap Tourist JSC (Subsidiary),+ Dong Thap Tourist JSC (Subsidiary),+ Dong Thap Tourist JSC (Subsidiary),+ Dong Thap Tourist JSC (Subsidiary),,,
,,,1. Sales during the year:,"1,400,885,381",,,,
,,,"- Restaurant, hotel services, air ticket","1,030,885,381",,,,
,,,- Asset for lease,"370,000,000",,,,
,,,2. Purchases during the year,"1,150,148,961","1,132,311,040",,,
,,,"- Restaurants, hotels, airplane tickets","1,150,148,961","1,132,311,040",,,
,,,3. Received within the year,"1,200,000,000","7,500,000,000",,,
,,,- Borrowings,"1,200,000,000","7,500,000,000",,,
,,,- Collects loan,"9,000,000,000",,,,
,,,- Collects interest from loan,"38,663,000",,,,
,,,- Collect temporary loan,"3,000,000,000",,,,
,,,4. Pay for the year,"4,613,424,000","447,810,000",,,
,,,- Pay the borrowings,"1,200,000,000",,,,
,,,- Interest form borrowings,"413,424,000","447,810,000",,,
,,,- Pay the temporary loan,"3,000,000,000",,,,
