row_label_raw,row_label_full,No.,(Code) Industry registered for investment and business,numeric__(Code) Industry registered for investment and business
12,12,12,(Code 4101): Build houses to live in,
13,13,13,(Code 1061): Milling and producing raw flour,
14,14,14,(Code 4102): Building a house not for living,
15,15,15,(Code 1062): Production of starch and products from starch,
16,16,16,(Code 8531): Primary training. Details: Vocational training,
17,17,17,(Code 4292): Construction of mining works,
18,18,18,"(Code 4620): Wholesale of agricultural and forestry raw materials (except wood, bamboo) and live animals. Details: Wholesale of food and feed ingredients for livestock, poultry and aquatic products (Except for exercising export rights, import rights, and distribution rights for goods on the investor's list of goods Foreign investment, foreign-invested economic organizations are not entitled to export rights, import rights, or distribution rights: Cigarettes and cigars, books, newspapers and magazines, recorded items, precious metals and gems, pharmaceuticals, explosives, crude and processed oils, rice, cane and beet sugar).",
19,19,19,"(Code 6820): Consulting, brokerage, real estate auction, land use right auction. Details: Real estate brokerage services; Details: Real estate trading floor services; Details: Real estate consulting services.",
20,20,20,(Code 4293): Construction of processing and manufacturing works,
21,21,21,"(Code 4212): Construction of road works. Details: Construction of traffic works (bridges, roads, culverts,...)",
22,22,22,(Code 4511): Wholesale of cars and other motor vehicles. Details: Wholesale of forklifts,
23,23,23,(Code 4291): Construction of water works. Details: Construction of irrigation works; Details: Construction of underground works; Details: Construction of water supply and drainage pipelines (Except for transmission and regulation of the national power system; Construction and operation of multi-purpose hydropower and nuclear power have particularly important socio-economic significance ),
24,24,24,"(Code 4322): Installation of water supply, drainage, heating and air conditioning systems",
25,25,25,(Code 4663): Wholesale of materials and other installation equipment in construction. Details: Buying and selling building materials; Details: Production and sale of construction Melaleuca,
26,26,26,"(Code 4632): Sale food. Details: Buy and sell fish and seafood; Details: Buying and selling processed foods, aquatic products and aquatic products; oils, fats, animals and plants (Except for the exercise of the right to export, the right to import, and the right to distribute for goods on the list of goods that foreign investors, economic organizations with foreign investment do not Right to export, right to import, right to distribute: Cigarettes and cigars, books, newspapers and magazines, video articles, precious metals and gems, pharmaceuticals, explosives, crude oil and processed oil processed, rice, cane and beet sugar).",
27,27,27,(Code 5510): Short-stay services. Details: Hotel and restaurant service business,
28,28,28,(Code 0322): Inland aquaculture. Details: Aquaculture,
29,29,29,(Code 1020): Processing and preserving aquatic products and aquatic products. Details: Seafood processing,
30,30,30,(Code 4312): Prepare surface. Details: Leveling,
31,31,31,"(Code 0810): Exploitation of stone, sand, gravel and clay. Details: Mining sand and gravel",
32,32,32,(Code 8710): Activities of nursing and nursing facilities. Details: Business in nursing homes,
33,33,33,"(Code 5610): Restaurants and mobile catering services. Details: Food and beverage service business Details: Restaurant - bar services, live music and dance music (not operating at the headquarters)",
