row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,LNST chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__LNST chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,2.736.464.610.000,(300.150.000),824.773.364.467,807.753.922.348,4.368.691.746.815,2736464610000.0,-300150000.0,824773364467.0,807753922348.0,4368691746815.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,1.904.581.571.794,1.904.581.571.794,,,,1904581571794.0,1904581571794.0
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,(328.339.538.000),(328.339.538.000),,,,-328339538000.0,-328339538000.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,547.230.920.000,-,-,(547.230.920.000),-,547230920000.0,,,-547230920000.0,
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,(190.393.199.159),(190.393.199.159),,,,-190393199159.0,-190393199159.0
Khác,Khác,Khác,-,-,-,(569.134.463),(569.134.463),,,,-569134463.0,-569134463.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,3.283.695.530.000,(300.150.000),824.773.364.467,1.645.802.702.520,5.753.971.446.987,3283695530000.0,-300150000.0,824773364467.0,1645802702520.0,5753971446987.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,2.060.582.795.909,2.060.582.795.909,,,,2060582795909.0,2060582795909.0
Chia cổ tức bằng tiền (*) (Thuyết minh 33(a)),Chia cổ tức bằng tiền (*) (Thuyết minh 33(a)),Chia cổ tức bằng tiền (*) (Thuyết minh 33(a)),-,-,-,(328.339.538.000),(328.339.538.000),,,,-328339538000.0,-328339538000.0
Trích Quỹ đầu tư phát triển (**),Trích Quỹ đầu tư phát triển (**),Trích Quỹ đầu tư phát triển (**),-,-,599.722.147.739,(599.722.147.739),-,,,599722147739.0,-599722147739.0,
"Trích Quỹ khen thưởng, phúc lợi (**) (Thuyết minh 20)","Trích Quỹ khen thưởng, phúc lợi (**) (Thuyết minh 20)","Trích Quỹ khen thưởng, phúc lợi (**) (Thuyết minh 20)",-,-,-,(209.421.566.001),(209.421.566.001),,,,-209421566001.0,-209421566001.0
Hủy cổ phiếu quỹ,Hủy cổ phiếu quỹ,Hủy cổ phiếu quỹ,(300.150.000),300.150.000,-,-,-,-300150000.0,300150000.0,,,
Khác,Khác,Khác,-,-,-,(585.031.590),(585.031.590),,,,-585031590.0,-585031590.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,3.283.395.380.000,-,1.424.495.512.206,2.568.317.215.099,7.276.208.107.305,3283395380000.0,,1424495512206.0,2568317215099.0,7276208107305.0
