row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số minh,Thuyết,31/12/2022 VND,01/01/2022 VND,numeric__TÀI SẢN_1,numeric__Mã số minh,numeric__Thuyết,numeric__31/12/2022 VND,numeric__01/01/2022 VND
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,5.553.133.970.169,5.432.386.352.910,,100.0,,5553133970169.0,5432386352910.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,127.944.063.243,287.329.109.189,,110.0,4.0,127944063243.0,287329109189.0
1.,1.,1.,Tiền,111,,71.944.063.243,287.329.109.189,,111.0,,71944063243.0,287329109189.0
2.,2.,2.,Các khoản tương đương tiền,112,,56.000.000.000,-,,112.0,,56000000000.0,
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,2.322.272.618.561,21.381.661.250,,120.0,,2322272618561.0,21381661250.0
1.,1.,1.,Chứng khoán kinh doanh,121,6.1,172.618.561,21.381.661.250,,121.0,61.0,172618561.0,21381661250.0
2.,2.,2.,Dự phòng giảm giá chứng khoán kinh doanh,122,,-,-,,122.0,,,
3.,3.,3.,Đầu tư nắm giữ đến ngày đáo hạn,123,6.2,2.322.100.000.000,-,,123.0,62.0,2322100000000.0,
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,3.078.143.844.985,5.047.616.591.947,,130.0,,3078143844985.0,5047616591947.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,7,1.013.654.069.318,1.188.709.468.044,,131.0,7.0,1013654069318.0,1188709468044.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,8,81.483.958.164,90.750.003.468,,132.0,8.0,81483958164.0,90750003468.0
3.,3.,3.,Phải thu nội bộ ngắn hạn,133,,-,-,,133.0,,,
4.,4.,4.,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,-,-,,134.0,,,
5.,5.,5.,Phải thu về cho vay ngắn hạn,135,9,2.649.531.848.953,2.599.305.341.915,,135.0,9.0,2649531848953.0,2599305341915.0
6.,6.,6.,Phải thu ngắn hạn khác,136,10,1.269.880.213.369,1.241.091.708.278,,136.0,10.0,1269880213369.0,1241091708278.0
7.,7.,7.,Dự phòng các khoản phải thu ngắn hạn khó đòi,137,11,(1.936.406.244.819),(72.239.929.758),,137.0,11.0,-1936406244819.0,-72239929758.0
8.,8.,8.,Tài sản thiếu chờ xử lý,139,,-,-,,139.0,,,
IV.,IV.,IV.,Hàng tồn kho,140,,6.561.591,41.133.973,,140.0,,6561591.0,41133973.0
1.,1.,1.,Hàng tồn kho,141,,6.561.591,41.133.973,,141.0,,6561591.0,41133973.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,-,-,,149.0,,,
V.,V.,V.,Tài sản ngắn hạn khác,150,,24.766.881.789,76.017.856.551,,150.0,,24766881789.0,76017856551.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,5,3.762.379.198,53.708.179.933,,151.0,5.0,3762379198.0,53708179933.0
2.,2.,2.,Thuế GTGT được khấu trừ,152,,20.993.485.226,21.648.078.493,,152.0,,20993485226.0,21648078493.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,15,11.017.365,661.598.125,,153.0,15.0,11017365.0,661598125.0
4.,4.,4.,Giao dịch mua bán lại trái phiếu Chính phủ,154,,-,-,,154.0,,,
5.,5.,5.,Tài sản ngắn hạn khác,155,,-,-,,155.0,,,
