row_label_raw,row_label_full,col_0,31/12/2022 > Giá trị ghi số,31/12/2022 > Dự phòng,01/01/2022 > Giá trị ghi số,01/01/2022 > Dự phòng,numeric__31/12/2022 > Giá trị ghi số,numeric__31/12/2022 > Dự phòng,numeric__01/01/2022 > Giá trị ghi số,numeric__01/01/2022 > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,1.024.727.433.160,-,772.839.749.035,-,1024727433160.0,,772839749035.0,
Ông Chu Thế Cường (1),Ông Chu Thế Cường (1),Ông Chu Thế Cường (1),194.900.000.000,-,-,-,194900000000.0,,,
Công ty Cổ phần GL Group,Công ty Cổ phần GL Group,Công ty Cổ phần GL Group,1.740.640.000,-,-,-,1740640000.0,,,
Đặt cọc theo hợp đồng chuyển nhượng (2),Đặt cọc theo hợp đồng chuyển nhượng (2),Đặt cọc theo hợp đồng chuyển nhượng (2),95.495.639.991,-,407.771.456.000,-,95495639991.0,,407771456000.0,
Phải thu theo hợp đồng hợp tác và các biển bản thỏa thuận (3),Phải thu theo hợp đồng hợp tác và các biển bản thỏa thuận (3),Phải thu theo hợp đồng hợp tác và các biển bản thỏa thuận (3),251.000.000.000,-,181.891.689.634,-,251000000000.0,,181891689634.0,
Phải thu theo biển bản thanh lý thỏa thuận hợp đồng hợp tác đầu tư (4),Phải thu theo biển bản thanh lý thỏa thuận hợp đồng hợp tác đầu tư (4),Phải thu theo biển bản thanh lý thỏa thuận hợp đồng hợp tác đầu tư (4),450.000.000.000,-,41.648.090.000,-,450000000000.0,,41648090000.0,
Công ty CP Đầu tư và kinh doanh Bắt động sản Hải Phát (tiền cổ tức),Công ty CP Đầu tư và kinh doanh Bắt động sản Hải Phát (tiền cổ tức),Công ty CP Đầu tư và kinh doanh Bắt động sản Hải Phát (tiền cổ tức),9.301.007.285,-,-,-,9301007285.0,,,
Tạm ứng,Tạm ứng,Tạm ứng,11.232.092.888,-,129.702.627.637,-,11232092888.0,,129702627637.0,
Phải thu khác,Phải thu khác,Phải thu khác,11.058.052.996,,11.825.885.764,-,11058052996.0,,11825885764.0,
Dài hạn,Dài hạn,Dài hạn,616.920.000.000,-,562.672.000.000,-,616920000000.0,,562672000000.0,
Phải thu theo các hợp đồng hợp tác đầu tư (5),Phải thu theo các hợp đồng hợp tác đầu tư (5),Phải thu theo các hợp đồng hợp tác đầu tư (5),601.248.000.000,-,547.000.000.000,-,601248000000.0,,547000000000.0,
Sở Kế hoạch và Đầu tư tỉnh Bình Thuận (Ký quỹ thực hiện dự án),Sở Kế hoạch và Đầu tư tỉnh Bình Thuận (Ký quỹ thực hiện dự án),Sở Kế hoạch và Đầu tư tỉnh Bình Thuận (Ký quỹ thực hiện dự án),15.672.000.000,-,15.672.000.000,-,15672000000.0,,15672000000.0,
Tổng,Tổng,Tổng,1.641.647.433.160,-,1.335.511.749.035,-,1641647433160.0,,1335511749035.0,
Trong đó phải thu các bên liên quan(Chi tiết tại Thuyết minh số 7.2),Trong đó phải thu các bên liên quan(Chi tiết tại Thuyết minh số 7.2),Trong đó phải thu các bên liên quan(Chi tiết tại Thuyết minh số 7.2),757.301.007.285,-,691.091.689.634,-,757301007285.0,,691091689634.0,
