row_label_raw,row_label_full,col_0,Kinh doanh xăng dầu,Kinh doanh xăng dầu_1,Khối kinh doanh các sản phẩm hóa dầu,Khối kinh doanh các sản phẩm gas,Khối kinh doanh dịch vụ vận tải,"Khối kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng cộng,numeric__Kinh doanh xăng dầu,numeric__Kinh doanh xăng dầu_1,numeric__Khối kinh doanh các sản phẩm hóa dầu,numeric__Khối kinh doanh các sản phẩm gas,numeric__Khối kinh doanh dịch vụ vận tải,"numeric__Khối kinh doanh hàng hóa, dịch vụ khác",numeric__Loại trừ nội bộ và điều chỉnh hợp nhất,numeric__Tổng cộng
,,,Khối xăng dầu thành viên,Các công ty con không thuộc khởi xăng dầu thành viên,Khối kinh doanh các sản phẩm hóa dầu,Khối kinh doanh các sản phẩm gas,Khối kinh doanh dịch vụ vận tải,"Khối kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng cộng,,,,,,,,
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Tổng doanh thu thuần,Tổng doanh thu thuần,Tổng doanh thu thuần,94.166.995.611.816,32.664.904.440.943,5.608.434.652.325,2.824.679.329.108,6.941.502.506.534,1.867.959.021.284,(20.155.825.183.359),123.918.650.378.651,94166995611816.0,32664904440943.0,5608434652325.0,2824679329108.0,6941502506534.0,1867959021284.0,-20155825183359.0,123918650378651.0
Trong đó: Doanh thu nội bộ,Trong đó: Doanh thu nội bộ,Trong đó: Doanh thu nội bộ,5.313.070.465.544,8.866.159.052.044,1.163.617.760.608,834.305.698.474,3.488.548.972.305,490.123.234.384,(20.155.825.183.359),-,5313070465544.0,8866159052044.0,1163617760608.0,834305698474.0,3488548972305.0,490123234384.0,-20155825183359.0,
Doanh thu thuần bán ra bên ngoài,Doanh thu thuần bán ra bên ngoài,Doanh thu thuần bán ra bên ngoài,88.853.925.146.272,23.798.745.388.899,4.444.816.891.717,1.990.373.630.634,3.452.953.534.229,1.377.835.786.900,-,123.918.650.378.651,88853925146272.0,23798745388899.0,4444816891717.0,1990373630634.0,3452953534229.0,1377835786900.0,,123918650378651.0
Chi phí kinh doanh,Chi phí kinh doanh,Chi phí kinh doanh,(94.679.546.720.365),(32.439.649.922.811),(5.389.232.494.948),(2.687.154.780.638),(6.669.879.781.134),(1.611.078.390.055),20.187.126.157.791,(123.289.415.932.160),-94679546720365.0,-32439649922811.0,-5389232494948.0,-2687154780638.0,-6669879781134.0,-1611078390055.0,20187126157791.0,-123289415932160.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,(86.348.098.377.339),(31.666.722.204.729),(4.656.912.122.834),(2.191.476.873.256),(6.159.670.001.306),(1.398.937.787.615),18.543.103.932.683,(113.878.713.434.396),-86348098377339.0,-31666722204729.0,-4656912122834.0,-2191476873256.0,-6159670001306.0,-1398937787615.0,18543103932683.0,-113878713434396.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,(8.331.448.343.026),(758.348.640.577),(528.106.657.024),(345.520.287.093),(150.280.819.711),(121.339.185.212),1.644.022.225.108,(8.591.021.707.535),-8331448343026.0,-758348640577.0,-528106657024.0,-345520287093.0,-150280819711.0,-121339185212.0,1644022225108.0,-8591021707535.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,-,(14.579.077.505),(204.213.715.090),(150.157.620.289),(359.928.960.117),(90.801.417.228),-,(819.680.790.229),,-14579077505.0,-204213715090.0,-150157620289.0,-359928960117.0,-90801417228.0,,-819680790229.0
(Lỗ)/lợi nhuận từ hoạt động kinh doanh (trước hoạt động tài chính),(Lỗ)/lợi nhuận từ hoạt động kinh doanh (trước hoạt động tài chính),(Lỗ)/lợi nhuận từ hoạt động kinh doanh (trước hoạt động tài chính),(512.551.108.549),225.254.518.132,219.202.157.377,137.524.548.470,271.622.725.400,256.880.631.229,31.300.974.432,629.234.446.491,-512551108549.0,225254518132.0,219202157377.0,137524548470.0,271622725400.0,256880631229.0,31300974432.0,629234446491.0
"Phần lãi trong công ty liên doanh, liên kết","Phần lãi trong công ty liên doanh, liên kết","Phần lãi trong công ty liên doanh, liên kết",,,,,,,,597.129.435.647,,,,,,,,597129435647.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,916.720.519.051,,,,,,,,916720519051.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,,,(951.684.580.108),,,,,,,,-951684580108.0
Kết quả từ các hoạt động khác,Kết quả từ các hoạt động khác,Kết quả từ các hoạt động khác,,,,,,,,218.181.170.963,,,,,,,,218181170963.0
Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,,,,,,,,1.409.580.992.044,,,,,,,,1409580992044.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,,,,,(202.872.632.017),,,,,,,,-202872632017.0
Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,,,,,,,,45.863.848.305,,,,,,,,45863848305.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,,1.252.572.208.332,,,,,,,,1252572208332.0
