row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2019 VND,31/12/2018 VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2019 VND,numeric__31/12/2018 VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU NỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Ngân hàng Nhà nước Việt Nam,16,170.256.322.260,1.469.369.844.175,,16.0,170256322260.0,1469369844175.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,17,18.368.865.706.788,16.755.979.976.142,,17.0,18368865706788.0,16755979976142.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,13.693.945.020.646,11.206.813.979.819,,,13693945020646.0,11206813979819.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,4.674.920.686.142,5.549.165.996.323,,,4674920686142.0,5549165996323.0
III,B > III,III,Tiền gửi của khách hàng,18,69.142.056.294.441,60.362.575.007.000,,18.0,69142056294441.0,60362575007000.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",19,4.628.453.305.634,2.554.086.683.211,,19.0,4628453305634.0,2554086683211.0
VI,B > VI,VI,Phát hành giấy tờ có giá,20,11.764.565.982.207,8.156.400.898.720,,20.0,11764565982207.0,8156400898720.0
VII,B > VII,VII,Các khoản nợ khác,,2.578.622.877.650,1.868.457.190.132,,,2578622877650.0,1868457190132.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,1.701.352.095.988,1.379.622.216.389,,,1701352095988.0,1379622216389.0
3,B > 3,3,Các khoản phải trả và công nợ khác,21,877.270.781.662,488.834.973.743,,21.0,877270781662.0,488834973743.0
,,,TỔNG NỘ PHẢI TRẢ,,106.652.820.488.980,91.166.869.599.380,,,106652820488980.0,91166869599380.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn chủ sở hữu,23,11.507.150.358.768,8.797.238.027.838,,23.0,11507150358768.0,8797238027838.0
1,B > 1,1,Vốn,,8.049.788.003.124,6.607.760.630.000,,,8049788003124.0,6607760630000.0
a,B > a,a,Vốn điều lệ,,7.898.570.750.000,6.599.210.630.000,,,7898570750000.0,6599210630000.0
c,B > c,c,Thặng dư vốn cổ phần,,151.217.253.124,98.800.000.000,,,151217253124.0,98800000000.0
d,B > d,d,Cổ phiếu quỹ,,-,(90.250.000.000),,,,-90250000000.0
2,B > 2,2,Các quỹ,,1.075.944.773.514,688.441.619.221,,,1075944773514.0,688441619221.0
5,B > 5,5,Lợi nhuận chưa phân phối,,2.381.417.582.130,1.501.035.778.617,,,2381417582130.0,1501035778617.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,11.507.150.358.768,8.797.238.027.838,,,11507150358768.0,8797238027838.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,118.159.970.847.748,99.964.107.627.218,,,118159970847748.0,99964107627218.0
