row_label_raw,row_label_full,col_0,31/12/2023 > Giá trị ghi số,31/12/2023 > Dự phòng,01/01/2023 > Giá trị ghi số,01/01/2023 > Dự phòng,numeric__31/12/2023 > Giá trị ghi số,numeric__31/12/2023 > Dự phòng,numeric__01/01/2023 > Giá trị ghi số,numeric__01/01/2023 > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,1.394.679.301.059,-,1.024.727.433.160,-,1394679301059.0,,1024727433160.0,
Ông Chu Thế Cường (1),Ông Chu Thế Cường (1),Ông Chu Thế Cường (1),54.900.000.000,-,194.900.000.000,-,54900000000.0,,194900000000.0,
Công ty Cổ phần GL Group,Công ty Cổ phần GL Group,Công ty Cổ phần GL Group,1.740.640.000,-,1.740.640.000,-,1740640000.0,,1740640000.0,
Đặt cọc theo hợp đồng chuyển nhượng (2),Đặt cọc theo hợp đồng chuyển nhượng (2),Đặt cọc theo hợp đồng chuyển nhượng (2),95.495.639.991,-,95.495.639.991,-,95495639991.0,,95495639991.0,
Phải thu theo hợp đồng hợp tác và các biên bản thỏa thuận (3),Phải thu theo hợp đồng hợp tác và các biên bản thỏa thuận (3),Phải thu theo hợp đồng hợp tác và các biên bản thỏa thuận (3),709.256.241.875,-,251.000.000.000,-,709256241875.0,,251000000000.0,
Phải thu theo biên bản thanh lý thỏa thuận hợp đồng hợp tác đầu tư (4),Phải thu theo biên bản thanh lý thỏa thuận hợp đồng hợp tác đầu tư (4),Phải thu theo biên bản thanh lý thỏa thuận hợp đồng hợp tác đầu tư (4),450.000.000.000,-,450.000.000.000,-,450000000000.0,,450000000000.0,
Công ty CP Đầu tư và kinh doanh Bất động sản Hải Phát (tiền cổ tức),Công ty CP Đầu tư và kinh doanh Bất động sản Hải Phát (tiền cổ tức),Công ty CP Đầu tư và kinh doanh Bất động sản Hải Phát (tiền cổ tức),9.301.007.285,-,9.301.007.285,-,9301007285.0,,9301007285.0,
Tạm ứng,Tạm ứng,Tạm ứng,60.948.134.251,-,11.232.092.888,-,60948134251.0,,11232092888.0,
Phải thu khác,Phải thu khác,Phải thu khác,13.037.637.657,-,11.058.052.996,-,13037637657.0,,11058052996.0,
Dài hạn,Dài hạn,Dài hạn,119.920.000.000,-,616.920.000.000,-,119920000000.0,,616920000000.0,
Phải thu theo các hợp đồng hợp tác đầu tư (5),Phải thu theo các hợp đồng hợp tác đầu tư (5),Phải thu theo các hợp đồng hợp tác đầu tư (5),104.248.000.000,-,601.248.000.000,-,104248000000.0,,601248000000.0,
Sở Kế hoạch và Đầu tư tỉnh Bình Thuận (Ký quỹ thực hiện dự án),Sở Kế hoạch và Đầu tư tỉnh Bình Thuận (Ký quỹ thực hiện dự án),Sở Kế hoạch và Đầu tư tỉnh Bình Thuận (Ký quỹ thực hiện dự án),15.672.000.000,-,15.672.000.000,-,15672000000.0,,15672000000.0,
Tổng,Tổng,Tổng,1.514.599.301.059,-,1.641.647.433.160,-,1514599301059.0,,1641647433160.0,
Trong đó phải thu các bên liên quan (Chi tiết tại Thuyết minh số 7.1),Trong đó phải thu các bên liên quan (Chi tiết tại Thuyết minh số 7.1),Trong đó phải thu các bên liên quan (Chi tiết tại Thuyết minh số 7.1),167.036.600.000,-,757.301.007.285,-,167036600000.0,,757301007285.0,
