row_label_raw,row_label_full,Đơn vị tính: VND,Đơn vị tính: VND_1,Đơn vị tính: VND_2,Đơn vị tính: VND_3,Đơn vị tính: VND_4,Đơn vị tính: VND_5,Đơn vị tính: VND_6,numeric__Đơn vị tính: VND_1,numeric__Đơn vị tính: VND_2,numeric__Đơn vị tính: VND_3,numeric__Đơn vị tính: VND_4,numeric__Đơn vị tính: VND_5,numeric__Đơn vị tính: VND_6
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,,52.500.000,,,,,,52500000.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,,,,,,9.273.389.223,,,,,,9273389223.0
- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh,- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh,- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh,- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh,- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh,- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh,- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh,- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh,- Tài sản và nợ phải trả bộ phận theo lĩnh vực kinh doanh,,,,,,
01/01/2019,01/01/2019,01/01/2019,Bán hàng,Dịch vụ,Bất động sản đầu tư,"Vận hành, bảo dưỡng Hầm",Xây dựng,Tổng cộng,,,,,,
Tài sản bộ phận,01/01/2019 > Tài sản bộ phận,Tài sản bộ phận,29.820.524.022,14.436.993.933,8.362.670.271,3.672.677.537,41.834.993.668,98.127.859.431,29820524022.0,14436993933.0,8362670271.0,3672677537.0,41834993668.0,98127859431.0
Tài sản không phân bổ,01/01/2019 > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,262.287.120.523,,,,,,262287120523.0
Tổng tài sản,01/01/2019 > Tổng tài sản,Tổng tài sản,29.820.524.022,14.436.993.933,8.362.670.271,3.672.677.537,41.834.993.668,360.414.979.954,29820524022.0,14436993933.0,8362670271.0,3672677537.0,41834993668.0,360414979954.0
Nợ phải trả bộ phận,01/01/2019 > Nợ phải trả bộ phận,Nợ phải trả bộ phận,,,,90.384.706.855,121.173.680.110,211.558.386.965,,,,90384706855.0,121173680110.0,211558386965.0
Nợ phải trả không phân bổ,01/01/2019 > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,47.405.876.647,,,,,,47405876647.0
Tổng nợ phải trả,01/01/2019 > Tổng nợ phải trả,Tổng nợ phải trả,,,,90.384.706.855,121.173.680.110,258.964.263.612,,,,90384706855.0,121173680110.0,258964263612.0
