row_label_raw,row_label_full,col_0,31/12/2024 > Giá trị,31/12/2024 > Số có khả năng trả nợ,01/01/2024 > Giá trị,01/01/2024 > Số có khả năng trả nợ,numeric__31/12/2024 > Giá trị,numeric__31/12/2024 > Số có khả năng trả nợ,numeric__01/01/2024 > Giá trị,numeric__01/01/2024 > Số có khả năng trả nợ
Bên liên quan,Bên liên quan,Bên liên quan,VND,VND,VND,VND,,,,
Bên liên quan,Bên liên quan > Bên liên quan,Bên liên quan,17.295.494.141,17.295.494.141,1.665.143.485,1.665.143.485,17295494141.0,17295494141.0,1665143485.0,1665143485.0
Công Ty TNHH MTV Đầu Tư và Quản Lý Dự án Bình Dương,Bên liên quan > Công Ty TNHH MTV Đầu Tư và Quản Lý Dự án Bình Dương,Công Ty TNHH MTV Đầu Tư và Quản Lý Dự án Bình Dương,1.867.850.023,1.867.850.023,1.534.244.371,1.534.244.371,1867850023.0,1867850023.0,1534244371.0,1534244371.0
Công ty CP Phát triển Phú Mỹ,Bên liên quan > Công ty CP Phát triển Phú Mỹ,Công ty CP Phát triển Phú Mỹ,11.360.000,11.360.000,22.660.000,22.660.000,11360000.0,11360000.0,22660000.0,22660000.0
Công ty TNHH Đầu tư Xây dựng và Công nghệ Môi trường Dương Nhật,Bên liên quan > Công ty TNHH Đầu tư Xây dựng và Công nghệ Môi trường Dương Nhật,Công ty TNHH Đầu tư Xây dựng và Công nghệ Môi trường Dương Nhật,10.289.364.119,10.289.364.119,-,-,10289364119.0,10289364119.0,,
Công ty CP Đầu tư & Phát triển Tân Thành,Bên liên quan > Công ty CP Đầu tư & Phát triển Tân Thành,Công ty CP Đầu tư & Phát triển Tân Thành,-,-,108.239.114,108.239.114,,,108239114.0,108239114.0
Nguyễn Đức Hùng,Bên liên quan > Nguyễn Đức Hùng,Nguyễn Đức Hùng,2.257.428.759,2.257.428.759,-,-,2257428759.0,2257428759.0,,
"Công ty Phone Theb Ja Lorn Xay Trading Sole Co., Ltd","Bên liên quan > Công ty Phone Theb Ja Lorn Xay Trading Sole Co., Ltd","Công ty Phone Theb Ja Lorn Xay Trading Sole Co., Ltd",2.869.491.240,2.869.491.240,-,-,2869491240.0,2869491240.0,,
Bên khác,Bên liên quan > Bên khác,Bên khác,8.058.462.765,8.058.462.765,16.554.132.689,16.554.132.689,8058462765.0,8058462765.0,16554132689.0,16554132689.0
Công ty TNHH MTV Cao su Hồ Chí Minh,Bên liên quan > Công ty TNHH MTV Cao su Hồ Chí Minh,Công ty TNHH MTV Cao su Hồ Chí Minh,-,-,9.259.843.993,9.259.843.993,,,9259843993.0,9259843993.0
Phải trả các đối tượng khác,Bên liên quan > Phải trả các đối tượng khác,Phải trả các đối tượng khác,8.058.462.765,8.058.462.765,7.294.288.696,7.294.288.696,8058462765.0,8058462765.0,7294288696.0,7294288696.0
,,,25.353.956.906,25.353.956.906,18.219.276.174,18.219.276.174,25353956906.0,25353956906.0,18219276174.0,18219276174.0
