row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2019triệu đồng,%,Ngày 31 tháng 12năm 2018triệu đồng,%_1,numeric__Ngày 31 tháng 12năm 2019triệu đồng,numeric__%,numeric__Ngày 31 tháng 12năm 2018triệu đồng,numeric__%_1
Công ty Nhà nước,Công ty Nhà nước,Công ty Nhà nước,42.213.282,"4,56",35.740.891,"4,18",42213282.0,4.56,35740891.0,4.18
Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH MTV do Nhà nước sở hữu 100% vốn điều lệ,33.256.122,"3,59",38.826.236,"4,54",33256122.0,3.59,38826236.0,4.54
Công ty TNHH hai thành viên trở lên có phần vốn góp cửa Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,Công ty TNHH hai thành viên trở lên có phần vốn góp cửa Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,Công ty TNHH hai thành viên trở lên có phần vốn góp cửa Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,6.628.148,"0,72",6.559.862,"0,77",6628148.0,0.72,6559862.0,0.77
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,208.030.132,"22,48",190.666.004,"22,28",208030132.0,22.48,190666004.0,22.28
Công ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lẻ của công ty,Công ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lẻ của công ty,Công ty cổ phần có vốn cổ phần của nhà nước chiếm trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc nhà nước giữ quyền chi phối đối với công ty trong Điều lẻ của công ty,35.144.426,"3,80",31.940.752,"3,73",35144426.0,3.8,31940752.0,3.73
Công ty Cổ phần khác,Công ty Cổ phần khác,Công ty Cổ phần khác,262.912.920,"28,42",245.718.147,"28,70",262912920.0,28.42,245718147.0,28.7
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,48.495,"0,01",25.244,-,48495.0,0.01,25244.0,
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,12.044.883,"1,30",12.228.918,"1,43",12044883.0,1.3,12228918.0,1.43
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,48.318.179,"5,22",45.597.397,"5,33",48318179.0,5.22,45597397.0,5.33
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,1.365.946,"0,15",1.338.775,"0,16",1365946.0,0.15,1338775.0,0.16
"Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",272.804.974,"29,48",244.826.819,"28,60",272804974.0,29.48,244826819.0,28.6
"Đơn vị hành chính sự nghiệp, đăng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, đăng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, đăng, đoàn thể và hiệp hội",1.553.548,"0,17",2.173.765,"0,25",1553548.0,0.17,2173765.0,0.25
Các thành phần kinh tế khác,Các thành phần kinh tế khác,Các thành phần kinh tế khác,931.775,"0,10",269.828,"0,03",931775.0,0.1,269828.0,0.03
,,,925.252.830,100,855.912.638,100,925252830.0,100.0,855912638.0,100.0
