row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,100,,613.458.389.531,1.246.379.946.946,,100.0,,613458389531.0,1246379946946.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,V.1,2.944.034.828,16.842.086.167,,110.0,,2944034828.0,16842086167.0
1.,1.,1.,Tiền,111,,2.944.034.828,16.842.086.167,,111.0,,2944034828.0,16842086167.0
2.,2.,2.,Các khoản tương đương tiền,112,,-,-,,112.0,,,
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,57.600.000.000,359.600.000.000,,120.0,,57600000000.0,359600000000.0
1.,1.,1.,Chứng khoán kinh doanh,121,V.2a,7.500.000.000,7.500.000.000,,121.0,,7500000000.0,7500000000.0
2.,2.,2.,Dự phòng giảm giá chứng khoán kinh doanh,122,,-,-,,122.0,,,
3.,3.,3.,Đầu tư nằm giữ đến ngày đáo hạn,123,V.2b,50.100.000.000,352.100.000.000,,123.0,,50100000000.0,352100000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,552.527.758.639,869.697.975.368,,130.0,,552527758639.0,869697975368.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,V.3,10.689.815.776,12.756.387.804,,131.0,,10689815776.0,12756387804.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,,519.925.205,325.236.845,,132.0,,519925205.0,325236845.0
3.,3.,3.,Phải thu nội bộ ngắn hạn,133,,-,-,,133.0,,,
4.,4.,4.,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,-,-,,134.0,,,
5.,5.,5.,Phải thu về cho vay ngắn hạn,135,V.4,15.000.000.000,-,,135.0,,15000000000.0,
6.,6.,6.,Phải thu ngắn hạn khác,136,V.5a,526.318.017.658,856.616.350.719,,136.0,,526318017658.0,856616350719.0
7.,7.,7.,Dự phòng phải thu ngắn hạn khó đòi,137,,-,-,,137.0,,,
8.,8.,8.,Tài sản thiếu chờ xử lý,139,,-,-,,139.0,,,
IV.,IV.,IV.,Hàng tồn kho,140,,-,-,,140.0,,,
1.,1.,1.,Hàng tồn kho,141,,-,-,,141.0,,,
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,-,-,,149.0,,,
V.,V.,V.,Tài sản ngắn hạn khác,150,,386.596.064,239.885.411,,150.0,,386596064.0,239885411.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,,370.002.419,223.291.766,,151.0,,370002419.0,223291766.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,-,-,,152.0,,,
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,,16.593.645,16.593.645,,153.0,,16593645.0,16593645.0
4.,4.,4.,Giao dịch mua bán lại trái phiếu Chính phủ,154,,-,-,,154.0,,,
5,5,5,Tài sản ngắn hạn khác,155,,-,-,,155.0,,,
