row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2017 > Đã trình bàyTriệu đồng,Ngày 31 tháng 12 năm 2017 > %,Ngày 31 tháng 12 năm 2017 > Phân loại lạiTriệu đồng,Ngày 31 tháng 12 năm 2017 > %_1,Ngày 31 tháng 12 năm 2017 > Ngày 31 tháng 12 năm 2017Trình bày lạiTriệu đồng,Ngày 31 tháng 12 năm 2017 > %_2,numeric__Ngày 31 tháng 12 năm 2017 > %,numeric__Ngày 31 tháng 12 năm 2017 > Phân loại lạiTriệu đồng,numeric__Ngày 31 tháng 12 năm 2017 > %_1,numeric__Ngày 31 tháng 12 năm 2017 > Ngày 31 tháng 12 năm 2017Trình bày lạiTriệu đồng,numeric__Ngày 31 tháng 12 năm 2017 > %_2
3.538.605,3.538.605,3.538.605,"2,57",(26.266),"(0,02)",3.512.339,"2,55",2.57,-26266.0,-0.02,3512339.0,2.55
268.934,268.934,268.934,"0,20",(15.178),"(0,02)",253.756,"0,18",0.2,-15178.0,-0.02,253756.0,0.18
12.141.713,12.141.713,12.141.713,"8,81",(45.144),"(0,04)",12.096.569,"8,77",8.81,-45144.0,-0.04,12096569.0,8.77
2.171.806,2.171.806,2.171.806,"1,58",(2.015),"(0,01)",2.169.791,"1,57",1.58,-2015.0,-0.01,2169791.0,1.57
227.500,227.500,227.500,"0,17",(364),"(0,01)",227.136,"0,16",0.17,-364.0,-0.01,227136.0,0.16
8.333.164,8.333.164,8.333.164,"6,04",(536.471),"(0,38)",7.796.693,"5,66",6.04,-536471.0,-0.38,7796693.0,5.66
22.300.670,22.300.670,22.300.670,"16,18",(149.834),"(0,11)",22.150.836,"16,07",16.18,-149834.0,-0.11,22150836.0,16.07
9.381.099,9.381.099,9.381.099,"6,80",(59.626),"(0,04)",9.321.473,"6,76",6.8,-59626.0,-0.04,9321473.0,6.76
4.235.161,4.235.161,4.235.161,"3,07",(45.488),"(0,03)",4.189.673,"3,04",3.07,-45488.0,-0.03,4189673.0,3.04
460.972,460.972,460.972,"0,33",(7.523),"(0,00)",453.449,"0,33",0.33,-7523.0,-0.0,453449.0,0.33
1.911.085,1.911.085,1.911.085,"1,39",(42.676),"(0,03)",1.868.409,"1,36",1.39,-42676.0,-0.03,1868409.0,1.36
15.553.631,15.553.631,15.553.631,"11,28",18.036.369,"13,08",33.590.000,"24,36",11.28,18036369.0,13.08,33590000.0,24.36
255.577,255.577,255.577,"0,18",(21.190),"(0,01)",234.387,"0,17",0.18,-21190.0,-0.01,234387.0,0.17
1.225.731,1.225.731,1.225.731,"0,89",(16.630),"(0,01)",1.209.101,"0,88",0.89,-16630.0,-0.01,1209101.0,0.88
40.051,40.051,40.051,"0,03",(13.809),"(0,01)",26.242,"0,02",0.03,-13809.0,-0.01,26242.0,0.02
338.584,338.584,338.584,"0,24",(3.192),"(0,00)",335.392,"0,24",0.24,-3192.0,-0.0,335392.0,0.24
389.020,389.020,389.020,"0,28",(4.401),"(0,00)",384.619,"0,28",0.28,-4401.0,-0.0,384619.0,0.28
275.179,275.179,275.179,"0,20",(394),"(0,00)",274.785,"0,20",0.2,-394.0,-0.0,274785.0,0.2
1.541.832,1.541.832,1.541.832,"1,12",(34.154),"(0,03)",1.507.678,"1,09",1.12,-34154.0,-0.03,1507678.0,1.09
53.179.760,53.179.760,53.179.760,"38,57",(17.010.763),"(12,34)",36.168.997,"26,23",38.57,-17010763.0,-12.34,36168997.0,26.23
99.125,99.125,99.125,"0,07",(1.251),"0,01",97.874,"0,08",0.07,-1251.0,0.01,97874.0,0.08
137.869.199,137.869.199,137.869.199,100,,,137.869.199,100,100.0,,,137869199.0,100.0
