row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị hợp lý được xác địnhtạm thời tại ngày mua,numeric__Đơn vị tính: VND > Giá trị hợp lý được xác địnhtạm thời tại ngày mua
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và tương đương tiền,Tài sản > Tiền và tương đương tiền,Tiền và tương đương tiền,753.674.376.994,753674376994.0
Trả trước cho người bán,Tài sản > Trả trước cho người bán,Trả trước cho người bán,2.263.830.722.441,2263830722441.0
Xây dựng cơ bản dở dang,Tài sản > Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,28.996.050.149,28996050149.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,8.840.274.266,8840274266.0
,,,3.055.341.423.850,3055341423850.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Vay và nợ ngắn hạn,Nợ phải trả > Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,280.000.000.000,280000000000.0
Phải trả khác,Nợ phải trả > Phải trả khác,Phải trả khác,3.862.958.567,3862958567.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,2.771.478.465.283,2771478465283.0
Cổ đông không kiểm soát,Nợ phải trả > Cổ đông không kiểm soát,Cổ đông không kiểm soát,677.046.818.347,677046818347.0
Lợi thể thương mại từ hợp nhất kinh doanh (Thuyết minh số 20),Nợ phải trả > Lợi thể thương mại từ hợp nhất kinh doanh (Thuyết minh số 20),Lợi thể thương mại từ hợp nhất kinh doanh (Thuyết minh số 20),2.231.894.716.370,2231894716370.0
Trong đó phân bổ cho:,Trong đó phân bổ cho:,Trong đó phân bổ cho:,Trong đó phân bổ cho:,
- Công ty Hoa Hường Dương,Trong đó phân bổ cho: > - Công ty Hoa Hường Dương,- Công ty Hoa Hường Dương,11.157.547.476,11157547476.0
- Công ty Vinaconex – Viettel,Trong đó phân bổ cho: > - Công ty Vinaconex – Viettel,- Công ty Vinaconex – Viettel,2.220.737.168.894,2220737168894.0
Tổng giá phí hợp nhất kinh doanh,Trong đó phân bổ cho: > Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,5.680.420.000.000,5680420000000.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,753.674.376.994,753674376994.0
Tiền chỉ để mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chỉ để mua công ty con,Tiền chỉ để mua công ty con,(5.680.420.000.000),-5680420000000.0
Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,(4.926.745.623.006),-4926745623006.0
