row_label_raw,row_label_full,col_0,31/12/2024 > Giá trị ghi số,31/12/2024 > Dự phòng,01/01/2024 > Giá trị ghi số,01/01/2024 > Dự phòng,numeric__31/12/2024 > Giá trị ghi số,numeric__31/12/2024 > Dự phòng,numeric__01/01/2024 > Giá trị ghi số,numeric__01/01/2024 > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,1.010.348.660.148,(50.000.000.000),1.394.679.301.059,-,1010348660148.0,-50000000000.0,1394679301059.0,
Ông Chu Thế Cường,Ông Chu Thế Cường,Ông Chu Thế Cường,-,-,54.900.000.000,-,,,54900000000.0,
Công ty Cổ phần GL Group,Công ty Cổ phần GL Group,Công ty Cổ phần GL Group,-,-,1.740.640.000,-,,,1740640000.0,
Đặt cọc theo hợp đồngchuyển nhượng (1),Đặt cọc theo hợp đồngchuyển nhượng (1),Đặt cọc theo hợp đồngchuyển nhượng (1),11.971.274.000,-,95.495.639.991,-,11971274000.0,,95495639991.0,
Phải thu theo hợp đồng hợp tác vàcác biên bản thỏa thuận (2),Phải thu theo hợp đồng hợp tác vàcác biên bản thỏa thuận (2),Phải thu theo hợp đồng hợp tác vàcác biên bản thỏa thuận (2),212.256.241.875,-,709.256.241.875,-,212256241875.0,,709256241875.0,
Phải thu theo biên bản thanh lýthỏa thuận hợp đồng hợp tác đầutư (3),Phải thu theo biên bản thanh lýthỏa thuận hợp đồng hợp tác đầutư (3),Phải thu theo biên bản thanh lýthỏa thuận hợp đồng hợp tác đầutư (3),665.000.000.000,(50.000.000.000),450.000.000.000,-,665000000000.0,-50000000000.0,450000000000.0,
Công ty CP Đầu tư và kinh doanhBắt động sản Hải Phát,Công ty CP Đầu tư và kinh doanhBắt động sản Hải Phát,Công ty CP Đầu tư và kinh doanhBắt động sản Hải Phát,-,-,9.301.007.285,-,,,9301007285.0,
Tạm ứng,Tạm ứng,Tạm ứng,60.208.057.347,-,60.948.134.251,-,60208057347.0,,60948134251.0,
Lãi vay dự thu,Lãi vay dự thu,Lãi vay dự thu,46.397.856.863,-,-,-,46397856863.0,,,
Phải thu khác,Phải thu khác,Phải thu khác,14.515.230.063,-,13.037.637.657,-,14515230063.0,,13037637657.0,
Dài hạn,Dài hạn,Dài hạn,104.248.000.000,-,119.920.000.000,-,104248000000.0,,119920000000.0,
Phải thu theo các hợp đồng hợptác đầu tư (4),Phải thu theo các hợp đồng hợptác đầu tư (4),Phải thu theo các hợp đồng hợptác đầu tư (4),104.248.000.000,-,104.248.000.000,-,104248000000.0,,104248000000.0,
Sở Kế hoạch và Đầu tư tinh BìnhThuận,Sở Kế hoạch và Đầu tư tinh BìnhThuận,Sở Kế hoạch và Đầu tư tinh BìnhThuận,-,-,15.672.000.000,-,,,15672000000.0,
Tổng,Tổng,Tổng,1.114.596.660.148,(50.000.000.000),1.514.599.301.059,-,1114596660148.0,-50000000000.0,1514599301059.0,
Trong đó phải thu các bên liên quan(Chi tiết tại Thuyết minhsố 7.1),Trong đó phải thu các bên liên quan(Chi tiết tại Thuyết minhsố 7.1),Trong đó phải thu các bên liên quan(Chi tiết tại Thuyết minhsố 7.1),3.178.901.853,-,167.036.600.000,-,3178901853.0,,167036600000.0,
