row_label_raw,row_label_full,col_0,31/12/2017 > Giá trị ghi số,31/12/2017 > Dự phòng,1/1/2018 > Giá trị ghi số,1/1/2018 > Dự phòng,numeric__31/12/2017 > Giá trị ghi số,numeric__31/12/2017 > Dự phòng,numeric__1/1/2018 > Giá trị ghi số,numeric__1/1/2018 > Dự phòng
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,692.878.498.212,-,456.031.435.572,(39.000.000.000),692878498212.0,,456031435572.0,-39000000000.0
Tạm ứng,Tạm ứng,Tạm ứng,47.588.550.577,-,147.494.410.560,-,47588550577.0,,147494410560.0,
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",8.000.000,-,80.047.000.000,-,8000000.0,,80047000000.0,
Phải thu khác,Phải thu khác,Phải thu khác,645.281.947.635,-,228.490.025.012,(39.000.000.000),645281947635.0,,228490025012.0,-39000000000.0
Công ty CP Đầu tư Hạ tầng-Kinh Doanh Đô Thị,Công ty CP Đầu tư Hạ tầng-Kinh Doanh Đô Thị,Công ty CP Đầu tư Hạ tầng-Kinh Doanh Đô Thị,-,-,49.000.000.000,(39.000.000.000),,,49000000000.0,-39000000000.0
Phạm Văn Định,Phạm Văn Định,Phạm Văn Định,-,-,96.095.260.000,-,,,96095260000.0,
Đình Thế Quỳnh,Đình Thế Quỳnh,Đình Thế Quỳnh,-,-,28.428.000.000,-,,,28428000000.0,
Công ty Cổ phần Đầu tư vàXây dựng Thương mại,Công ty Cổ phần Đầu tư vàXây dựng Thương mại,Công ty Cổ phần Đầu tư vàXây dựng Thương mại,-,-,37.200.000.000,-,,,37200000000.0,
Thành NhânCông ty cổ phần Bất Đông SảnHải Phát (1),Thành NhânCông ty cổ phần Bất Đông SảnHải Phát (1),Thành NhânCông ty cổ phần Bất Đông SảnHải Phát (1),605.000.000.000,,1.415.426.012,-,605000000000.0,,1415426012.0,
Công ty cổ phần bất động sảnPhù Minh Hưng (2),Công ty cổ phần bất động sảnPhù Minh Hưng (2),Công ty cổ phần bất động sảnPhù Minh Hưng (2),30.000.000.000,,-,-,30000000000.0,,,
Phải thu đối tượng khác,Phải thu đối tượng khác,Phải thu đối tượng khác,10.281.947.635,-,16.351.339.000,-,10281947635.0,,16351339000.0,
Dài hạn,Dài hạn,Dài hạn,321.000.000.000,-,52.060.870.000,-,321000000000.0,,52060870000.0,
"Ký quỹ, ký cược dài hạn (3)","Ký quỹ, ký cược dài hạn (3)","Ký quỹ, ký cược dài hạn (3)",300.000.000.000,-,-,-,300000000000.0,,,
Phải thu khác,Phải thu khác,Phải thu khác,21.000.000.000,-,52.060.870.000,-,21000000000.0,,52060870000.0,
Công ty CP đầu tư TC -TMDVFICO,Công ty CP đầu tư TC -TMDVFICO,Công ty CP đầu tư TC -TMDVFICO,,-,1.060.870.000,-,,,1060870000.0,
Công ty CP Vietinco (4),Công ty CP Vietinco (4),Công ty CP Vietinco (4),21.000.000.000,-,21.000.000.000,-,21000000000.0,,21000000000.0,
Xí nghiệp Xây dựngtư nhân số 1,Xí nghiệp Xây dựngtư nhân số 1,Xí nghiệp Xây dựngtư nhân số 1,-,-,30.000.000.000,-,,,30000000000.0,
Tổng,Tổng,Tổng,1.013.878.498.212,-,508.092.305.572,(39.000.000.000),1013878498212.0,,508092305572.0,-39000000000.0
