row_label_raw,row_label_full,col_0,Số dư cuối năm VND,Số dư đầu năm VND,numeric__Số dư cuối năm VND,numeric__Số dư đầu năm VND
"Bán buôn và bán lẻ; sửa chữa mộtô, ôtô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa mộtô, ôtô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa mộtô, ôtô, xe máy và xe có động cơ khác",26.717.023.325.927,22.828.912.786.394,26717023325927.0,22828912786394.0
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,19.104.610.086.186,14.556.254.303.636,19104610086186.0,14556254303636.0
Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,13.058.855.033.539,9.130.381.959.034,13058855033539.0,9130381959034.0
Xây dựng,Xây dựng,Xây dựng,11.921.364.043.605,9.440.808.369.350,11921364043605.0,9440808369350.0
"Sản xuất và phân phối điện, khí đốt và nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt và nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt và nước nóng, hơi nước và điều hòa không khí",10.592.596.679.822,9.195.623.919.834,10592596679822.0,9195623919834.0
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,8.261.253.579.734,6.845.876.357.780,8261253579734.0,6845876357780.0
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vất chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vất chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vất chất và dịch vụ tự tiêu dùng của hộ gia đình",7.622.417.635.892,5.200.487.481.312,7622417635892.0,5200487481312.0
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",6.158.529.645.742,8.072.388.937.232,6158529645742.0,8072388937232.0
"Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản",2.138.546.477.100,2.327.239.980.365,2138546477100.0,2327239980365.0
"Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm",1.861.347.068.583,6.054.164.780.172,1861347068583.0,6054164780172.0
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,944.009.947.002,877.399.405.438,944009947002.0,877399405438.0
Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,711.428.703.970,939.794.836.732,711428703970.0,939794836732.0
Các ngành khác,Các ngành khác,Các ngành khác,10.710.587.535.523,6.581.399.921.176,10710587535523.0,6581399921176.0
,,,119.802.569.762.625,102.050.733.038.455,119802569762625.0,102050733038455.0
