row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Dụng cụ văn phòng VND,Vật nuôi VND,Tài sản cố định khác VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Dụng cụ văn phòng VND,numeric__Vật nuôi VND,numeric__Tài sản cố định khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,36.463.477.252.627,65.535.185.003.824,4.408.637.822.966,289.868.805.284,153.139.084.324,72.824.534.405,106.923.132.503.430,36463477252627.0,65535185003824.0,4408637822966.0,289868805284.0,153139084324.0,72824534405.0,106923132503430.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,8.382.414.758,69.393.735.668,58.431.473.238,14.835.771.168,-,4.347.672.607,155.391.067.439,8382414758.0,69393735668.0,58431473238.0,14835771168.0,,4347672607.0,155391067439.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,1.395.313.767.020,1.120.755.521.492,347.263.648.982,6.605.518.904,55.660.968.671,19.767.760,2.925.619.192.829,1395313767020.0,1120755521492.0,347263648982.0,6605518904.0,55660968671.0,19767760.0,2925619192829.0
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,(137.962.524.332),(335.299.154.730),(1.131.706.928.090),(5.631.385.367),(774.920.612),(95.199.383),(1.611.470.112.514),-137962524332.0,-335299154730.0,-1131706928090.0,-5631385367.0,-774920612.0,-95199383.0,-1611470112514.0
Thanh lý công ty con,Nguyên giá > Thanh lý công ty con,Thanh lý công ty con,(116.981.396.423),(120.604.065.777),-,(172.310.527),-,-,(237.757.772.727),-116981396423.0,-120604065777.0,,-172310527.0,,,-237757772727.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(7.760.458.089),615.609.990,-,(695.909.990),-,7.840.758.089,-,-7760458089.0,615609990.0,,-695909990.0,,7840758089.0,
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,-,(6.948.529.503),(1.400.000.000),-,-,-,(8.348.529.503),,-6948529503.0,-1400000000.0,,,,-8348529503.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,37.604.469.055.561,66.263.098.120.964,3.681.226.017.096,304.810.489.472,208.025.132.383,84.937.533.478,108.146.566.348.954,37604469055561.0,66263098120964.0,3681226017096.0,304810489472.0,208025132383.0,84937533478.0,108146566348954.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
