row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017 > Quá hạnTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Khôngchịu lãiTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Dưới1 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ 1 đến3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ trên 3đến 6 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ trên 6đến 12 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ trên 1đến 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Trên 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2017 > TổngTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Quá hạnTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Khôngchịu lãiTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Dưới1 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ 1 đến3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ trên 3đến 6 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ trên 6đến 12 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ trên 1đến 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > TổngTriệu VND
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),2.752.088,17.596.966,62.278.778,19.723.312,21.473.061,19.510.004,9.444.338,171.795,152.950.342,2752088.0,17596966.0,62278778.0,19723312.0,21473061.0,19510004.0,9444338.0,171795.0,152950342.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,3.423,24.384,15.182,12.728,-,-,55.717,,,3423.0,24384.0,15182.0,12728.0,,,55717.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,-,6.107.530,3.970.060,1.178.840,-,-,-,11.256.430,,,6107530.0,3970060.0,1178840.0,,,,11256430.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,2.188.121,50.694.543,17.160.797,17.946.949,18.557.638,11.708.975,419,118.257.442,,2188121.0,50694543.0,17160797.0,17946949.0,18557638.0,11708975.0,419.0,118257442.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,3.000.000,-,-,-,-,-,3.000.000,,,3000000.0,,,,,,3000000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,3.471.359,-,-,-,-,-,-,3.471.359,,3471359.0,,,,,,,3471359.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,5.659.480,59.805.496,21.155.241,19.140.971,18.570.366,11.708.975,419,136.040.948,,5659480.0,59805496.0,21155241.0,19140971.0,18570366.0,11708975.0,419.0,136040948.0
Mức chênh nhạy cảm với lãi suất nội bảng [(3)=(1)-(2)],Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng [(3)=(1)-(2)],Mức chênh nhạy cảm với lãi suất nội bảng [(3)=(1)-(2)],2.752.088,11.937.486,2.473.282,(1.431.929),2.332.090,939.638,(2.264.637),171.376,16.909.394,2752088.0,11937486.0,2473282.0,-1431929.0,2332090.0,939638.0,-2264637.0,171376.0,16909394.0
Mức chênh nhạy cảm với lãi suất ngoại bảng (4),Mức chênh nhạy cảm với lãi suất ngoại bảng (4),Mức chênh nhạy cảm với lãi suất ngoại bảng (4),-,-,-,-,-,-,-,-,-,,,,,,,,,
"Mức chênh nhạy cảm với lãi suất nội, ngoại bảng [(5)=(3)+(4)]","Mức chênh nhạy cảm với lãi suất ngoại bảng (4) > Mức chênh nhạy cảm với lãi suất nội, ngoại bảng [(5)=(3)+(4)]","Mức chênh nhạy cảm với lãi suất nội, ngoại bảng [(5)=(3)+(4)]",2.752.088,11.937.486,2.473.282,(1.431.929),2.332.090,939.638,(2.264.637),171.376,16.909.394,2752088.0,11937486.0,2473282.0,-1431929.0,2332090.0,939638.0,-2264637.0,171376.0,16909394.0
