row_label_raw,row_label_full,Mã số > 01 > 02 > 03 > 04 > 05 > 06,"CHỈ TIÊU > Lợi nhuận (lỗ) kế toán trước thuế Điều chỉnh cho các khoản:Khẩu hao và hao mòn tài sản cố định (""TSCĐ"") và bất động sản đầu tưHoàn nhập dự phòngLãi chênh lệch tỷ giả hối đoài do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệLợi nhuận từ hoạt động đầu tưChi phí lãi vay và chi phí phát hành trái phiếu","Thuyết minh > 10, 11, 1224",Năm nay > 840.059.4846.591.032(42.756.200)(13.938.107)(75.817.555)(817.432.327),Năm trước > (268.130.157)6.583.948(128.326.513)(9.325.670)(119.134.036)459.188.565,"numeric__CHỈ TIÊU > Lợi nhuận (lỗ) kế toán trước thuế Điều chỉnh cho các khoản:Khẩu hao và hao mòn tài sản cố định (""TSCĐ"") và bất động sản đầu tưHoàn nhập dự phòngLãi chênh lệch tỷ giả hối đoài do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệLợi nhuận từ hoạt động đầu tưChi phí lãi vay và chi phí phát hành trái phiếu","numeric__Thuyết minh > 10, 11, 1224",numeric__Năm nay > 840.059.4846.591.032(42.756.200)(13.938.107)(75.817.555)(817.432.327),numeric__Năm trước > (268.130.157)6.583.948(128.326.513)(9.325.670)(119.134.036)459.188.565
08,08,08,Lỗ từ hoạt động kinh doanh trước thay đổi vốn lưu độngTăng các khoản phải thuGiảm hàng tồn khoTăng (giảm) các khoản phải trảTăng chỉ phí trả trướcTiền lãi vay đã trảThuế TNDN đã nộpTiền chi khác cho hoạt động kinh doanh,27.1,(103.293.673)(445.527.464)154.7661.421.764.100(733.604)(600.000.000)(37.670)(3.072.000),(59.143.863)(40.849.071)894.496(64.508.494)(117.019)(55.443.666)(27.996.398)(2.917.360),,271.0,,
09,09,09,Lỗ từ hoạt động kinh doanh trước thay đổi vốn lưu độngTăng các khoản phải thuGiảm hàng tồn khoTăng (giảm) các khoản phải trảTăng chỉ phí trả trướcTiền lãi vay đã trảThuế TNDN đã nộpTiền chi khác cho hoạt động kinh doanh,27.1,(103.293.673)(445.527.464)154.7661.421.764.100(733.604)(600.000.000)(37.670)(3.072.000),(59.143.863)(40.849.071)894.496(64.508.494)(117.019)(55.443.666)(27.996.398)(2.917.360),,271.0,,
10,10,10,Lỗ từ hoạt động kinh doanh trước thay đổi vốn lưu độngTăng các khoản phải thuGiảm hàng tồn khoTăng (giảm) các khoản phải trảTăng chỉ phí trả trướcTiền lãi vay đã trảThuế TNDN đã nộpTiền chi khác cho hoạt động kinh doanh,27.1,(103.293.673)(445.527.464)154.7661.421.764.100(733.604)(600.000.000)(37.670)(3.072.000),(59.143.863)(40.849.071)894.496(64.508.494)(117.019)(55.443.666)(27.996.398)(2.917.360),,271.0,,
11,11,11,Lỗ từ hoạt động kinh doanh trước thay đổi vốn lưu độngTăng các khoản phải thuGiảm hàng tồn khoTăng (giảm) các khoản phải trảTăng chỉ phí trả trướcTiền lãi vay đã trảThuế TNDN đã nộpTiền chi khác cho hoạt động kinh doanh,27.1,(103.293.673)(445.527.464)154.7661.421.764.100(733.604)(600.000.000)(37.670)(3.072.000),(59.143.863)(40.849.071)894.496(64.508.494)(117.019)(55.443.666)(27.996.398)(2.917.360),,271.0,,
12,12,12,Lỗ từ hoạt động kinh doanh trước thay đổi vốn lưu độngTăng các khoản phải thuGiảm hàng tồn khoTăng (giảm) các khoản phải trảTăng chỉ phí trả trướcTiền lãi vay đã trảThuế TNDN đã nộpTiền chi khác cho hoạt động kinh doanh,27.1,(103.293.673)(445.527.464)154.7661.421.764.100(733.604)(600.000.000)(37.670)(3.072.000),(59.143.863)(40.849.071)894.496(64.508.494)(117.019)(55.443.666)(27.996.398)(2.917.360),,271.0,,
14,14,14,Lỗ từ hoạt động kinh doanh trước thay đổi vốn lưu độngTăng các khoản phải thuGiảm hàng tồn khoTăng (giảm) các khoản phải trảTăng chỉ phí trả trướcTiền lãi vay đã trảThuế TNDN đã nộpTiền chi khác cho hoạt động kinh doanh,27.1,(103.293.673)(445.527.464)154.7661.421.764.100(733.604)(600.000.000)(37.670)(3.072.000),(59.143.863)(40.849.071)894.496(64.508.494)(117.019)(55.443.666)(27.996.398)(2.917.360),,271.0,,
15,15,15,Lỗ từ hoạt động kinh doanh trước thay đổi vốn lưu độngTăng các khoản phải thuGiảm hàng tồn khoTăng (giảm) các khoản phải trảTăng chỉ phí trả trướcTiền lãi vay đã trảThuế TNDN đã nộpTiền chi khác cho hoạt động kinh doanh,27.1,(103.293.673)(445.527.464)154.7661.421.764.100(733.604)(600.000.000)(37.670)(3.072.000),(59.143.863)(40.849.071)894.496(64.508.494)(117.019)(55.443.666)(27.996.398)(2.917.360),,271.0,,
17,17,17,Lỗ từ hoạt động kinh doanh trước thay đổi vốn lưu độngTăng các khoản phải thuGiảm hàng tồn khoTăng (giảm) các khoản phải trảTăng chỉ phí trả trướcTiền lãi vay đã trảThuế TNDN đã nộpTiền chi khác cho hoạt động kinh doanh,27.1,(103.293.673)(445.527.464)154.7661.421.764.100(733.604)(600.000.000)(37.670)(3.072.000),(59.143.863)(40.849.071)894.496(64.508.494)(117.019)(55.443.666)(27.996.398)(2.917.360),,271.0,,
20,20,20,Lưu chuyển tiền thuần tử (sử dụng vào) hoạt động kinh doanh,,269.254.455,(250.081.375),,,269254455.0,-250081375.0
"II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯTiền chỉ đề mua sắm, xây dựng TSCĐ và tài sản dài hạn khácTiền chi cho vayTiền thu hồi cho vayTiền thu hồi đầu tư góp vốn vào đơn vị khácTiền thu lãi cho vay, lãi tiền gửi và cổ tức","II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯTiền chỉ đề mua sắm, xây dựng TSCĐ và tài sản dài hạn khácTiền chi cho vayTiền thu hồi cho vayTiền thu hồi đầu tư góp vốn vào đơn vị khácTiền thu lãi cho vay, lãi tiền gửi và cổ tức","II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯTiền chỉ đề mua sắm, xây dựng TSCĐ và tài sản dài hạn khácTiền chi cho vayTiền thu hồi cho vayTiền thu hồi đầu tư góp vốn vào đơn vị khácTiền thu lãi cho vay, lãi tiền gửi và cổ tức",-,(5.595.648)-311.279.006-72.919.162,(1.637.491)(907.273.333)1.020.281.565434.414.952266.513.515,,,,,
30,"II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯTiền chỉ đề mua sắm, xây dựng TSCĐ và tài sản dài hạn khácTiền chi cho vayTiền thu hồi cho vayTiền thu hồi đầu tư góp vốn vào đơn vị khácTiền thu lãi cho vay, lãi tiền gửi và cổ tức > 30",30,Lưu chuyển tiền thuần tử hoạt động đầu tư,-,378.602.520,812.299.208,,,378602520.0,812299208.0
