row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh thép VND,Sản xuất công nghiệp khác VND,Bất động sản VND,Nông nghiệp VND,Loại trừ VND,Hợp nhất VND,numeric__Sản xuất và kinh doanh thép VND,numeric__Sản xuất công nghiệp khác VND,numeric__Bất động sản VND,numeric__Nông nghiệp VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,,,,,,
Tải sản của bộ phận,Tại ngày 31 tháng 12 năm 2019 > Tải sản của bộ phận,Tải sản của bộ phận,97.305.517.934.909,1.710.025.863.879,3.139.152.865.264,5.962.449.415.148,(6.341.115.979.300),101.776.030.099.900,97305517934909.0,1710025863879.0,3139152865264.0,5962449415148.0,-6341115979300.0,101776030099900.0
Tổng tài sản,Tại ngày 31 tháng 12 năm 2019 > Tổng tài sản,Tổng tài sản,97.305.517.934.909,1.710.025.863.879,3.139.152.865.264,5.962.449.415.148,(6.341.115.979.300),101.776.030.099.900,97305517934909.0,1710025863879.0,3139152865264.0,5962449415148.0,-6341115979300.0,101776030099900.0
Nợ phải trả của bộ phận,Tại ngày 31 tháng 12 năm 2019 > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,55.469.885.069.405,920.714.227.148,899.017.552.839,2.059.970.080.875,(5.360.192.974.062),53.989.393.956.205,55469885069405.0,920714227148.0,899017552839.0,2059970080875.0,-5360192974062.0,53989393956205.0
Tổng nợ phải trả,Tại ngày 31 tháng 12 năm 2019 > Tổng nợ phải trả,Tổng nợ phải trả,55.469.885.069.405,920.714.227.148,899.017.552.839,2.059.970.080.875,(5.360.192.974.062),53.989.393.956.205,55469885069405.0,920714227148.0,899017552839.0,2059970080875.0,-5360192974062.0,53989393956205.0
Cho năm kết thúc ngày 31 tháng 12 năm 2019,Cho năm kết thúc ngày 31 tháng 12 năm 2019,Cho năm kết thúc ngày 31 tháng 12 năm 2019,Cho năm kết thúc ngày 31 tháng 12 năm 2019,Cho năm kết thúc ngày 31 tháng 12 năm 2019,Cho năm kết thúc ngày 31 tháng 12 năm 2019,Cho năm kết thúc ngày 31 tháng 12 năm 2019,Cho năm kết thúc ngày 31 tháng 12 năm 2019,Cho năm kết thúc ngày 31 tháng 12 năm 2019,,,,,,
Chi tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2019 > Chi tiêu vốn,Chi tiêu vốn,19.993.459.899.558,36.481.789.960,494.067.552.518,644.812.426.291,(343.450.093.667),20.825.371.574.660,19993459899558.0,36481789960.0,494067552518.0,644812426291.0,-343450093667.0,20825371574660.0
Khẩu hao tài sản cố định hữu hình và bất động sản đầu tư,Cho năm kết thúc ngày 31 tháng 12 năm 2019 > Khẩu hao tài sản cố định hữu hình và bất động sản đầu tư,Khẩu hao tài sản cố định hữu hình và bất động sản đầu tư,2.082.192.603.443,105.097.946.084,58.605.925.717,314.171.386.862,1.343.588.304,2.561.411.450.410,2082192603443.0,105097946084.0,58605925717.0,314171386862.0,1343588304.0,2561411450410.0
Khẩu hao tài sản cố định vô hình,Cho năm kết thúc ngày 31 tháng 12 năm 2019 > Khẩu hao tài sản cố định vô hình,Khẩu hao tài sản cố định vô hình,15.503.594.663,2.068.077.862,396.737.776,1.048.564.387,(12.212.229),19.004.762.459,15503594663.0,2068077862.0,396737776.0,1048564387.0,-12212229.0,19004762459.0
Phân bổ chi phí đãi trả trước dài hạn,Cho năm kết thúc ngày 31 tháng 12 năm 2019 > Phân bổ chi phí đãi trả trước dài hạn,Phân bổ chi phí đãi trả trước dài hạn,23.192.855.261,1.922.056.121,-,7.620.698.407,(729.190.280),32.006.419.509,23192855261.0,1922056121.0,,7620698407.0,-729190280.0,32006419509.0
