row_label_raw,row_label_full,col_0,col_1,2025VND,2024VND,numeric__col_1,numeric__2025VND,numeric__2024VND
(ii),(ii),(ii),Purchases of goods and services,,,,,
,,,Golden Trust Fund,"2,900,000,000",-,,,
,,,Young Businesspeople Association of Ho Chi Minh City,"1,383,000,000","1,868,360,000",,,
,,,National Data Association,"1,007,000,000",-,,,
,,,Talent Net Corporation,"839,096,700","1,050,735,040",,,
,,,Vietnam Institute of Directors Social Enterprise Joint Stock Company,"645,730,272","247,293,000",,,
,,,Young Vietnamese Entrepreneurs,"420,000,000","592,800,000",,,
,,,Ho Chi Minh City Association for Women Executives & Entrepreneurs,"420,000,000","167,000,000",,,
,,,Business Association of High Quality Vietnamese Products Ho Chi Minh City,"129,600,000","143,200,000",,,
,,,Vietnam Gold Trader Association,"80,000,000","50,000,000",,,
,,,Vietnam Youth Federation Ho Chi Minh City,"80,000,000",-,,,
,,,An Phu International Healthcare Company Limited,-,"3,020,443,750",,,
,,,Vietnam Association For Women Entrepreneurs,-,"42,406,000",,,
,,,,"7,904,426,972","7,182,237,790",,,
