row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,100,,12.239.023.143.859,12.931.290.915.627,,100.0,,12239023143859.0,12931290915627.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,V.1,380.351.719.636,466.947.812.848,,110.0,,380351719636.0,466947812848.0
1.,1.,1.,Tiền,111,,336.586.403.005,289.743.199.116,,111.0,,336586403005.0,289743199116.0
2.,2.,2.,Các khoản tương đương tiền,112,,43.765.316.631,177.204.613.732,,112.0,,43765316631.0,177204613732.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,168.013.413.032,252.427.530.365,,120.0,,168013413032.0,252427530365.0
1.,1.,1.,Chứng khoán kinh doanh,121,V.2a,21.381.661.250,26.522.739.614,,121.0,,21381661250.0,26522739614.0
2.,2.,2.,Dự phòng giảm giá chứng khoán kinh doanh,122,V.2a,(1.064.024.110),(3.538.468.847),,122.0,,-1064024110.0,-3538468847.0
3.,3.,3.,Đầu tư nắm giữ đến ngày đáo hạn,123,V.2b,147.695.775.892,229.443.259.598,,123.0,,147695775892.0,229443259598.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,8.809.223.269.064,8.984.196.192.554,,130.0,,8809223269064.0,8984196192554.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,V.3a,4.023.892.620.554,4.438.279.398.081,,131.0,,4023892620554.0,4438279398081.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,V.4,427.494.335.393,485.929.044.511,,132.0,,427494335393.0,485929044511.0
3.,3.,3.,Phải thu nội bộ ngắn hạn,133,,-,-,,133.0,,,
4.,4.,4.,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,-,-,,134.0,,,
5.,5.,5.,Phải thu về cho vay ngắn hạn,135,V.5a,3.183.735.324.572,3.001.450.563.978,,135.0,,3183735324572.0,3001450563978.0
6.,6.,6.,Phải thu ngắn hạn khác,136,V.6a,1.567.898.783.789,1.523.352.854.929,,136.0,,1567898783789.0,1523352854929.0
7.,7.,7.,Dự phòng phải thu ngắn hạn khó đòi,137,V.7,(408.235.197.002),(475.444.008.618),,137.0,,-408235197002.0,-475444008618.0
8.,8.,8.,Tài sản thiếu chờ xử lý,139,V.8,14.437.401.758,10.628.339.673,,139.0,,14437401758.0,10628339673.0
IV.,IV.,IV.,Hàng tồn kho,140,,2.687.961.259.674,3.005.778.678.201,,140.0,,2687961259674.0,3005778678201.0
1.,1.,1.,Hàng tồn kho,141,V.9,2.687.961.259.674,3.007.421.075.257,,141.0,,2687961259674.0,3007421075257.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,V.9,-,(1.642.397.056),,149.0,,,-1642397056.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,193.473.482.453,221.940.701.659,,150.0,,193473482453.0,221940701659.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,V.10a,63.730.693.431,86.767.438.248,,151.0,,63730693431.0,86767438248.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,123.056.094.944,125.501.127.499,,152.0,,123056094944.0,125501127499.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,V.19,6.686.694.078,9.672.135.912,,153.0,,6686694078.0,9672135912.0
4.,4.,4.,Giao dịch mua bán lại trái phiếu Chính phủ,154,,-,-,,154.0,,,
5,5,5,Tài sản ngắn hạn khác,155,,-,-,,155.0,,,
