row_label_raw,row_label_full,Giá trị đầu tư: > Số đầu năm > Tăng trong năm > Số cuối năm,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn > Giá trị đầu tư: > 423.492.661.074 > - > 423.492.661.074,Công ty Cổ phần Scanviwood > Giá trị đầu tư: > 7.204.600.000 > - > 7.204.600.000,Công ty TNHH Saigontel Long An > Giá trị đầu tư: > - > 112.500.000.000,Công ty Cổ phần Khu công nghiệp Sài Gòn - Nhon Hội > Giá trị đầu tư: > - > 540.000.000.000,Công ty Cổ phần Đầu tư Khu công nghiệp Lê Minh Xuân 2 > Giá trị đầu tư: > - > 583.000.000.000,Đơn vị tính: VND Tổng cộng > Giá trị đầu tư: > 430.697.261.074 > 1.235.500.000.000 > 1.666.197.261.074,numeric__Công ty Cổ phần Công nghệ Viễn thông Sài Gòn > Giá trị đầu tư: > 423.492.661.074 > - > 423.492.661.074,numeric__Công ty Cổ phần Scanviwood > Giá trị đầu tư: > 7.204.600.000 > - > 7.204.600.000,numeric__Công ty TNHH Saigontel Long An > Giá trị đầu tư: > - > 112.500.000.000,numeric__Công ty Cổ phần Khu công nghiệp Sài Gòn - Nhon Hội > Giá trị đầu tư: > - > 540.000.000.000,numeric__Công ty Cổ phần Đầu tư Khu công nghiệp Lê Minh Xuân 2 > Giá trị đầu tư: > - > 583.000.000.000,numeric__Đơn vị tính: VND Tổng cộng > Giá trị đầu tư: > 430.697.261.074 > 1.235.500.000.000 > 1.666.197.261.074
Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,,,,,,
Số đầu năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số đầu năm,Số đầu năm,(33.770.149.453),(1.710.532.378),-,-,-,(35.480.681.831),-33770149453.0,-1710532378.0,,,,-35480681831.0
Phần lợi nhuận/(lỗ) sau khi mua công ty liên kết,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Phần lợi nhuận/(lỗ) sau khi mua công ty liên kết,Phần lợi nhuận/(lỗ) sau khi mua công ty liên kết,14.347.771.114,(639.849.044),98.374.502,-,-,13.806.296.572,14347771114.0,-639849044.0,98374502.0,,,13806296572.0
Số cuối năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số cuối năm,Số cuối năm,(19.422.378.339),(2.350.381.422),98.374.502,-,-,(21.674.385.259),-19422378339.0,-2350381422.0,98374502.0,,,-21674385259.0
Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,Lợi thế thương mại đã phân bổ:,,,,,,
Số đầu năm,Lợi thế thương mại đã phân bổ: > Số đầu năm,Số đầu năm,160.227.726.386,-,-,-,-,160.227.726.386,160227726386.0,,,,,160227726386.0
Số cuối năm,Lợi thế thương mại đã phân bổ: > Số cuối năm,Số cuối năm,160.227.726.386,-,-,-,-,160.227.726.386,160227726386.0,,,,,160227726386.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,229.494.785.235,5.494.067.622,-,-,-,234.988.852.857,229494785235.0,5494067622.0,,,,234988852857.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,243.842.556.349,4.854.218.578,112.598.374.502,540.000.000.000,583.000.000.000,1.484.295.149.429,243842556349.0,4854218578.0,112598374502.0,540000000000.0,583000000000.0,1484295149429.0
