row_label_raw,row_label_full,4.,Chi phí tài chính,Năm 2015,Năm 2014,numeric__Chi phí tài chính,numeric__Năm 2015,numeric__Năm 2014
,,,- Chi phí lãi vay,"181,737,706,065","151,979,159,742",,,
,,,- Chi phí lãi vay được xóa (*),"(146,985,325,283)","(104,024,288,074)",,,
,,,"- Lãi trả chậm thanh toán, chiết khấu thanh toán",-,"259,905,723",,,
,,,- Lỗ chênh lệch tỷ giá,"30,311,630,366","15,004,870,838",,,
,,,- Lỗ từ việc bán cổ phiếu Công ty CP Sông Hậu,-,"10,448,288,000",,,
,,,- Chi phí (hoàn nhập) dự phòng các khoản đầu tư tài chính dài hạn,"459,534,690","(12,226,720,001)",,,
,,,- Phân chia lợi nhuận hợp đồng hợp tác kinh doanh với DLC,"3,684,971,099",-,,,
,,,- Phí ngân hàng,"1,212,503,284","1,604,837,162",,,
,,,- Chi phí tài chính khác,"80,861,445","449,362,165",,,
,,,Cộng,"70,501,881,666","63,495,415,556",,,
