row_label_raw,row_label_full,7.,Thu nhập khác,Năm 2015,Năm 2014,numeric__Thu nhập khác,numeric__Năm 2015,numeric__Năm 2014
,,,"- Thu nhập do nhượng bán, thanh lý tài sản cố định","460,071,530","411,073,470",,,
,,,- Thu nhập từ chuyển nhượng quyền sử dụng đất,"6,069,600,000",-,,,
,,,"- Thu nhập do bán phế liệu, công cụ dụng cụ","250,621,445","253,073,998",,,
,,,"- Thu phí lưu kho, tiền điện, tiền cho thuê mặt bằng, cho thuê xe,...","886,221,750","590,693,183",,,
,,,- Thu nhập do phạt vi phạm,"1,260,576,297","1,598,519,857",,,
,,,"- Thu nhập từ xử lý tài sản, các khoản phải trả","160,752,504","1,533,217,861",,,
,,,- Thu nhập từ việc chỉ hộ,-,"1,370,141,587",,,
,,,- Thu nhập từ nhận bồi thường,"58,733,000","898,554,534",,,
,,,- Thu nhập từ nợ gốc vay được xóa (*),"93,108,198,962",-,,,
,,,- Thu nhập khác,"1,951,499,298","806,862,121",,,
,,,Cộng,"104,206,274,787","7,462,136,612",,,
