row_label_raw,row_label_full,11.,Chi phí trả trước,Số cuối năm,Số đầu năm,numeric__Chi phí trả trước,numeric__Số cuối năm,numeric__Số đầu năm
a),a),a),Ngắn hạn,,,,,
,,,"- Công cụ, dụng cụ xuất dùng chờ phân bổ","1,332,028,795","832,947,245",,,
,,,- Chi phí bảo hiểm trả trước chờ phân bổ,"422,332,220","732,852,500",,,
,,,- Chi phí chờ phân bổ khác,"191,618,111","214,284,449",,,
,,,Cộng,"1,945,979,126","1,780,084,194",,,
b),b),b),Dài hạn,,,,,
,,,- Công cụ dụng cụ xuất dùng có giá trị lớn chờ phân bổ,"18,665,795,670","4,846,065,744",,,
,,,- Chi phí sửa chữa chờ phân bổ,"551,853,546","494,420,947",,,
,,,"- Chi phí thuê đất trả trước chờ phân bổ, chi phí đến bù đất chờ phân bổ (*)","75,085,789,076","53,234,306,288",,,
,,,- Phí đánh giá tác động môi trường,"288,346,866","288,346,866",,,
,,,- Chi phí chờ phân bổ khác,"66,776,212","11,944,942",,,
,,,Cộng,"94,658,561,371","58,875,084,787",,,
