row_label_raw,row_label_full,STT,Danh mục các khoản đầu tư,Số lượng bán Đơn vị,Giá bán bình quân VND/đơn vị,Tổng giá trị bán VND,Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,Lãi bán chủng khoán năm nay VND,Lãi bán chủng khoán năm trước VND,numeric__Danh mục các khoản đầu tư,numeric__Số lượng bán Đơn vị,numeric__Giá bán bình quân VND/đơn vị,numeric__Tổng giá trị bán VND,numeric__Giá vốn bình quân gia quyền tính đến cuối ngày giao dịch VND,numeric__Lãi bán chủng khoán năm nay VND,numeric__Lãi bán chủng khoán năm trước VND
1,1,1,LÃI BÁN,,,,,,,,,,,,,
1,1 > 1,1,Cổ phiếu và chứng khoán niêm yết,237.240.518,,4.324.277.183.837,4.035.116.428.454,289.160.755.383,158.961.949.737,,237240518.0,,4324277183837.0,4035116428454.0,289160755383.0,158961949737.0
1,1 > 1,1,DBC,4.356.510,28.629,124.724.045.500,99.648.121.527,25.075.923.973,-,,4356510.0,28629.0,124724045500.0,99648121527.0,25075923973.0,
1,1 > 1,1,FPT,9.960.210,51.696,514.905.748.000,487.308.269.477,27.597.478.523,38.162.140.654,,9960210.0,51696.0,514905748000.0,487308269477.0,27597478523.0,38162140654.0
1,1 > 1,1,FUESSVFL,57.579.080,10.114,582.366.449.820,568.521.134.376,13.845.315.444,-,,57579080.0,10114.0,582366449820.0,568521134376.0,13845315444.0,
1,1 > 1,1,HPG,34.763.700,28.689,997.332.026.500,919.455.048.520,77.876.977.980,1.785.568.441,,34763700.0,28689.0,997332026500.0,919455048520.0,77876977980.0,1785568441.0
1,1 > 1,1,MBB,10.649.290,19.678,209.554.024.000,203.286.729.009,6.267.294.991,14.837.622.636,,10649290.0,19678.0,209554024000.0,203286729009.0,6267294991.0,14837622636.0
1,1 > 1,1,Chủng quyền do Công ty phát hành,72.703.580,,204.083.414.473,145.731.793.160,58.351.621.313,26.850.758.356,,72703580.0,,204083414473.0,145731793160.0,58351621313.0,26850758356.0
1,1 > 1,1,Cổ phiếu và chứng khoán niêm yết khác,47.228.148,,1.691.311.475.544,1.611.165.332.385,80.146.143.159,77.325.859.650,,47228148.0,,1691311475544.0,1611165332385.0,80146143159.0,77325859650.0
2,1 > 2,2,Cổ phiếu và chứng chỉ quỹ chưa niêm yết,53.078.133,,390.633.397.054,345.034.210.318,45.599.186.736,39.844.827.102,,53078133.0,,390633397054.0,345034210318.0,45599186736.0,39844827102.0
3,1 > 3,3,Trái phiếu niêm yết,63.950.000,,6.930.948.800.000,6.928.328.700.000,2.620.100.000,21.409.429.381,,63950000.0,,6930948800000.0,6928328700000.0,2620100000.0,21409429381.0
4,1 > 4,4,Trái phiếu và chứng khoán chưa niêm yết,20.734.126,,90.589.909.144.314,90.392.159.023.726,197.750.120.588,105.093.840.589,,20734126.0,,90589909144314.0,90392159023726.0,197750120588.0,105093840589.0
5,1 > 5,5,Lãi vị thế của hợp đồng CKPS,-,,-,-,145.434.778.000,17.574.919.000,,,,,,145434778000.0,17574919000.0
5,1 > 5,5,Tổng cộng,375.002.777,,102.235.768.525.205,101.700.638.362.498,680.564.940.707,342.884.965.809,,375002777.0,,102235768525205.0,101700638362498.0,680564940707.0,342884965809.0
