row_label_raw,row_label_full,CHỈ TIỀU,Thuyết minh,31/12/2025,31/12/2024,numeric__Thuyết minh,numeric__31/12/2025,numeric__31/12/2024
A. TÀI SẢN,A. TÀI SẢN,A. TÀI SẢN,A. TÀI SẢN,A. TÀI SẢN,A. TÀI SẢN,,,
"I. Tiền mặt, vàng bạc, đá quý","A. TÀI SẢN > I. Tiền mặt, vàng bạc, đá quý","I. Tiền mặt, vàng bạc, đá quý",V.1,226.301,296.645,,226301.0,296645.0
II. Tiền gửi tại Ngân hàng nhà nước,A. TÀI SẢN > II. Tiền gửi tại Ngân hàng nhà nước,II. Tiền gửi tại Ngân hàng nhà nước,V.2,14.455.160,3.507.305,,14455160.0,3507305.0
III. Tiền gửi và cho vay các TCTD khác,A. TÀI SẢN > III. Tiền gửi và cho vay các TCTD khác,III. Tiền gửi và cho vay các TCTD khác,V.3,24.308.076,15.073.929,,24308076.0,15073929.0
1. Tiền gửi tại các TCTD khác,A. TÀI SẢN > 1. Tiền gửi tại các TCTD khác,1. Tiền gửi tại các TCTD khác,,24.008.076,15.073.929,,24008076.0,15073929.0
2. Cho vay các TCTD khác,A. TÀI SẢN > 2. Cho vay các TCTD khác,2. Cho vay các TCTD khác,,300.000,-,,300000.0,
3. Dự phòng rủi ro,3. Dự phòng rủi ro,3. Dự phòng rủi ro,,-,-,,,
IV. Chứng khoán kinh doanh,IV. Chứng khoán kinh doanh,IV. Chứng khoán kinh doanh,,-,-,,,
V. Các công cụ tài chính phải sinh và các tài sản tài chính khác,IV. Chứng khoán kinh doanh > V. Các công cụ tài chính phải sinh và các tài sản tài chính khác,V. Các công cụ tài chính phải sinh và các tài sản tài chính khác,V.4,14.219,-,,14219.0,
VI. Cho vay khách hàng,IV. Chứng khoán kinh doanh > VI. Cho vay khách hàng,VI. Cho vay khách hàng,,96.302.761,69.978.404,,96302761.0,69978404.0
1. Cho vay khách hàng,IV. Chứng khoán kinh doanh > 1. Cho vay khách hàng,1. Cho vay khách hàng,V.5,97.544.593,71.174.720,,97544593.0,71174720.0
2. Dự phòng rủi ro cho vay khách hàng,IV. Chứng khoán kinh doanh > 2. Dự phòng rủi ro cho vay khách hàng,2. Dự phòng rủi ro cho vay khách hàng,V.6,(1.241.832),(1.196.316),,-1241832.0,-1196316.0
VII. Hoạt động mua nợ,VII. Hoạt động mua nợ,VII. Hoạt động mua nợ,,-,-,,,
VIII. Chứng khoán đầu tư,VII. Hoạt động mua nợ > VIII. Chứng khoán đầu tư,VIII. Chứng khoán đầu tư,V.7,21.540.998,18.718.304,,21540998.0,18718304.0
1. Chứng khoán đầu tư sẵn sàng để bán,VII. Hoạt động mua nợ > 1. Chứng khoán đầu tư sẵn sàng để bán,1. Chứng khoán đầu tư sẵn sàng để bán,,2.412.118,4.550.275,,2412118.0,4550275.0
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,VII. Hoạt động mua nợ > 2. Chứng khoán đầu tư giữ đến ngày đáo hạn,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,,19.233.403,14.325.518,,19233403.0,14325518.0
3. Dự phòng rủi ro chứng khoán đầu tư,VII. Hoạt động mua nợ > 3. Dự phòng rủi ro chứng khoán đầu tư,3. Dự phòng rủi ro chứng khoán đầu tư,,(104.523),(157.489),,-104523.0,-157489.0
"IX. Góp vốn, đầu tư dài hạn","VII. Hoạt động mua nợ > IX. Góp vốn, đầu tư dài hạn","IX. Góp vốn, đầu tư dài hạn",V.8,515.994,571.244,,515994.0,571244.0
1. Đầu tư vào công ty con,VII. Hoạt động mua nợ > 1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,,200.000,200.000,,200000.0,200000.0
2. Vốn góp liên doanh,2. Vốn góp liên doanh,2. Vốn góp liên doanh,,-,-,,,
3. Đầu tư vào công ty liên kết,3. Đầu tư vào công ty liên kết,3. Đầu tư vào công ty liên kết,,-,-,,,
4. Đầu tư dài hạn khác,3. Đầu tư vào công ty liên kết > 4. Đầu tư dài hạn khác,4. Đầu tư dài hạn khác,,719.600,719.600,,719600.0,719600.0
5. Dự phòng giảm giá đầu tư dài hạn,3. Đầu tư vào công ty liên kết > 5. Dự phòng giảm giá đầu tư dài hạn,5. Dự phòng giảm giá đầu tư dài hạn,,(403.606),(348.356),,-403606.0,-348356.0
