row_label_raw,row_label_full,col_0,Trụ sở làm việc Triệu VND,Thiết bị văn phòng Triệu VND,Phương tiện vận chuyển Triệu VND,Tài sản cố định khác Triệu VND,Tổng cộng Triệu VND,numeric__Trụ sở làm việc Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Tài sản cố định khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2017,Nguyên giá > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,2.082.816,1.037.056,285.615,174.780,3.580.267,2082816.0,1037056.0,285615.0,174780.0,3580267.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,2.523,224.176,25.066,4.780,256.545,2523.0,224176.0,25066.0,4780.0,256545.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,140.968,1.347,5.950,56,148.321,140968.0,1347.0,5950.0,56.0,148321.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(30.626),(3.783),(1.697),(3.391),(39.497),-30626.0,-3783.0,-1697.0,-3391.0,-39497.0
Tại ngày 31 tháng 12 năm 2017,Nguyên giá > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,2.195.681,1.258.796,314.934,176.225,3.945.636,2195681.0,1258796.0,314934.0,176225.0,3945636.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2017,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,297.455,702.322,170.275,127.071,1.297.123,297455.0,702322.0,170275.0,127071.0,1297123.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,56.915,134.430,25.560,19.760,236.665,56915.0,134430.0,25560.0,19760.0,236665.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,(5.659),(3.728),(1.674),(2.960),(14.021),-5659.0,-3728.0,-1674.0,-2960.0,-14021.0
Biến động khác,Khấu hao lũy kế > Biến động khác,Biến động khác,1,(27),3,23,-,1.0,-27.0,3.0,23.0,
Tại ngày 31 tháng 12 năm 2017,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,348.712,832.997,194.164,143.894,1.519.767,348712.0,832997.0,194164.0,143894.0,1519767.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2017,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,1.785.361,334.734,115.340,47.709,2.283.144,1785361.0,334734.0,115340.0,47709.0,2283144.0
Tại ngày 31 tháng 12 năm 2017,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,1.846.969,425.799,120.770,32.331,2.425.869,1846969.0,425799.0,120770.0,32331.0,2425869.0
