row_label_raw,row_label_full,13. Bất động sản đầu tư,01/06/2018,Từ ngày 01/06/2018 đến ngày 31/12/2018 > Tăng,Từ ngày 01/06/2018 đến ngày 31/12/2018 > Giảm,31/12/2018,numeric__01/06/2018,numeric__Từ ngày 01/06/2018 đến ngày 31/12/2018 > Tăng,numeric__Từ ngày 01/06/2018 đến ngày 31/12/2018 > Giảm,numeric__31/12/2018
a. Bất động sản đầu tư cho thuê,a. Bất động sản đầu tư cho thuê,a. Bất động sản đầu tư cho thuê,1.144.402.997.145,42.893.550.027,4.043.665.389,1.183.252.881.783,1144402997145.0,42893550027.0,4043665389.0,1183252881783.0
Nguyên giá,Nguyên giá,Nguyên giá,1.489.625.292.438,88.962.873.328,4.278.122.333,1.574.310.043.433,1489625292438.0,88962873328.0,4278122333.0,1574310043433.0
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,242.026.264.360,0,0,242.026.264.360,242026264360.0,0.0,0.0,242026264360.0
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,1.247.599.028.078,88.962.873.328,4.278.122.333,1.332.283.779.073,1247599028078.0,88962873328.0,4278122333.0,1332283779073.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,345.222.295.293,46.069.323.301,234.456.944,391.057.161.650,345222295293.0,46069323301.0,234456944.0,391057161650.0
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,72.532.780.363,0,0,72.532.780.363,72532780363.0,0.0,0.0,72532780363.0
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,272.689.514.930,46.069.323.301,234.456.944,318.524.381.287,272689514930.0,46069323301.0,234456944.0,318524381287.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,1.144.402.997.145,42.893.550.027,4.043.665.389,1.183.252.881.783,1144402997145.0,42893550027.0,4043665389.0,1183252881783.0
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,169.493.483.997,0,0,169.493.483.997,169493483997.0,0.0,0.0,169493483997.0
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,974.909.513.148,42.893.550.027,4.043.665.389,1.013.759.397.786,974909513148.0,42893550027.0,4043665389.0,1013759397786.0
