row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thếng dư vốn cổ phần VND,Vốn khác (i) VND,Chênh lệch đánh giá lại tài sản (ii) VND,Chênh lệch tỷ giá hồi đo{i} VND,Quỹ đầu tư phát triển VND,Quỹ dự phòng tài chính VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi chuẩn sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thếng dư vốn cổ phần VND,numeric__Vốn khác (i) VND,numeric__Chênh lệch đánh giá lại tài sản (ii) VND,numeric__Chênh lệch tỷ giá hồi đo{i} VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ dự phòng tài chính VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi chuẩn sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Các bên động khác về vốn chủ sở hữu,Các bên động khác về vốn chủ sở hữu,Các bên động khác về vốn chủ sở hữu,-,13.342.680.000,11.361.602.506,-,(26.895.162.091),(12.321.839.573),6.673.255.564,774.734.529,82.973.782.965,49.435.136.615,125.347.190.515,,13342680000.0,11361602506.0,,-26895162091.0,-12321839573.0,6673255564.0,774734529.0,82973782965.0,49435136615.0,125347190515.0
Số dư tại ngày 1/1/2015 – đã bảo cáo t Andrec đây,Số dư tại ngày 1/1/2015 – đã bảo cáo t Andrec đây,Số dư tại ngày 1/1/2015 – đã bảo cáo t Andrec đây,10.700.000.000.000,4.325.862.417,729.602.617.999,(1.324.709.393.252),(37.397.092.969),558.880.195.083,174.495.066.154,39.918.054.412,444.725.987.293,2.802.036.701.221,14.091.877.998.358,10700000000000.0,4325862417.0,729602617999.0,-1324709393252.0,-37397092969.0,558880195083.0,174495066154.0,39918054412.0,444725987293.0,2802036701221.0,14091877998358.0
Phân hout lại theo Thông tế 200 (Thuyết minh 37(a)),Phân hout lại theo Thông tế 200 (Thuyết minh 37(a)),Phân hout lại theo Thông tế 200 (Thuyết minh 37(a)),-,-,-,-,-,174.495.066.154,(174.495.066.154),-,-,-,-,,,,,,174495066154.0,-174495066154.0,,,,
Số dư tại ngày 1/1/2015 – Đã phận loại lại,Số dư tại ngày 1/1/2015 – Đã phận loại lại,Số dư tại ngày 1/1/2015 – Đã phận loại lại,10.700.000.000.000,4.325.862.417,729.602.617.999,(1.324.709.393.252),(37.397.092.969),733.375.261.237,-,39.918.054.412,444.725.987.293,2.802.036.701.221,14.091.877.998.358,10700000000000.0,4325862417.0,729602617999.0,-1324709393252.0,-37397092969.0,733375261237.0,,39918054412.0,444725987293.0,2802036701221.0,14091877998358.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,-,2.724.413.561.269,333.121.855.492,3.057.535.416.761,,,,,,,,,2724413561269.0,333121855492.0,3057535416761.0
Cô tức,Cô tức,Cô tức,-,-,-,-,-,-,-,-,-,(226.055.974.159),(226.055.974.159),,,,,,,,,,-226055974159.0,-226055974159.0
Cô phiếu thương,Cô phiếu thương,Cô phiếu thương,-,(3.825.441.203),136.007.640.000,-,-,(132.182.198.797),-,-,-,-,-,,-3825441203.0,136007640000.0,,,-132182198797.0,,,,,
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,-,-,94.651.617.736,-,-,(94.651.617.736),-,-,,,,,,94651617736.0,,,-94651617736.0,,
"Phân bổ vào Quỹ khen thưởng, phúc lợi","Phân bổ vào Quỹ khen thưởng, phúc lợi","Phân bổ vào Quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,-,(179.032.319.700),(22.572.144.127),(201.604.463.827),,,,,,,,,-179032319700.0,-22572144127.0,-201604463827.0
Bù trú một phần lỗ lũy kế từ 1/1/2010 đến 30/11/2011,Bù trú một phần lỗ lũy kế từ 1/1/2010 đến 30/11/2011,Bù trú một phần lỗ lũy kế từ 1/1/2010 đến 30/11/2011,-,-,-,-,-,-,-,-,(416.198.842.693),-,(416.198.842.693),,,,,,,,,-416198842693.0,,-416198842693.0
Chênh lệch ty giá hối đơi phát sinh do vắc quy đồ các hoạt động o nước ngoài,Chênh lệch ty giá hối đơi phát sinh do vắc quy đồ các hoạt động o nước ngoài,Chênh lệch ty giá hối đơi phát sinh do vắc quy đồ các hoạt động o nước ngoài,-,-,-,-,(43.197.862.806),-,-,-,-,-,(43.197.862.806),,,,,-43197862806.0,,,,,,-43197862806.0
Xóa số chênh lệch ty giá gian đoạn trước hoạt động,Xóa số chênh lệch ty giá gian đoạn trước hoạt động,Xóa số chênh lệch ty giá gian đoạn trước hoạt động,-,-,-,-,16.813.140.435,-,-,-,-,-,16.813.140.435,,,,,16813140435.0,,,,,,16813140435.0
Các bên động khác về vốn chủ sở hữu,Các bên động khác về vốn chủ sở hữu,Các bên động khác về vốn chủ sở hữu,-,(335.958.797),623.877.321,7.590.455.900,(2.128.543.579),10.278.602.258,-,(2.350.997.684),(4.305.442.559),2.262.918.888,11.634.911.748,,-335958797.0,623877321.0,7590455900.0,-2128543579.0,10278602258.0,,-2350997684.0,-4305442559.0,2262918888.0,11634911748.0
Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,10.700.000.000.000,164.462.417,866.234.135.320,(1.317.118.937.352),(65.910.358.919),706.123.282.434,-,37.567.056.728,2.474.951.325.874,2.888.793.357.315,16.290.804.323.817,10700000000000.0,164462417.0,866234135320.0,-1317118937352.0,-65910358919.0,706123282434.0,,37567056728.0,2474951325874.0,2888793357315.0,16290804323817.0
