row_label_raw,row_label_full,21. VAY (tiếp theo),21. VAY (tiếp theo)_1,21. VAY (tiếp theo)_2,21. VAY (tiếp theo)_3,21. VAY (tiếp theo)_4,21. VAY (tiếp theo)_5,numeric__21. VAY (tiếp theo)_1,numeric__21. VAY (tiếp theo)_2,numeric__21. VAY (tiếp theo)_3,numeric__21. VAY (tiếp theo)_4,numeric__21. VAY (tiếp theo)_5
21.1 Vay ngắn hạn ngân hàng (tiếp theo),21.1 Vay ngắn hạn ngân hàng (tiếp theo),21.1 Vay ngắn hạn ngân hàng (tiếp theo),21.1 Vay ngắn hạn ngân hàng (tiếp theo),21.1 Vay ngắn hạn ngân hàng (tiếp theo),21.1 Vay ngắn hạn ngân hàng (tiếp theo),21.1 Vay ngắn hạn ngân hàng (tiếp theo),21.1 Vay ngắn hạn ngân hàng (tiếp theo),,,,,
Ngân hàng,Ngân hàng,Ngân hàng,Số cuối nămVND,Nguyên tệUSD,Kỳ hạn trả gốc và lãi,Lãi suất%/năm,Hình thức đảm bảo,,,,,
"Agribank, CN BMT","Agribank, CN BMT","Agribank, CN BMT","Agribank, CN BMT","Agribank, CN BMT","Agribank, CN BMT","Agribank, CN BMT","Agribank, CN BMT",,,,,
Hợp đồng số LAV201101190 ngày 20 tháng 12 năm 2011,"Agribank, CN BMT > Hợp đồng số LAV201101190 ngày 20 tháng 12 năm 2011",Hợp đồng số LAV201101190 ngày 20 tháng 12 năm 2011,10.500.000.000,-,Từ ngày 17 tháng 7 năm 2016 đến ngày 31 tháng 12 năm 2016,"10,5","Gỗ nguyên liệu các loại và máy móc thiết bị của Công ty Cổ phần Trường Thành, công ty con của Công ty",10500000000.0,,,10.5,
Hợp đồng số LDS201101998 ngày 30 tháng 12 năm 2011,"Agribank, CN BMT > Hợp đồng số LDS201101998 ngày 30 tháng 12 năm 2011",Hợp đồng số LDS201101998 ngày 30 tháng 12 năm 2011,700.000.000,-,Ngày 17 tháng 7 năm 2014,"10,5","Gỗ nguyên liệu các loại của Công ty Cổ phần Chế biến Gỗ Trường Thành (Đắk Lắk 2), công ty con của Công ty",700000000.0,,,10.5,
Hợp đồng số LDS201200081 ngày 30 tháng 12 năm 2011,"Agribank, CN BMT > Hợp đồng số LDS201200081 ngày 30 tháng 12 năm 2011",Hợp đồng số LDS201200081 ngày 30 tháng 12 năm 2011,400.000.000,-,Ngày 23 tháng 8 năm 2014,"10,5","Gỗ nguyên liệu các loại của Công ty Cổ phần Chế biến Gỗ Trường Thành (Đắk Lắk 2), công ty con của Công ty",400000000.0,,,10.5,
Hợp đồng số LDS201200387 ngày 23 tháng 3 năm 2012,"Agribank, CN BMT > Hợp đồng số LDS201200387 ngày 23 tháng 3 năm 2012",Hợp đồng số LDS201200387 ngày 23 tháng 3 năm 2012,12.700.000.000,-,Ngày 27 tháng 9 năm 2014,"10,5",,12700000000.0,,,10.5,
Hợp đồng số LDS201200411 ngày 27 tháng 3 năm 2012,"Agribank, CN BMT > Hợp đồng số LDS201200411 ngày 27 tháng 3 năm 2012",Hợp đồng số LDS201200411 ngày 27 tháng 3 năm 2012,700.000.000,-,Ngày 30 tháng 9 năm 2014,"10,5",,700000000.0,,,10.5,
Hợp đồng số LA201100336 ngày 1 tháng 3 năm 2012,"Agribank, CN BMT > Hợp đồng số LA201100336 ngày 1 tháng 3 năm 2012",Hợp đồng số LA201100336 ngày 1 tháng 3 năm 2012,3.000.000,-,Từ ngày 3 tháng 3 năm 2015 đến ngày 27 tháng 7 năm 2015,"10,5","Quyền sử dụng đất và toàn bộ tài sản hình thành từ vốn vay, của công ty Cổ phần Nông Lâm Công nghiệp Trường An, công ty con của Công ty",3000000.0,,,10.5,
"Tổng cộng Agribank, CN BMT","Agribank, CN BMT > Tổng cộng Agribank, CN BMT","Tổng cộng Agribank, CN BMT",25.003.000.000,-,,,,25003000000.0,,,,
