row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Nhà cửa và vật kiến trúc VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2017,Nguyên giá > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,157.058.664.724,1.865.012.326.934,2.022.070.991.658,157058664724.0,1865012326934.0,2022070991658.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,930.957.140.000,2.400.000.000,933.357.140.000,930957140000.0,2400000000.0,933357140000.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,-,390.346.006.607,390.346.006.607,,390346006607.0,390346006607.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(4.028.035.204),(4.028.035.204),,-4028035204.0,-4028035204.0
Chuyển sang hàng tồn kho,Nguyên giá > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,-,(102.697.411.793),(102.697.411.793),,-102697411793.0,-102697411793.0
Giảm do bán công ty con,Nguyên giá > Giảm do bán công ty con,Giảm do bán công ty con,-,(183.416.432.992),(183.416.432.992),,-183416432992.0,-183416432992.0
Tại ngày 31 tháng 12 năm 2017,Nguyên giá > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,1.088.015.804.724,1.967.616.453.552,3.055.632.258.276,1088015804724.0,1967616453552.0,3055632258276.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2017,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,-,(77.057.881.406),(77.057.881.406),,-77057881406.0,-77057881406.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(49.797.055.229),(49.797.055.229),,-49797055229.0,-49797055229.0
Chuyển sang hàng tồn kho,Khấu hao lũy kế > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,-,2.793.412.320,2.793.412.320,,2793412320.0,2793412320.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,895.118.928,895.118.928,,895118928.0,895118928.0
Giảm do bán công ty con,Khấu hao lũy kế > Giảm do bán công ty con,Giảm do bán công ty con,-,12.150.681.310,12.150.681.310,,12150681310.0,12150681310.0
Tại ngày 31 tháng 12 năm 2017,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,-,(111.015.724.077),(111.015.724.077),,-111015724077.0,-111015724077.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2017,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,157.058.664.724,1.787.954.445.528,1.945.013.110.252,157058664724.0,1787954445528.0,1945013110252.0
Tại ngày 31 tháng 12 năm 2017,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,1.088.015.804.724,1.856.600.729.475,2.944.616.534.199,1088015804724.0,1856600729475.0,2944616534199.0
