row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,100,,5.351.692.520.963,5.632.480.189.826,,100.0,,5351692520963.0,5632480189826.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,V.1,101.436.456.286,43.305.574.290,,110.0,,101436456286.0,43305574290.0
1.,1.,1.,Tiền,111,,98.436.456.286,43.305.574.290,,111.0,,98436456286.0,43305574290.0
2.,2.,2.,Các khoản tương đương tiền,112,,3.000.000.000,-,,112.0,,3000000000.0,
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,887.299.541.667,1.501.601.291.666,,120.0,,887299541667.0,1501601291666.0
1.,1.,1.,Chứng khoán kinh doanh,121,V.2a,193.020.000.000,183.020.000.000,,121.0,,193020000000.0,183020000000.0
2.,2.,2.,Dự phòng giảm giá chứng khoán kinh doanh,122,V.2a,(5.020.458.333),(5.347.708.334),,122.0,,-5020458333.0,-5347708334.0
3.,3.,3.,Đầu tư nằm giữ đến ngày đáo hạn,123,V.2b,699.300.000.000,1.323.929.000.000,,123.0,,699300000000.0,1323929000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,3.861.942.225.341,3.599.188.814.645,,130.0,,3861942225341.0,3599188814645.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,V.3,428.564.441.476,369.134.649.119,,131.0,,428564441476.0,369134649119.0
2.,2.,2.,Trà trước cho người bán ngắn hạn,132,V.4,122.138.612.325,97.704.005.925,,132.0,,122138612325.0,97704005925.0
3.,3.,3.,Phải thu nội bộ ngắn hạn,133,,-,-,,133.0,,,
4.,4.,4.,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,-,-,,134.0,,,
5.,5.,5.,Phải thu về cho vay ngắn hạn,135,V.5,80.524.595.050,49.336.798.592,,135.0,,80524595050.0,49336798592.0
6.,6.,6.,Phải thu ngắn hạn khác,136,V.6a,3.298.809.973.909,3.151.952.140.140,,136.0,,3298809973909.0,3151952140140.0
7.,7.,7.,Dự phòng phải thu ngắn hạn khó đòi,137,V.7,(68.095.397.419),(68.938.779.131),,137.0,,-68095397419.0,-68938779131.0
8.,8.,8.,Tài sản thiếu chờ xử lý,139,,-,-,,139.0,,,
IV.,IV.,IV.,Hàng tồn kho,140,V.8,409.152.086.811,427.044.678.929,,140.0,,409152086811.0,427044678929.0
1.,1.,1.,Hàng tồn kho,141,,420.372.965.652,437.703.536.426,,141.0,,420372965652.0,437703536426.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(11.220.878.841),(10.658.857.497),,149.0,,-11220878841.0,-10658857497.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,91.862.210.858,61.339.830.296,,150.0,,91862210858.0,61339830296.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,V.9a,5.518.412.693,4.147.369.634,,151.0,,5518412693.0,4147369634.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,85.095.067.945,56.787.551.911,,152.0,,85095067945.0,56787551911.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,V.19a,1.248.730.220,404.908.751,,153.0,,1248730220.0,404908751.0
4.,4.,4.,Giao dịch mua bán lại trái phiếu Chính phủ,154,,-,-,,154.0,,,
5,5,5,Tài sản ngắn hạn khác,155,,-,-,,155.0,,,
