row_label_raw,row_label_full,Năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > 10.3 Tài sản có khác,Năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Đơn vị tính: Triệu đồng Việt Nam > 31/12/2017,Đơn vị tính: Triệu đồng Việt Nam > 01/01/2017,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2017,numeric__Đơn vị tính: Triệu đồng Việt Nam > 31/12/2017,numeric__Đơn vị tính: Triệu đồng Việt Nam > 01/01/2017
- Tài sản khác,- Tài sản khác,- Tài sản khác,,17.483,10.528,,17483.0,10528.0
- Chỉ phí chở phân bổ,- Chỉ phí chở phân bổ,- Chỉ phí chở phân bổ,,2.964.077,3.186.687,,2964077.0,3186687.0
- Thanh toán chuyển tiền,- Thanh toán chuyển tiền,- Thanh toán chuyển tiền,,49.241,22.828,,49241.0,22828.0
Cộng,Cộng,Cộng,,3.030.801,3.220.043,,3030801.0,3220043.0
10.4 Dự phòng rủi ro cho các tài sản Có nội bảng khác,10.4 Dự phòng rủi ro cho các tài sản Có nội bảng khác,10.4 Dự phòng rủi ro cho các tài sản Có nội bảng khác,,31/12/2017,01/01/2017,,,
- Dự phòng rủi ro các khoản nợ phải thu khó đòi,10.4 Dự phòng rủi ro cho các tài sản Có nội bảng khác > - Dự phòng rủi ro các khoản nợ phải thu khó đòi,- Dự phòng rủi ro các khoản nợ phải thu khó đòi,,(35.859),(28.859),,-35859.0,-28859.0
Cộng,10.4 Dự phòng rủi ro cho các tài sản Có nội bảng khác > Cộng,Cộng,,(35.859),(28.859),,-35859.0,-28859.0
11. Tiền gửi và vay các TCTD khác,11. Tiền gửi và vay các TCTD khác,11. Tiền gửi và vay các TCTD khác,,,,,,
,,,,31/12/2017,01/01/2017,,,
11.1. Tiền gửi của các TCTD khác,11.1. Tiền gửi của các TCTD khác,11.1. Tiền gửi của các TCTD khác,11.1. Tiền gửi của các TCTD khác,11.1. Tiền gửi của các TCTD khác,11.1. Tiền gửi của các TCTD khác,,,
a. Tiền gửi không kỳ hạn,11.1. Tiền gửi của các TCTD khác > a. Tiền gửi không kỳ hạn,a. Tiền gửi không kỳ hạn,,7.026.639,6.697.206,,7026639.0,6697206.0
- Bằng VND,11.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,,7.026.570,6.697.144,,7026570.0,6697144.0
- Bằng ngoại hối,11.1. Tiền gửi của các TCTD khác > - Bằng ngoại hối,- Bằng ngoại hối,,69,62,,69.0,62.0
b. Tiền gửi có kỳ hạn,11.1. Tiền gửi của các TCTD khác > b. Tiền gửi có kỳ hạn,b. Tiền gửi có kỳ hạn,,3.851.968,9.652.265,,3851968.0,9652265.0
- Bằng VND,11.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,,3.762.268,9.652.265,,3762268.0,9652265.0
- Bằng ngoại hối,11.1. Tiền gửi của các TCTD khác > - Bằng ngoại hối,- Bằng ngoại hối,,89.700,-,,89700.0,
Cộng,11.1. Tiền gửi của các TCTD khác > Cộng,Cộng,,10.878.607,16.349.471,,10878607.0,16349471.0
11.2. Vay các TCTD khác,11.2. Vay các TCTD khác,11.2. Vay các TCTD khác,11.2. Vay các TCTD khác,11.2. Vay các TCTD khác,11.2. Vay các TCTD khác,,,
- Bằng VND,11.2. Vay các TCTD khác > - Bằng VND,- Bằng VND,,4.352.579,3.904.362,,4352579.0,3904362.0
- Bằng ngoại hối,11.2. Vay các TCTD khác > - Bằng ngoại hối,- Bằng ngoại hối,,493.350,443.180,,493350.0,443180.0
Cộng,11.2. Vay các TCTD khác > Cộng,Cộng,,4.845.929,4.347.542,,4845929.0,4347542.0
Tổng cộng tiền gửi của và vay TCTD khác,11.2. Vay các TCTD khác > Tổng cộng tiền gửi của và vay TCTD khác,Tổng cộng tiền gửi của và vay TCTD khác,,15.724.536,20.697.013,,15724536.0,20697013.0
12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,12. Tiền gửi của khách hàng,,,
