row_label_raw,row_label_full,col_0,Các khoản mục thuộc vốn chủ sở hữu,Các khoản mục thuộc vốn chủ sở hữu_1,Các khoản mục thuộc vốn chủ sở hữu_2,Các khoản mục thuộc vốn chủ sở hữu_3,Các khoản mục thuộc vốn chủ sở hữu_4,Các khoản mục thuộc vốn chủ sở hữu_5,Các khoản mục thuộc vốn chủ sở hữu_6,Các khoản mục thuộc vốn chủ sở hữu_7,Các khoản mục thuộc vốn chủ sở hữu_8,Các khoản mục thuộc vốn chủ sở hữu_9,Các khoản mục thuộc vốn chủ sở hữu_10,numeric__Các khoản mục thuộc vốn chủ sở hữu,numeric__Các khoản mục thuộc vốn chủ sở hữu_1,numeric__Các khoản mục thuộc vốn chủ sở hữu_2,numeric__Các khoản mục thuộc vốn chủ sở hữu_3,numeric__Các khoản mục thuộc vốn chủ sở hữu_4,numeric__Các khoản mục thuộc vốn chủ sở hữu_5,numeric__Các khoản mục thuộc vốn chủ sở hữu_6,numeric__Các khoản mục thuộc vốn chủ sở hữu_7,numeric__Các khoản mục thuộc vốn chủ sở hữu_8,numeric__Các khoản mục thuộc vốn chủ sở hữu_9,numeric__Các khoản mục thuộc vốn chủ sở hữu_10
Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,-,-,-,-,-,-,-,655.640,-,508.313,1.163.953,,,,,,,,655640.0,,508313.0,1163953.0
Trích lập quỹ thuộc nguồn vốn,Trích lập quỹ thuộc nguồn vốn,Trích lập quỹ thuộc nguồn vốn,-,-,-,-,-,126.693,-,(126.693),-,-,-,,,,,,126693.0,,-126693.0,,,
"Trích lập quỹ KTPL, Ban điều hành","Trích lập quỹ KTPL, Ban điều hành","Trích lập quỹ KTPL, Ban điều hành",-,-,-,-,-,-,-,(64.459),-,(62.440),(126.899),,,,,,,,-64459.0,,-62440.0,-126899.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,-,(338.843),-,(147.278),(486.121),,,,,,,,-338843.0,,-147278.0,-486121.0
Tăng/Giảm từ liên kết,Tăng/Giảm từ liên kết,Tăng/Giảm từ liên kết,-,168,-,-,(10.643),-,-,19.205,-,-,8.730,,168.0,,,-10643.0,,,19205.0,,,8730.0
Tăng/Giảm do thoái vốn công ty con,Tăng/Giảm do thoái vốn công ty con,Tăng/Giảm do thoái vốn công ty con,-,-,-,-,48.888,(20.198),-,62.862,-,165.863,257.415,,,,,48888.0,-20198.0,,62862.0,,165863.0,257415.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,-,-,93.227,-,-,(89.273),(3.954),(483),-,483,-,,,93227.0,,,-89273.0,-3954.0,-483.0,,483.0,
Tăng/giảm khác,Tăng/giảm khác,Tăng/giảm khác,-,-,-,-,-,-,-,931,-,(62),869,,,,,,,,931.0,,-62.0,869.0
Điều chính theo thông báo kết quả của Kiểm toán Nhà nước,Điều chính theo thông báo kết quả của Kiểm toán Nhà nước,Điều chính theo thông báo kết quả của Kiểm toán Nhà nước,-,-,-,-,-,-,-,40.645,-,31.573,72.218,,,,,,,,40645.0,,31573.0,72218.0
Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,3.765.000,107.307,182.186,(90),(595.686),422.162,15.473,951.483,3.056,2.869.664,7.720.555,3765000.0,107307.0,182186.0,-90.0,-595686.0,422162.0,15473.0,951483.0,3056.0,2869664.0,7720555.0
