row_label_raw,row_label_full,col_0,Trên 3 tháng VND,Đến 3 tháng VND,Đến 1 tháng VND,Từ 1 đến 3 tháng VND,Từ 3 đến 12 tháng VND,Từ 1 đến 5 năm VND,Trên 5 năm VND,Tổng cộng VND,numeric__Trên 3 tháng VND,numeric__Đến 3 tháng VND,numeric__Đến 1 tháng VND,numeric__Từ 1 đến 3 tháng VND,numeric__Từ 3 đến 12 tháng VND,numeric__Từ 1 đến 5 năm VND,numeric__Trên 5 năm VND,numeric__Tổng cộng VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,779.733.563.086,-,-,-,-,779.733.563.086,,,779733563086.0,,,,,779733563086.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,6.965.365.039.785,-,-,-,-,6.965.365.039.785,,,6965365039785.0,,,,,6965365039785.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,27.739.615.274.869,5.628.619.067.385,422.255.137.256,109.727.000.000,-,33.900.216.479.510,,,27739615274869.0,5628619067385.0,422255137256.0,109727000000.0,,33900216479510.0
Công cụ tài chính phải sinh,Tài sản > Công cụ tài chính phải sinh,Công cụ tài chính phải sinh,-,-,17.311.619.584,(9.603.530.000),33.765.475.781,-,-,41.473.565.365,,,17311619584.0,-9603530000.0,33765475781.0,,,41473565365.0
Cho vay khách hàng và mua nợ - góp,Tài sản > Cho vay khách hàng và mua nợ - góp,Cho vay khách hàng và mua nợ - góp,6.125.285.503.275,1.256.420.626.938,6.073.827.845.649,7.288.776.509.249,25.588.732.126.127,30.005.727.472.095,71.418.596.132.238,147.757.366.215.571,6125285503275.0,1256420626938.0,6073827845649.0,7288776509249.0,25588732126127.0,30005727472095.0,71418596132238.0,147757366215571.0
Chứng khoán đầu tư - góp,Tài sản > Chứng khoán đầu tư - góp,Chứng khoán đầu tư - góp,-,-,-,2.978.031.018.244,12.113.544.681.227,2.026.389.668.376,23.213.432.352.669,40.331.397.720.516,,,,2978031018244.0,12113544681227.0,2026389668376.0,23213432352669.0,40331397720516.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,-,-,-,-,-,25.000.000.000,25.000.000.000,,,,,,,25000000000.0,25000000000.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,553.659.164.650,553.659.164.650,,,,,,,553659164650.0,553659164650.0
Tài sản Có khác - góp,Tài sản > Tài sản Có khác - góp,Tài sản Có khác - góp,4.800.000.000,-,359.651.374.785,356.519.658.211,751.628.692.350,8.297.664.369.725,2.564.302.859.567,12.334.566.954.638,4800000000.0,,359651374785.0,356519658211.0,751628692350.0,8297664369725.0,2564302859567.0,12334566954638.0
