row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thăng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,LNST chưa phân phối VND,Lợi ích của cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thăng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__LNST chưa phân phối VND,numeric__Lợi ích của cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,3.283.695.530.000,20.462.758.273,55.391.600.000,(300.150.000),824.773.364.467,1.821.722.332.329,283.252.865.644,6.288.998.300.713,3283695530000.0,20462758273.0,55391600000.0,-300150000.0,824773364467.0,1821722332329.0,283252865644.0,6288998300713.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,2.150.756.824.672,107.588.843.083,2.258.345.667.755,,,,,,2150756824672.0,107588843083.0,2258345667755.0
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,-,(328.339.538.000),(64.081.496.000),(392.421.034.000),,,,,,-328339538000.0,-64081496000.0,-392421034000.0
"Trích Quỹ đầu tư, phát triển","Trích Quỹ đầu tư, phát triển","Trích Quỹ đầu tư, phát triển",-,-,-,-,599.722.147.739,(599.722.147.739),-,-,,,,,599722147739.0,-599722147739.0,,
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,-,-,(223.403.402.056),(10.758.922.320),(234.162.324.376),,,,,,-223403402056.0,-10758922320.0,-234162324376.0
Hủy cổ phiếu quỹ,Hủy cổ phiếu quỹ,Hủy cổ phiếu quỹ,(300.150.000),-,-,300.150.000,-,-,-,-,-300150000.0,,,300150000.0,,,,
Khác,Khác,Khác,-,(20.462.758.273),-,-,-,19.404.386.097,(3.428),(1.058.375.604),,-20462758273.0,,,,19404386097.0,-3428.0,-1058375604.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,3.283.395.380.000,-,55.391.600.000,-,1.424.495.512.206,2.840.418.455.303,316.001.286.979,7.919.702.234.488,3283395380000.0,,55391600000.0,,1424495512206.0,2840418455303.0,316001286979.0,7919702234488.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,2.383.057.829.664,50.456.815.702,2.433.514.645.366,,,,,,2383057829664.0,50456815702.0,2433514645366.0
Chia cổ tức bằng tiền (*),Chia cổ tức bằng tiền (*),Chia cổ tức bằng tiền (*),-,-,-,-,-,(985.018.614.000),(41.558.227.575),(1.026.576.841.575),,,,,,-985018614000.0,-41558227575.0,-1026576841575.0
Tăng vốn cổ phần bằng phát hành cổ phiếu (**),Tăng vốn cổ phần bằng phát hành cổ phiếu (**),Tăng vốn cổ phần bằng phát hành cổ phiếu (**),1.641.696.260.000,-,-,-,(70.000.000.000),(1.571.696.260.000),-,-,1641696260000.0,,,,-70000000000.0,-1571696260000.0,,
Trích Quỹ đầu tư phát triển (*),Trích Quỹ đầu tư phát triển (*),Trích Quỹ đầu tư phát triển (*),-,-,-,-,355.226.693.072,(355.226.693.072),-,-,,,,,355226693072.0,-355226693072.0,,
"Trích Quỹ khen thưởng, phúc lợi (*) (Thuyết minh 19)","Trích Quỹ khen thưởng, phúc lợi (*) (Thuyết minh 19)","Trích Quỹ khen thưởng, phúc lợi (*) (Thuyết minh 19)",-,-,-,-,-,(243.510.632.508),(5.150.090.051),(248.660.722.559),,,,,,-243510632508.0,-5150090051.0,-248660722559.0
Khác,Khác,Khác,-,-,-,-,-,(2.331.836.785),(1.882.946.686),(4.214.783.471),,,,,,-2331836785.0,-1882946686.0,-4214783471.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,4.925.091.640.000,-,55.391.600.000,-,1.709.722.205.278,2.065.692.248.602,317.866.838.369,9.073.764.532.249,4925091640000.0,,55391600000.0,,1709722205278.0,2065692248602.0,317866838369.0,9073764532249.0
