row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2016 VND,1/1/2016 VND Đã điều chỉnh lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2016 VND,numeric__1/1/2016 VND Đã điều chỉnh lại
VỐN CHỦ SỞ HỮU (400 = 410 + 430),VỐN CHỦ SỞ HỮU (400 = 410 + 430),VỐN CHỦ SỞ HỮU (400 = 410 + 430),400,29,7.594.470.534.040,7.347.839.194.913,400.0,29.0,7594470534040.0,7347839194913.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,,7.559.178.352.429,7.306.410.571.478,410.0,,7559178352429.0,7306410571478.0
Vốn cổ phần,Vốn cổ phần,Vốn cổ phần,411,30,5.000.000.000.000,5.000.000.000.000,411.0,30.0,5000000000000.0,5000000000000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,5.000.000.000.000,5.000.000.000.000,,,5000000000000.0,5000000000000.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,,29.911.650.892,29.911.650.892,412.0,,29911650892.0,29911650892.0
Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,,42.248.630.739,42.248.630.739,414.0,,42248630739.0,42248630739.0
Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,416,,(742.835.089.736),(748.765.581.042),416.0,,-742835089736.0,-748765581042.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,418,32,457.818.876.459,421.021.002.398,418.0,32.0,457818876459.0,421021002398.0
Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,420,,10.981.645.059,10.944.352.367,420.0,,10981645059.0,10944352367.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,555.190.797.152,571.099.479.985,421.0,,555190797152.0,571099479985.0
- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,230.356.822.217,147.491.675.907,,,230356822217.0,147491675907.0
- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,421b,,324.833.974.935,423.607.804.078,,,324833974935.0,423607804078.0
Nguồn vốn đầu tư xây dựng cơ bản,Nguồn vốn đầu tư xây dựng cơ bản,Nguồn vốn đầu tư xây dựng cơ bản,422,33,553.877.792.360,497.352.336.562,422.0,33.0,553877792360.0,497352336562.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,1.651.984.049.504,1.482.598.699.577,429.0,,1651984049504.0,1482598699577.0
Nguồn kinh phí và các quỹ khác,Nguồn kinh phí và các quỹ khác,Nguồn kinh phí và các quỹ khác,430,,35.292.181.611,41.428.623.435,430.0,,35292181611.0,41428623435.0
Nguồn kinh phí,Nguồn kinh phí,Nguồn kinh phí,431,,553.206.786,3.004.072.271,431.0,,553206786.0,3004072271.0
Nguồn kinh phí đã hình thành tài sản cổ định,Nguồn kinh phí đã hình thành tài sản cổ định,Nguồn kinh phí đã hình thành tài sản cổ định,432,,34.738.974.825,38.424.551.164,432.0,,34738974825.0,38424551164.0
TỔNG NGUỒN VỐN (440 = 300 + 400),TỔNG NGUỒN VỐN (440 = 300 + 400),TỔNG NGUỒN VỐN (440 = 300 + 400),440,,19.794.423.295.461,18.804.066.507.777,440.0,,19794423295461.0,18804066507777.0
