row_label_raw,row_label_full,Mg 50 minth,100,50 cui hi nam,50 casu nam,numeric__100,numeric__50 cui hi nam,numeric__50 casu nam
110,110,110,4,2.266.238.960.414,4.671.040.146.239,4.0,2266238960414.0,4671040146239.0
111,111,111,,549.495.162.350,541.735.06.272,,549495162350.0,54173506272.0
112,112,112,,1.716.437.980.664,4.129.304.439.667,,1716437980664.0,4129304439667.0
120,120,120,5,1.038.547.245.5522,60.000.000.000,5.0,10385472455522.0,60000000000.0
130,130,130,,6.743.874.836.373,10.229.639.967.314,,6743874836373.0,10229639967314.0
131,131,131,,6.507.249.168.236,9.877.335.366.718,,6507249168236.0,9877335366718.0
132,132,132,,118.597.055.853,256.677.408.062,,118597055853.0,256677408062.0
136,136,136,7,338.814.880.216,233.650.066.753,7.0,338814880216.0,233650066753.0
137,137,137,9,3.533.224.329.510,(178.022.876.219),9.0,3533224329510.0,-178022876219.0
140,140,140,,182.400.000),3.346.817.5424.41,,,3346817542441.0
141,141,141,,3.533.406.729.510,3.346.999.424.41,,3533406729510.0,334699942441.0
150,150,150,,196.070.489.875,211.215.991.954,,196070489875.0,211215991954.0
152,152,152,,157.999.636.862,181.815.411.883,,157999636862.0,181815411883.0
153,153,153,17,35.280.053.249,790.584.786,17.0,35280053249.0,790584786.0
200,200,200,,46.805.407.318.888,51.213.504.946.893,,46805407318888.0,51213504946893.0
210,210,210,,39.406.560.825,203.888.018.197,,39406560825.0,203888018197.0
211,211,211,6,-,164.486.554.947,6.0,,164486554947.0
216,216,216,7,39.406.560.825,39.401.463.250,7.0,39406560825.0,39401463250.0
220,220,220,,43.925.688.976.626,48.000.462.179.966,,43925688976626.0,48000462179966.0
222,222,222,,69.203.052.718.707,68.968.940.4575.787,,69203052718707.0,689689404575787.0
223,223,223,,(25.277.363.739.081),(20.968.478.295.825),,-25277363739081.0,-20968478295825.0
227,227,227,12,65.527.644.171,67.966.817.352,12.0,65527644171.0,67966817352.0
232,232,232,,(17.393.037.519),(17.273.398.611),,-17393037519.0,-17273398611.0
233,233,233,,-,281.213.992.597,,,281213992597.0
240,240,240,14,290.490.453.714,281.213.995.597,14.0,290490453714.0,281213995597.0
242,242,242,,(17.393.037.519),(17.273.398.611),,-17393037519.0,-17273398611.0
250,250,250,,957.184.4353.417,931.4353.580.669,,9571844353417.0,9314353580669.0
252,252,252,5,349.497.568.931,323.492.570.538,5.0,349497568931.0,323492570538.0
253,253,253,5,642.585.449.117,642.558.497.117,5.0,642585449117.0,642558497117.0
254,254,254,5,(34.871.712.631),(34.697.223.3986),5.0,-34871712631.0,-346972233986.0
255,255,255,5,957.184.4353.417,931.4353.580.669,5.0,9571844353417.0,9314353580669.0
260,260,260,,1.526.956.741.714,1.728.348.715.607,,1526956741714.0,1728348715607.0
262,262,262,15,1.144.052.104,1.193.324.400,15.0,1144052104.0,1193324400.0
263,263,263,,668.283.107.963,893.429.202.697,,668283107963.0,893429202697.0
266,266,266,,22.875.639.687,29.812.446.145,,22875639687.0,29812446145.0
270,270,270,,60.583.363.180.582,69.732.218.594.841,,60583363180582.0,69732218594841.0
