row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị thuần,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị thuần,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị thuần,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị thuần
Công ty Cổ phần Long Bình,Đầu tư vào công ty con > Công ty Cổ phần Long Bình,Công ty Cổ phần Long Bình,6.096.584.122,-,6.096.584.122,6.096.584.122,-,6.096.584.122,6096584122.0,,6096584122.0,6096584122.0,,6096584122.0
Công ty Cổ phần Giống Lâm nghiệp vùng Tây Nguyên,Đầu tư vào công ty con > Công ty Cổ phần Giống Lâm nghiệp vùng Tây Nguyên,Công ty Cổ phần Giống Lâm nghiệp vùng Tây Nguyên,5.125.155.489,-,5.125.155.489,5.125.155.489,-,5.125.155.489,5125155489.0,,5125155489.0,5125155489.0,,5125155489.0
Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Trung Bộ,Đầu tư vào công ty con > Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Trung Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Trung Bộ,2.832.748.199,-,2.832.748.199,2.832.748.199,-,2.832.748.199,2832748199.0,,2832748199.0,2832748199.0,,2832748199.0
Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,Đầu tư vào công ty con > Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,2.094.477.881,(763.796.968),1.330.680.913,2.094.477.881,(492.547.696),1.601.930.185,2094477881.0,-763796968.0,1330680913.0,2094477881.0,-492547696.0,1601930185.0
Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Đầu tư vào công ty con > Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,1.742.656.825,-,1.742.656.825,1.742.656.825,-,1.742.656.825,1742656825.0,,1742656825.0,1742656825.0,,1742656825.0
Công ty Cổ phần Vinafor Vinh,Đầu tư vào công ty con > Công ty Cổ phần Vinafor Vinh,Công ty Cổ phần Vinafor Vinh,1.626.640.618,(342.502.060),1.284.138.558,1.626.640.618,(345.143.300),1.281.497.318,1626640618.0,-342502060.0,1284138558.0,1626640618.0,-345143300.0,1281497318.0
Công ty Cổ phần Giống Lâm nghiệp vùng Nam Trung Bộ,Đầu tư vào công ty con > Công ty Cổ phần Giống Lâm nghiệp vùng Nam Trung Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Trung Bộ,1.491.724.378,-,1.491.724.378,1.491.724.378,-,1.491.724.378,1491724378.0,,1491724378.0,1491724378.0,,1491724378.0
Công ty Cổ phần Giống Lâm nghiệp vùng Đông Bắc,Đầu tư vào công ty con > Công ty Cổ phần Giống Lâm nghiệp vùng Đông Bắc,Công ty Cổ phần Giống Lâm nghiệp vùng Đông Bắc,517.537.629,(48.574.998),468.962.631,517.537.629,(123.464.290),394.073.339,517537629.0,-48574998.0,468962631.0,517537629.0,-123464290.0,394073339.0
Công ty TNHH MTV Ván dán Vinafor Bắc Giang,Đầu tư vào công ty con > Công ty TNHH MTV Ván dán Vinafor Bắc Giang,Công ty TNHH MTV Ván dán Vinafor Bắc Giang,239.873.716,-,239.873.716,239.873.716,-,239.873.716,239873716.0,,239873716.0,239873716.0,,239873716.0
,,,413.010.198.449,(12.428.068.422),400.582.130.027,373.649.630.474,(7.768.022.091),365.881.608.383,413010198449.0,-12428068422.0,400582130027.0,373649630474.0,-7768022091.0,365881608383.0
