row_label_raw,row_label_full,31/12/2015,Dưới 1 nămVND > 31/12/2015,Từ 1 đến 5 nămVND > 31/12/2015,Trên 5 nămVND > 31/12/2015,TổngVND > 31/12/2015,numeric__Dưới 1 nămVND > 31/12/2015,numeric__Từ 1 đến 5 nămVND > 31/12/2015,numeric__Trên 5 nămVND > 31/12/2015,numeric__TổngVND > 31/12/2015
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.566.372.095.001,-,-,1.566.372.095.001,1566372095001.0,,,1566372095001.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,828.118.172.994,1.345.306.570.769,305.463.144.268,2.478.887.888.031,828118172994.0,1345306570769.0,305463144268.0,2478887888031.0
Đầu tư tài chính,Đầu tư tài chính,Đầu tư tài chính,-,-,45.937.767.300,45.937.767.300,,,45937767300.0,45937767300.0
Tổng cộng,Tổng cộng,Tổng cộng,2.394.490.267.995,1.345.306.570.769,351.400.911.568,4.091.197.750.332,2394490267995.0,1345306570769.0,351400911568.0,4091197750332.0
31/12/2015,31/12/2015,31/12/2015,31/12/2015,31/12/2015,31/12/2015,31/12/2015,,,,
Các khoản vay,31/12/2015 > Các khoản vay,Các khoản vay,535.426.470.525,1.441.620.178.076,514.584.681.069,2.491.631.329.670,535426470525.0,1441620178076.0,514584681069.0,2491631329670.0
Phải trả người bán và phải trả khác,31/12/2015 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,708.255.749.964,115.445.568.000,260.891.136.000,1.084.592.453.964,708255749964.0,115445568000.0,260891136000.0,1084592453964.0
Chi phí phải trả,31/12/2015 > Chi phí phải trả,Chi phí phải trả,10.943.202.365,4.668.429.461,-,15.611.631.826,10943202365.0,4668429461.0,,15611631826.0
Tổng cộng,31/12/2015 > Tổng cộng,Tổng cộng,1.254.625.422.854,1.561.734.175.537,775.475.817.069,3.591.835.415.460,1254625422854.0,1561734175537.0,775475817069.0,3591835415460.0
Chênh lệch thanh khoản thuần,31/12/2015 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,1.139.864.845.141,(216.427.604.768),(424.074.905.501),499.362.334.872,1139864845141.0,-216427604768.0,-424074905501.0,499362334872.0
,,,Dưới 1 nămVND,Từ 1 đến 5 nămVND,Trên 5 nămVND,TổngVND,,,,
31/12/2014,31/12/2014,31/12/2014,31/12/2014,31/12/2014,31/12/2014,31/12/2014,,,,
Tiền và các khoản tương đương tiền,31/12/2014 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.205.582.218.896,-,-,1.205.582.218.896,1205582218896.0,,,1205582218896.0
Phải thu khách hàng và phải thu khác,31/12/2014 > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,738.921.332.529,1.072.996.094.490,718.844.974.801,2.530.762.401.820,738921332529.0,1072996094490.0,718844974801.0,2530762401820.0
Đầu tư tài chính,31/12/2014 > Đầu tư tài chính,Đầu tư tài chính,-,-,63.052.276.252,63.052.276.252,,,63052276252.0,63052276252.0
Tổng cộng,31/12/2014 > Tổng cộng,Tổng cộng,1.944.503.551.425,1.072.996.094.490,781.897.251.053,3.799.396.896.968,1944503551425.0,1072996094490.0,781897251053.0,3799396896968.0
31/12/2014,31/12/2014,31/12/2014,31/12/2014,31/12/2014,31/12/2014,31/12/2014,,,,
Các khoản vay,31/12/2014 > Các khoản vay,Các khoản vay,373.374.335.562,1.355.533.328.038,967.176.869.214,2.696.084.532.814,373374335562.0,1355533328038.0,967176869214.0,2696084532814.0
Phải trả người bán và phải trả khác,31/12/2014 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,434.759.914.318,-,577.227.840.000,1.011.987.754.318,434759914318.0,,577227840000.0,1011987754318.0
Chi phí phải trả,31/12/2014 > Chi phí phải trả,Chi phí phải trả,35.514.149.361,4.445.925.245,-,39.960.074.606,35514149361.0,4445925245.0,,39960074606.0
Tổng cộng,31/12/2014 > Tổng cộng,Tổng cộng,843.648.399.241,1.359.979.253.283,1.544.404.709.214,3.748.032.361.738,843648399241.0,1359979253283.0,1544404709214.0,3748032361738.0
Chênh lệch thanh khoản thuần,31/12/2014 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,1.100.855.152.184,(286.983.158.793),(762.507.458.161),51.364.535.230,1100855152184.0,-286983158793.0,-762507458161.0,51364535230.0
