row_label_raw,row_label_full,col_0,Giá trị giao dịch cho năm,Giá trị giao dịch cho năm_1,numeric__Giá trị giao dịch cho năm,numeric__Giá trị giao dịch cho năm_1
,,,2021VND,2020VND,,
Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,,
Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,,
Mua điện,Tập đoàn Điện lực Việt Nam > Mua điện,Mua điện,3.539.680.411,3.500.856.770,3539680411.0,3500856770.0
Chi phí lãi vay,Tập đoàn Điện lực Việt Nam > Chi phí lãi vay,Chi phí lãi vay,349.278.587,10.543.875.442,349278587.0,10543875442.0
Trà nợ gốc vay,Tập đoàn Điện lực Việt Nam > Trà nợ gốc vay,Trà nợ gốc vay,25.194.997.015,433.698.824.858,25194997015.0,433698824858.0
Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,,
Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,Tổng Công ty Phát điện 1,,
Thu nhập lãi cho vay,Tổng Công ty Phát điện 1 > Thu nhập lãi cho vay,Thu nhập lãi cho vay,60.017.182.224,71.620.714.107,60017182224.0,71620714107.0
Chi hộ,Tổng Công ty Phát điện 1 > Chi hộ,Chi hộ,-,222.432.861,,222432861.0
Chia cổ tức,Tổng Công ty Phát điện 1 > Chia cổ tức,Chia cổ tức,675.364.960.000,1.013.047.440.000,675364960000.0,1013047440000.0
Cho vay,Tổng Công ty Phát điện 1 > Cho vay,Cho vay,-,500.000.000.000,,500000000000.0
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Công ty Cổ phần Thủy điện Hạ Sông Pha,Công ty Cổ phần Thủy điện Hạ Sông Pha,Công ty Cổ phần Thủy điện Hạ Sông Pha,Công ty Cổ phần Thủy điện Hạ Sông Pha,Công ty Cổ phần Thủy điện Hạ Sông Pha,,
Cung cấp dịch vụ,Công ty Cổ phần Thủy điện Hạ Sông Pha > Cung cấp dịch vụ,Cung cấp dịch vụ,1.065.330.000,276.000.000,1065330000.0,276000000.0
Cổ tức được chia,Công ty Cổ phần Thủy điện Hạ Sông Pha > Cổ tức được chia,Cổ tức được chia,3.360.000.000,-,3360000000.0,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,
Công ty Cổ phần Phong điện Thuận Bình,Công ty Cổ phần Phong điện Thuận Bình,Công ty Cổ phần Phong điện Thuận Bình,Công ty Cổ phần Phong điện Thuận Bình,Công ty Cổ phần Phong điện Thuận Bình,,
Cổ tức được chia,Công ty Cổ phần Phong điện Thuận Bình > Cổ tức được chia,Cổ tức được chia,-,4.888.900.000,,4888900000.0
Góp vốn,Công ty Cổ phần Phong điện Thuận Bình > Góp vốn,Góp vốn,45.000.000.000,22.400.000.000,45000000000.0,22400000000.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,
Công ty Mua Bán Điện – Tập đoàn Điện lực Việt Nam,Công ty Mua Bán Điện – Tập đoàn Điện lực Việt Nam,Công ty Mua Bán Điện – Tập đoàn Điện lực Việt Nam,Công ty Mua Bán Điện – Tập đoàn Điện lực Việt Nam,Công ty Mua Bán Điện – Tập đoàn Điện lực Việt Nam,,
Bán điện,Công ty Mua Bán Điện – Tập đoàn Điện lực Việt Nam > Bán điện,Bán điện,2.382.885.316.248,1.606.097.833.456,2382885316248.0,1606097833456.0
Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,Công ty Cổ phần Thủy điện A Vương,,
Cổ tức được chia,Công ty Cổ phần Thủy điện A Vương > Cổ tức được chia,Cổ tức được chia,7.015.067.680,2.579.069.000,7015067680.0,2579069000.0
Công ty Cổ phần Thủy điện Sông Ba Hạ,Công ty Cổ phần Thủy điện Sông Ba Hạ,Công ty Cổ phần Thủy điện Sông Ba Hạ,Công ty Cổ phần Thủy điện Sông Ba Hạ,Công ty Cổ phần Thủy điện Sông Ba Hạ,,
Cổ tức được chia,Công ty Cổ phần Thủy điện Sông Ba Hạ > Cổ tức được chia,Cổ tức được chia,8.294.400.000,640.000.000,8294400000.0,640000000.0
