row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.015.995.570.000,149.799.450.000,54.125.000.000,(1.080.000),99.974.426.913,1.091.343.550.880,27.095.489.672,3.438.332.407.465,2015995570000.0,149799450000.0,54125000000.0,-1080000.0,99974426913.0,1091343550880.0,27095489672.0,3438332407465.0
Tăng vốn trong năm nay (1),Tăng vốn trong năm nay (1),Tăng vốn trong năm nay (1),2.015.994.490.000,-,-,-,-,-,-,2.015.994.490.000,2015994490000.0,,,,,,,2015994490000.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,-,190.887.249.745,3.543.736.160,194.430.985.905,,,,,,190887249745.0,3543736160.0,194430985905.0
Phân phối lợi nhuận tại Công ty mẹ (*),Phân phối lợi nhuận tại Công ty mẹ (*),Phân phối lợi nhuận tại Công ty mẹ (*),-,-,-,-,22.899.125.760,(659.753.181.824),-,(32.058.776.064),,,,,22899125760.0,-659753181824.0,,-32058776064.0
Trả cổ tức bằng cổ phiếu (2),Trả cổ tức bằng cổ phiếu (2),Trả cổ tức bằng cổ phiếu (2),604.795.280.000,-,-,-,-,(604.795.280.000),-,-,604795280000.0,,,,,-604795280000.0,,
"Trích quỹ khen thưởng, phúc lợi (3)","Trích quỹ khen thưởng, phúc lợi (3)","Trích quỹ khen thưởng, phúc lợi (3)",-,-,-,-,-,(32.058.776.064),-,(32.058.776.064),,,,,,-32058776064.0,,-32058776064.0
Trích quỹ đầu tư phát triển (3),Trích quỹ đầu tư phát triển (3),Trích quỹ đầu tư phát triển (3),-,-,-,-,22.899.125.760,(22.899.125.760),-,-,,,,,22899125760.0,-22899125760.0,,
Phân phối lợi nhuận tại Công ty con,Phân phối lợi nhuận tại Công ty con,Phân phối lợi nhuận tại Công ty con,-,-,-,-,1.687.424.271,(4.049.818.251),(107.517.940),(2.469.911.920),,,,,1687424271.0,-4049818251.0,-107517940.0,-2469911920.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(2.362.393.980),(62.718.798),(2.425.112.778),,,,,,-2362393980.0,-62718798.0,-2425112778.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,1.687.424.271,(1.687.424.271),(44.799.142),(44.799.142),,,,,1687424271.0,-1687424271.0,-44799142.0,-44799142.0
Tăng khác tại Công ty mẹ,Tăng khác tại Công ty mẹ,Tăng khác tại Công ty mẹ,-,-,-,-,-,475.130.264,-,475.130.264,,,,,,475130264.0,,475130264.0
Giảm khác tại Công ty TNHH Quản lý Đối tác Liên kết Cen,Giảm khác tại Công ty TNHH Quản lý Đối tác Liên kết Cen,Giảm khác tại Công ty TNHH Quản lý Đối tác Liên kết Cen,-,-,-,-,-,(42.564.680),-,(42.564.680),,,,,,-42564680.0,,-42564680.0
"Truy thu, phạt thuế theo Biên bản thanh tra thuế tại Công ty TNHH TMĐT Ngôi nhà Thế Kỳ","Truy thu, phạt thuế theo Biên bản thanh tra thuế tại Công ty TNHH TMĐT Ngôi nhà Thế Kỳ","Truy thu, phạt thuế theo Biên bản thanh tra thuế tại Công ty TNHH TMĐT Ngôi nhà Thế Kỳ",-,-,-,-,-,(287.686.705),-,(287.686.705),,,,,,-287686705.0,,-287686705.0
Chi phí phát hành chào bán cổ phiếu (phí chuyển tiền),Chi phí phát hành chào bán cổ phiếu (phí chuyển tiền),Chi phí phát hành chào bán cổ phiếu (phí chuyển tiền),-,(550.000),-,-,-,-,-,(550.000),,-550000.0,,,,,,-550000.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,-,1,(1.441.551.492),1.961.171.332,519.619.841,,,,,1.0,-1441551492.0,1961171332.0,519619841.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,4.636.785.340.000,149.798.900.000,54.125.000.000,(1.080.000),124.560.976.945,617.131.127.937,32.492.879.225,5.614.893.144.106,4636785340000.0,149798900000.0,54125000000.0,-1080000.0,124560976945.0,617131127937.0,32492879225.0,5614893144106.0
