row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A - TÀI SẢN NGẢN HẠN,A - TÀI SẢN NGẢN HẠN,A - TÀI SẢN NGẢN HẠN,A - TÀI SẢN NGẢN HẠN,100,,4.497.720.660.501,3.742.769.257.029,,100.0,,4497720660501.0,3742769257029.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,V.1,79.913.898.794,284.172.959.342,,110.0,,79913898794.0,284172959342.0
1.,1.,1.,Tiền,111,,65.913.898.794,242.172.959.342,,111.0,,65913898794.0,242172959342.0
2.,2.,2.,Các khoản tương đương tiền,112,,14.000.000.000,42.000.000.000,,112.0,,14000000000.0,42000000000.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,16.300.000.000,14.800.000.000,,120.0,,16300000000.0,14800000000.0
1.,1.,1.,Chứng khoán kinh doanh,121,,-,-,,121.0,,,
2.,2.,2.,Dự phòng giảm giá chứng khoán kinh doanh,122,,-,-,,122.0,,,
3.,3.,3.,Đầu tư nắm giữ đến ngày đáo hạn,123,V.2a,16.300.000.000,14.800.000.000,,123.0,,16300000000.0,14800000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,636.188.773.465,674.264.402.599,,130.0,,636188773465.0,674264402599.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,V.3a,595.338.741.949,636.959.166.955,,131.0,,595338741949.0,636959166955.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,V.4,6.065.421.040,3.385.890.022,,132.0,,6065421040.0,3385890022.0
3.,3.,3.,Phải thu nội bộ ngắn hạn,133,,-,-,,133.0,,,
4.,4.,4.,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,-,-,,134.0,,,
5.,5.,5.,Phải thu về cho vay ngắn hạn,135,,-,-,,135.0,,,
6.,6.,6.,Phải thu ngắn hạn khác,136,V.5a,39.371.072.979,34.256.606.328,,136.0,,39371072979.0,34256606328.0
7.,7.,7.,Dự phòng phải thu ngắn hạn khó đòi,137,V.6,(4.586.462.503),(337.260.706),,137.0,,-4586462503.0,-337260706.0
8.,8.,8.,Tài sản thiếu chờ xử lý,139,,-,-,,139.0,,,
IV.,IV.,IV.,Hàng tồn kho,140,V.7,3.682.760.613.520,2.765.491.621.174,,140.0,,3682760613520.0,2765491621174.0
1.,1.,1.,Hàng tồn kho,141,,3.682.760.613.520,2.765.491.621.174,,141.0,,3682760613520.0,2765491621174.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,-,-,,149.0,,,
V.,V.,V.,Tài sản ngắn hạn khác,150,,82.557.374.722,4.040.273.914,,150.0,,82557374722.0,4040273914.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,V.8a,5.400.815.597,4.040.273.914,,151.0,,5400815597.0,4040273914.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,77.156.559.125,-,,152.0,,77156559125.0,
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,,-,-,,153.0,,,
4.,4.,4.,Giao dịch mua bán lại trái phiếu Chính phủ,154,,-,-,,154.0,,,
5.,5.,5.,Tài sản ngắn hạn khác,155,,-,-,,155.0,,,
