row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
Tăng tiền gửi của khách hàng và trả chi phí lãi tiền gửi,"Các công ty Ngân hàng đầu tư, góp vốn > Tăng tiền gửi của khách hàng và trả chi phí lãi tiền gửi",Tăng tiền gửi của khách hàng và trả chi phí lãi tiền gửi,108.117.080,60.033.752,108117080.0,60033752.0
Giảm tiền gửi của khách hàng,"Các công ty Ngân hàng đầu tư, góp vốn > Giảm tiền gửi của khách hàng",Giảm tiền gửi của khách hàng,105.637.426,60.359.472,105637426.0,60359472.0
Tăng cho vay khách hàng,"Các công ty Ngân hàng đầu tư, góp vốn > Tăng cho vay khách hàng",Tăng cho vay khách hàng,14.035.494,7.991.014,14035494.0,7991014.0
Giảm cho vay khách hàng,"Các công ty Ngân hàng đầu tư, góp vốn > Giảm cho vay khách hàng",Giảm cho vay khách hàng,13.723.653,7.550.263,13723653.0,7550263.0
Thu nhập lãi cho vay,"Các công ty Ngân hàng đầu tư, góp vốn > Thu nhập lãi cho vay",Thu nhập lãi cho vay,259.319,108.425,259319.0,108425.0
"Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này","Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này","Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này","Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này","Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này",,
Tăng tiền gửi của khách hàng và trả chi phí lãi tiền gửi,"Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này > Tăng tiền gửi của khách hàng và trả chi phí lãi tiền gửi",Tăng tiền gửi của khách hàng và trả chi phí lãi tiền gửi,355.499.623,23.181.292,355499623.0,23181292.0
Giảm tiền gửi của khách hàng,"Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này > Giảm tiền gửi của khách hàng",Giảm tiền gửi của khách hàng,355.157.878,22.483.074,355157878.0,22483074.0
Tăng cho vay khách hàng,"Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này > Tăng cho vay khách hàng",Tăng cho vay khách hàng,2.530.263,37.200,2530263.0,37200.0
Giảm cho vay khách hàng,"Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này > Giảm cho vay khách hàng",Giảm cho vay khách hàng,2.894.289,11.388,2894289.0,11388.0
Thu nhập lãi cho vay,"Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này > Thu nhập lãi cho vay",Thu nhập lãi cho vay,41.780,1.595,41780.0,1595.0
Thu nhập từ hoạt động dịch vụ,"Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này > Thu nhập từ hoạt động dịch vụ",Thu nhập từ hoạt động dịch vụ,478.426,224.479,478426.0,224479.0
- Phí dịch vụ thu hộ kèm hỗ trợ quản lý trái phiếu (i),"Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này > - Phí dịch vụ thu hộ kèm hỗ trợ quản lý trái phiếu (i)",- Phí dịch vụ thu hộ kèm hỗ trợ quản lý trái phiếu (i),445.202,224.479,445202.0,224479.0
- Thu lãi từ đặt cọc mua chứng chỉ tiến gửi,"Thành viên Hội đồng Quản trị, Ban Kiểm soát, Ban Tổng Giám đốc và các bên liên quan đến các cá nhân này > - Thu lãi từ đặt cọc mua chứng chỉ tiến gửi",- Thu lãi từ đặt cọc mua chứng chỉ tiến gửi,33.224,-,33224.0,
Thù lao/thu nhập trả cho:,Thù lao/thu nhập trả cho:,Thù lao/thu nhập trả cho:,Thù lao/thu nhập trả cho:,Thù lao/thu nhập trả cho:,,
- Hội đồng Quản trị (ii),Thù lao/thu nhập trả cho: > - Hội đồng Quản trị (ii),- Hội đồng Quản trị (ii),16.029,8.408,16029.0,8408.0
"- Ban Tổng Giám đốc, Giám đốc tài chính và kế toán trường (iii)","Thù lao/thu nhập trả cho: > - Ban Tổng Giám đốc, Giám đốc tài chính và kế toán trường (iii)","- Ban Tổng Giám đốc, Giám đốc tài chính và kế toán trường (iii)",21.285,29.317,21285.0,29317.0
Thù lao/thu nhập và chi phí hoạt động của Ban Kiểm soát,Thù lao/thu nhập trả cho: > Thù lao/thu nhập và chi phí hoạt động của Ban Kiểm soát,Thù lao/thu nhập và chi phí hoạt động của Ban Kiểm soát,8.739,4.812,8739.0,4812.0
