row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,24,101.114.077.419.627,57.959.112.673.412,,1.0,24.0,101114077419627.0,57959112673412.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,24,34.042.161.497,-,,2.0,24.0,34042161497.0,
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,24,101.080.035.258.130,57.959.112.673.412,,10.0,24.0,101080035258130.0,57959112673412.0
4.,4.,4.,Giá vốn hàng bán và dịch vụ cung cấp,11,25,93.381.313.715.080,60.183.939.693.526,,11.0,25.0,93381313715080.0,60183939693526.0
5.,5.,5.,Lợi nhuận/(lỗ) gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,7.698.721.543.050,(2.224.827.020.114),,20.0,,7698721543050.0,-2224827020114.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,27,1.014.896.787.839,666.178.306.758,,21.0,27.0,1014896787839.0,666178306758.0
7.,7.,7.,Chi phí tài chính,22,28,619.255.475.339,497.659.186.225,,22.0,28.0,619255475339.0,497659186225.0
,,,- Trong đó: Chi phí lãi vay,23,,406.811.371.357,325.082.824.759,,23.0,,406811371357.0,325082824759.0
8.,8.,8.,Chi phí bán hàng,25,29,781.029.744.856,551.873.123.765,,25.0,29.0,781029744856.0,551873123765.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,29,406.693.387.067,269.294.376.639,,26.0,29.0,406693387067.0,269294376639.0
10.,10.,10.,Lợi nhuận/(lỗ) thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,6.906.639.723.627,(2.877.475.399.985),,30.0,,6906639723627.0,-2877475399985.0
11.,11.,11.,Thu nhập khác,31,30,35.032.613.512,25.771.539.027,,31.0,30.0,35032613512.0,25771539027.0
12.,12.,12.,Chi phí khác,32,31,995.701.929,723.577.572,,32.0,31.0,995701929.0,723577572.0
13.,13.,13.,Lợi nhuận khác (40=31-32),40,,34.036.911.583,25.047.961.455,,40.0,,34036911583.0,25047961455.0
14.,14.,14.,Tổng lợi nhuận/(lỗ) kế toán trước thuế (50=30+40),50,,6.940.676.635.210,(2.852.427.438.530),,50.0,,6940676635210.0,-2852427438530.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,32,302.761.744.904,2.001.392.078,,51.0,32.0,302761744904.0,2001392078.0
16.,16.,16.,(Thu nhập)/chi phí thuế thu nhập doanh nghiệp hoãn lại,52,33,(45.624.962.070),3.698.671.766,,52.0,33.0,-45624962070.0,3698671766.0
17.,17.,17.,Lợi nhuận/(lỗ) sau thuế thu nhập doanh nghiệp (60=50-51-52)Trong đó:,60,,6.683.539.852.376,(2.858.127.502.374),,60.0,,6683539852376.0,-2858127502374.0
17.1.,17.1.,17.1.,Lợi nhuận/(lỗ) sau thuế của cổ đông của Công ty mẹ,61,,6.715.504.313.658,(2.818.841.515.440),,61.0,,6715504313658.0,-2818841515440.0
17.2.,17.2.,17.2.,(Lỗ) sau thuế của cổ đông không kiểm soát,62,,(31.964.461.282),(39.285.986.934),,62.0,,-31964461282.0,-39285986934.0
18.,18.,18.,Lãi/(lỗ) cơ bản trên cổ phiếu,70,34,,(910),,70.0,34.0,,-910.0
Lê Thị Hồng TrâmNgười lập biểu,Lê Thị Hồng TrâmNgười lập biểu,Lê Thị Hồng TrâmNgười lập biểu,Lê Thị Hồng TrâmNgười lập biểu,Bạch Đức LongKế toán trường,Bạch Đức LongKế toán trường,Bửi Ngọc DươngTổng Giám đốc,Bửi Ngọc DươngTổng Giám đốc,,,,,
