row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A - TẢI SẢN NGẮN HẠN,A - TẢI SẢN NGẮN HẠN,A - TẢI SẢN NGẮN HẠN,A - TẢI SẢN NGẮN HẠN,100,,5.678.903.258.415,6.173.850.003.463,,100.0,,5678903258415.0,6173850003463.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,V.1,26.955.559.314,153.613.219.155,,110.0,,26955559314.0,153613219155.0
1.,1.,1.,Tiền,111,,26.955.559.314,53.088.175.412,,111.0,,26955559314.0,53088175412.0
2.,2.,2.,Các khoản tương đương tiền,112,,-,100.525.043.743,,112.0,,,100525043743.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,-,-,,120.0,,,
1.,1.,1.,Chứng khoán kinh doanh,121,,-,-,,121.0,,,
2.,2.,2.,Dự phòng giảm giá chứng khoán kinh doanh,122,,-,-,,122.0,,,
3.,3.,3.,Đầu tư nằm giữ đến ngày đáo hạn,123,,-,-,,123.0,,,
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,876.972.873.714,914.478.034.495,,130.0,,876972873714.0,914478034495.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,V.2a,798.634.109.647,873.854.591.162,,131.0,,798634109647.0,873854591162.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,V.3,46.958.097.549,4.848.318.483,,132.0,,46958097549.0,4848318483.0
3.,3.,3.,Phải thu nội bộ ngắn hạn,133,,-,-,,133.0,,,
4.,4.,4.,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,-,-,,134.0,,,
5.,5.,5.,Phải thu về cho vay ngắn hạn,135,,-,-,,135.0,,,
6.,6.,6.,Phải thu ngắn hạn khác,136,V.4a,31.380.666.518,35.775.124.850,,136.0,,31380666518.0,35775124850.0
7.,7.,7.,Dự phòng-phải thu ngắn hạn khó đòi,137,V.5,-,-,,137.0,,,
8.,8.,8.,Tài sản thiếu chờ xử lý,139,,-,-,,139.0,,,
IV.,IV.,IV.,Hàng tồn kho,140,V.6,4.774.377.349.844,5.104.756.792.169,,140.0,,4774377349844.0,5104756792169.0
1.,1.,1.,Hàng tồn kho,141,,4.774.377.349.844,5.104.756.792.169,,141.0,,4774377349844.0,5104756792169.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,-,-,,149.0,,,
V.,V.,V.,Tài sản ngắn hạn khác,150,,597.475.543,1.001.957.644,,150.0,,597475543.0,1001957644.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,V.7a,597.475.543,545.000.000,,151.0,,597475543.0,545000000.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,-,456.957.644,,152.0,,,456957644.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,,-,-,,153.0,,,
4.,4.,4.,Giao dịch mua bán lại trái phiếu Chính phủ,154,,-,-,,154.0,,,
5.,5.,5.,Tài sản ngắn hạn khác,155,,-,-,,155.0,,,
