row_label_raw,row_label_full,col_0,Ending balance,VNDBeginning balance,numeric__Ending balance,numeric__VNDBeginning balance
Short-term,Short-term,Short-term,Short-term,Short-term,,
Dividends payable to non-controlling interests,Dividends payable to non-controlling interests,Dividends payable to non-controlling interests,"227,929,662,415","717,431,751,600",,
Maintenance and warranty expenses,Maintenance and warranty expenses,Maintenance and warranty expenses,"362,482,128,538","321,905,492,114",,
Deposits received from others,Deposits received from others,Deposits received from others,"309,042,250,696","232,964,338,164",,
Deposits received from customers for purchasing real estate products,Deposits received from customers for purchasing real estate products,Deposits received from customers for purchasing real estate products,"7,015,772,944","5,218,892,200",,
Others,Others,Others,"68,655,453,914","140,527,854,414",,
,,,"975,125,268,507","1,418,048,328,492",,
Long-term,Long-term,Long-term,Long-term,Long-term,,
Deposit received,Deposit received,Deposit received,"189,639,921,501","121,655,266,207",,
Others,Others,Others,"105,558,000","188,542,649",,
,,,"189,745,479,501","121,843,808,856",,
TOTAL,TOTAL,TOTAL,"1,164,870,748,008","1,539,892,137,348",,
