row_label_raw,row_label_full,2. Các khoản đầu tư tài chính,2. Các khoản đầu tư tài chính_1,2. Các khoản đầu tư tài chính_2,2. Các khoản đầu tư tài chính_3,2. Các khoản đầu tư tài chính_4,2. Các khoản đầu tư tài chính_5,2. Các khoản đầu tư tài chính_6,numeric__2. Các khoản đầu tư tài chính_1,numeric__2. Các khoản đầu tư tài chính_2,numeric__2. Các khoản đầu tư tài chính_3,numeric__2. Các khoản đầu tư tài chính_4,numeric__2. Các khoản đầu tư tài chính_5,numeric__2. Các khoản đầu tư tài chính_6
2.2 Đầu tư nắm giữ đến ngày đáo hạn,2.2 Đầu tư nắm giữ đến ngày đáo hạn,2.2 Đầu tư nắm giữ đến ngày đáo hạn,2.2 Đầu tư nắm giữ đến ngày đáo hạn,2.2 Đầu tư nắm giữ đến ngày đáo hạn,2.2 Đầu tư nắm giữ đến ngày đáo hạn,2.2 Đầu tư nắm giữ đến ngày đáo hạn,2.2 Đầu tư nắm giữ đến ngày đáo hạn,2.2 Đầu tư nắm giữ đến ngày đáo hạn,,,,,,
2.2.1 Đầu tư nắm giữ đến ngày đáo hạn ngắn hạn,2.2.1 Đầu tư nắm giữ đến ngày đáo hạn ngắn hạn,2.2.1 Đầu tư nắm giữ đến ngày đáo hạn ngắn hạn,2.2.1 Đầu tư nắm giữ đến ngày đáo hạn ngắn hạn,2.2.1 Đầu tư nắm giữ đến ngày đáo hạn ngắn hạn,2.2.1 Đầu tư nắm giữ đến ngày đáo hạn ngắn hạn,2.2.1 Đầu tư nắm giữ đến ngày đáo hạn ngắn hạn,2.2.1 Đầu tư nắm giữ đến ngày đáo hạn ngắn hạn,2.2.1 Đầu tư nắm giữ đến ngày đáo hạn ngắn hạn,,,,,,
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
,,,Giá gốc,Giá trị hợp lý,Dự phòng,Giá gốc,Giá trị hợp lý,Dự phòng,,,,,,
Tiền gửi có kỳ hạn,2.2.1 Đầu tư nắm giữ đến ngày đáo hạn ngắn hạn > Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,556.511.048.801,556.511.048.801,-,345.969.552.872,345.969.552.872,-,556511048801.0,556511048801.0,,345969552872.0,345969552872.0,
Tiền gửi có kỳ hạn trên 3 tháng đến 12 tháng tại các ngân hàng thương mại,2.2.1 Đầu tư nắm giữ đến ngày đáo hạn ngắn hạn > Tiền gửi có kỳ hạn trên 3 tháng đến 12 tháng tại các ngân hàng thương mại,Tiền gửi có kỳ hạn trên 3 tháng đến 12 tháng tại các ngân hàng thương mại,556.511.048.801,556.511.048.801,-,345.969.552.872,345.969.552.872,-,556511048801.0,556511048801.0,,345969552872.0,345969552872.0,
Cộng,2.2.1 Đầu tư nắm giữ đến ngày đáo hạn ngắn hạn > Cộng,Cộng,556.511.048.801,556.511.048.801,-,345.969.552.872,345.969.552.872,-,556511048801.0,556511048801.0,,345969552872.0,345969552872.0,
2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn,2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn,2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn,2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn,2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn,2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn,2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn,2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn,2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn,,,,,,
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
,,,Giá gốc,Giá trị hợp lý,Dự phòng,Giá gốc,Giá trị hợp lý,Dự phòng,,,,,,
Trái phiếu dài hạn,2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn > Trái phiếu dài hạn,Trái phiếu dài hạn,1.000.000.000,1.000.000.000,-,3.000.000.000,3.000.000.000,-,1000000000.0,1000000000.0,,3000000000.0,3000000000.0,
Cộng,2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn > Cộng,Cộng,1.000.000.000,1.000.000.000,-,3.000.000.000,3.000.000.000,-,1000000000.0,1000000000.0,,3000000000.0,3000000000.0,
