row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Tại 31/12/2025 VND,Tại 01/01/2025 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Tại 31/12/2025 VND,numeric__Tại 01/01/2025 VND
TÀI SẢN NGẮN HẠN,TÀI SẢN NGẮN HẠN,TÀI SẢN NGẮN HẠN,100,,24.175.702.852.037,21.482.523.941.226,100.0,,24175702852037.0,21482523941226.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,4,375.924.179.668,343.676.133.736,110.0,4.0,375924179668.0,343676133736.0
Tiền,Tiền,Tiền,111,,375.924.079.668,343.676.133.736,111.0,,375924079668.0,343676133736.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,,100.000,-,112.0,,100000.0,
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,-,115.370.299.200,120.0,,,115370299200.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,,-,115.370.299.200,123.0,,,115370299200.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,6.999.950.386.428,6.860.591.641.612,130.0,,6999950386428.0,6860591641612.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,7,1.929.691.601.058,2.806.270.912.856,131.0,7.0,1929691601058.0,2806270912856.0
Trà trước cho người bán ngắn hạn,Trà trước cho người bán ngắn hạn,Trà trước cho người bán ngắn hạn,132,8,4.080.107.332.835,3.060.448.061.894,132.0,8.0,4080107332835.0,3060448061894.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,9,1.016.192.996.910,1.012.414.211.237,136.0,9.0,1016192996910.0,1012414211237.0
Dự phòng các khoản phải thu ngắn hạn khó đòi,Dự phòng các khoản phải thu ngắn hạn khó đòi,Dự phòng các khoản phải thu ngắn hạn khó đòi,137,"7, 9",(26.041.544.375),(18.541.544.375),137.0,,-26041544375.0,-18541544375.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,140,11,16.714.675.448.271,14.077.663.631.758,140.0,11.0,16714675448271.0,14077663631758.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,,16.714.675.448.271,14.077.663.631.758,141.0,,16714675448271.0,14077663631758.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,85.152.837.670,85.222.234.920,150.0,,85152837670.0,85222234920.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,5,8.864.828.000,3.351.554.104,151.0,5.0,8864828000.0,3351554104.0
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,152,,72.936.711.553,81.870.680.816,152.0,,72936711553.0,81870680816.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,153,18,3.351.298.117,-,153.0,18.0,3351298117.0,
TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,200,,3.094.543.712.718,2.503.027.869.958,200.0,,3094543712718.0,2503027869958.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,76.045.250.423,38.724.892.655,210.0,,76045250423.0,38724892655.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,215,10,34.739.357.768,-,215.0,10.0,34739357768.0,
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,9,41.305.892.655,38.724.892.655,216.0,9.0,41305892655.0,38724892655.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,733.237.507.260,744.223.360.291,220.0,,733237507260.0,744223360291.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,12,332.737.507.260,343.563.454.497,221.0,12.0,332737507260.0,343563454497.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,410.059.895.638,410.684.197.903,222.0,,410059895638.0,410684197903.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(77.322.388.378),(67.120.743.406),223.0,,-77322388378.0,-67120743406.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,13,400.500.000.000,400.659.905.794,227.0,13.0,400500000000.0,400659905794.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,415.506.259.881,415.506.259.881,228.0,,415506259881.0,415506259881.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(15.006.259.881),(14.846.354.087),229.0,,-15006259881.0,-14846354087.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,230,14,61.711.188.992,63.247.308.032,230.0,14.0,61711188992.0,63247308032.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,231,,75.664.270.272,75.664.270.272,231.0,,75664270272.0,75664270272.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,232,,(13.953.081.280),(12.416.962.240),232.0,,-13953081280.0,-12416962240.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,,533.458.452.207,533.458.452.207,240.0,,533458452207.0,533458452207.0
