row_label_raw,row_label_full,col_0,Vốn điều lệ triệu đồng,Thăng dư vốn cổ phần triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Quỹ dự phòng tài chính triệu đồng,Quỹ khác triệu đồng,Lợi nhuận chưa phân phối triệu đồng,Lợi ích cổ đông không kiểm soát triệu đồng,Tổng cộng triệu đồng,numeric__Vốn điều lệ triệu đồng,numeric__Thăng dư vốn cổ phần triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ dự phòng tài chính triệu đồng,numeric__Quỹ khác triệu đồng,numeric__Lợi nhuận chưa phân phối triệu đồng,numeric__Lợi ích cổ đông không kiểm soát triệu đồng,numeric__Tổng cộng triệu đồng
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,17.127.409,828.197,803.078,1.588.748,305.174,4.699.337,1.236.503,26.588.446,17127409.0,828197.0,803078.0,1588748.0,305174.0,4699337.0,1236503.0,26588446.0
Tăng vốn từ phát hành cổ phiếu,Tăng vốn từ phát hành cổ phiếu,Tăng vốn từ phát hành cổ phiếu,171.275,-,-,-,-,-,-,171.275,171275.0,,,,,,,171275.0
Tăng vốn do trả cổ tức bằng cổ phiếu,Tăng vốn do trả cổ tức bằng cổ phiếu,Tăng vốn do trả cổ tức bằng cổ phiếu,856.370,-,-,-,-,(856.370),-,-,856370.0,,,,,-856370.0,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,3.519.627,(29.212),3.490.415,,,,,,3519627.0,-29212.0,3490415.0
Trích bổ sung các quỹ cho năm 2016,Trích bổ sung các quỹ cho năm 2016,Trích bổ sung các quỹ cho năm 2016,-,-,151.674,301.476,229.846,(682.996),-,-,,,151674.0,301476.0,229846.0,-682996.0,,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,-,(1.027.645),(26.848),(1.054.493),,,,,,-1027645.0,-26848.0,-1054493.0
Trả cổ tức trong năm bằng tiền mặt,Trả cổ tức trong năm bằng tiền mặt,Trả cổ tức trong năm bằng tiền mặt,-,-,-,(3.185),(167.568),-,-,(170.753),,,,-3185.0,-167568.0,,,-170753.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(199.348),-,(199.348),,,,,,-199348.0,,-199348.0
Trích quỹ dự trữ bắt buộc của các chi nhánh nước ngoài,Trích quỹ dự trữ bắt buộc của các chi nhánh nước ngoài,Trích quỹ dự trữ bắt buộc của các chi nhánh nước ngoài,-,-,-,-,1.992,(1.992),-,-,,,,,1992.0,-1992.0,,
Tăng do bán một phần sở hữu tại Công ty Tài chính TNHH MB Shensei,Tăng do bán một phần sở hữu tại Công ty Tài chính TNHH MB Shensei,Tăng do bán một phần sở hữu tại Công ty Tài chính TNHH MB Shensei,-,-,-,-,-,615.000,-,615.000,,,,,,615000.0,,615000.0
Tăng lợi ích cổ đông không kiểm soát do thay đổi tỷ lệ sở hữu công ty con (Giảm)/tăng vốn và quỹ cho các cổ đông không kiểm soát,Tăng lợi ích cổ đông không kiểm soát do thay đổi tỷ lệ sở hữu công ty con (Giảm)/tăng vốn và quỹ cho các cổ đông không kiểm soát,Tăng lợi ích cổ đông không kiểm soát do thay đổi tỷ lệ sở hữu công ty con (Giảm)/tăng vốn và quỹ cho các cổ đông không kiểm soát,-,-,-,-,-,-,248.913,248.913,,,,,,,248913.0,248913.0
Biến đông khác,Biến đông khác,Biến đông khác,-,-,(378),(437),(1266),-,2.081,-,,,-378.0,-437.0,-1266.0,,2081.0,
Biến đông khác,Biến đông khác,Biến đông khác,-,-,-,-,-,(88.285),-,(88.285),,,,,,-88285.0,,-88285.0
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,18.155.054,828.197,954.374,1.886.602,368.178,5.977.328,1.431.437,29.601.170,18155054.0,828197.0,954374.0,1886602.0,368178.0,5977328.0,1431437.0,29601170.0
