row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,100,,6.134.997.562.143,7.503.081.771.548,,100.0,,6134997562143.0,7503081771548.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,V.1,72.836.655.550,71.869.874.504,,110.0,,72836655550.0,71869874504.0
1.,1.,1.,Tiền,111,,50.336.655.550,61.984.386.313,,111.0,,50336655550.0,61984386313.0
2.,2.,2.,Các khoản tương đương tiền,112,,22.500.000.000,9.885.488.191,,112.0,,22500000000.0,9885488191.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,17.505.000.000,11.200.000.000,,120.0,,17505000000.0,11200000000.0
1.,1.,1.,Chứng khoán kinh doanh,121,,-,-,,121.0,,,
2.,2.,2.,Dự phòng giảm giá chứng khoán kinh doanh,122,,-,-,,122.0,,,
3.,3.,3.,Đầu tư nằm giữ đến ngày đáo hạn,123,V.2,17.505.000.000,11.200.000.000,,123.0,,17505000000.0,11200000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,686.350.489.474,2.376.730.024.169,,130.0,,686350489474.0,2376730024169.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,V.3a,641.695.263.019,2.333.924.890.844,,131.0,,641695263019.0,2333924890844.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,V.4,18.608.585.385,25.195.451.251,,132.0,,18608585385.0,25195451251.0
3.,3.,3.,Phải thu nội bộ ngắn hạn,133,,-,-,,133.0,,,
4.,4.,4.,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,-,-,,134.0,,,
5.,5.,5.,Phải thu về cho vay ngắn hạn,135,,-,-,,135.0,,,
6.,6.,6.,Phải thu ngắn hạn khác,136,V.5a,25.957.477.865,17.131.989.778,,136.0,,25957477865.0,17131989778.0
7.,7.,7.,Dự phòng phải thu ngắn hạn khó đòi,137,,-,-,,137.0,,,
8.,8.,8.,Tài sản thiếu chờ xử lý,139,V.7,89.163.205,477.692.296,,139.0,,89163205.0,477692296.0
IV.,IV.,IV.,Hàng tồn kho,140,,5.349.098.094.057,5.020.595.730.670,,140.0,,5349098094057.0,5020595730670.0
1.,1.,1.,Hàng tồn kho,141,V.8,5.349.098.094.057,5.020.595.730.670,,141.0,,5349098094057.0,5020595730670.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,-,-,,149.0,,,
V.,V.,V.,Tài sản ngắn hạn khác,150,,9.207.323.062,22.686.142.205,,150.0,,9207323062.0,22686142205.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,V.9a,3.292.980.307,3.120.602.079,,151.0,,3292980307.0,3120602079.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,5.914.342.755,19.565.540.126,,152.0,,5914342755.0,19565540126.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,,-,-,,153.0,,,
4.,4.,4.,Giao dịch mua bán lại trái phiếu Chính phủ,154,,-,-,,154.0,,,
5.,5.,5.,Tài sản ngắn hạn khác,155,,-,-,,155.0,,,
